alpha,t2,w2,s2,b2,p2
0.001,0,0,0,0,0
0.002,0,0,0,0,0
0.003,0,0,5.98802395209581e-06,0,0
0.004,0,0,5.98802395209581e-06,0,0
0.005,0,0,5.98802395209581e-06,0,0
0.006,0,0,5.98802395209581e-06,0,0
0.007,0,0,5.98802395209581e-06,0,0
0.008,0,0,5.98802395209581e-06,0,0
0.009,0,0,5.98802395209581e-06,0,0
0.01,0,0,5.98802395209581e-06,0,0
0.02,0,0,5.98802395209581e-06,0,0
0.03,0,0,2.39520958083832e-05,0,0
0.04,0,0,3.59281437125749e-05,0,0
0.05,0,0,6.58682634730539e-05,5.98802395209581e-06,0
0.06,1.19760479041916e-05,5.98802395209581e-06,0.000101796407185629,1.19760479041916e-05,1.19760479041916e-05
0.07,1.19760479041916e-05,1.19760479041916e-05,0.00011377245508982,1.19760479041916e-05,1.19760479041916e-05
0.08,1.19760479041916e-05,1.79640718562874e-05,0.000161676646706587,1.19760479041916e-05,1.19760479041916e-05
0.09,1.79640718562874e-05,2.9940119760479e-05,0.000215568862275449,2.39520958083832e-05,1.19760479041916e-05
0.1,2.39520958083832e-05,2.9940119760479e-05,0.000233532934131737,2.39520958083832e-05,1.79640718562874e-05
