delta,t2,w2,s2,b2,p2
0.01,5.98802395209581e-05,0.000149700598802395,0.000347305389221557,0.000137724550898204,9.58083832335329e-05
0.02,1.79640718562874e-05,3.59281437125749e-05,0.000137724550898204,2.9940119760479e-05,2.39520958083832e-05
0.03,0,5.98802395209581e-06,2.9940119760479e-05,5.98802395209581e-06,0
0.04,0,0,1.79640718562874e-05,0,0
0.05,0,0,5.98802395209581e-06,0,0
0.06,0,5.98802395209581e-06,5.98802395209581e-06,0,0
0.07,0,0,5.98802395209581e-06,0,0
0.08,0,0,5.98802395209581e-06,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
