delta,t2,w2,s2,b2,p2
0.01,0.000143712574850299,0.000401197604790419,0.000616766467065868,0.000233532934131737,0.000161676646706587
0.02,2.39520958083832e-05,7.18562874251497e-05,0.000143712574850299,5.98802395209581e-05,2.39520958083832e-05
0.03,0,5.98802395209581e-06,3.59281437125749e-05,1.19760479041916e-05,0
0.04,5.98802395209581e-06,1.79640718562874e-05,1.79640718562874e-05,1.19760479041916e-05,5.98802395209581e-06
0.05,0,0,1.19760479041916e-05,0,0
0.06,0,0,5.98802395209581e-06,0,0
0.07,0,0,0,0,0
0.08,0,0,0,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
