delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0312874251497006,0.0454730538922156,0.0434850299401198,0.0350838323353293,0.0342455089820359,0.0200658682634731,0.0312035928143713,0.0304550898203593,0.0256167664670659,0.0228383233532934
0.02,0.0868922155688623,0.108670658682635,0.0943413173652695,0.0967904191616766,0.0930239520958084,0.0568323353293413,0.0750059880239521,0.0658622754491018,0.0710838323353294,0.0630538922155689
0.03,0.186826347305389,0.215604790419162,0.17214371257485,0.201982035928144,0.196461077844311,0.132622754491018,0.158395209580838,0.124568862275449,0.159119760479042,0.143850299401198
0.04,0.32325748502994,0.35197005988024,0.277808383233533,0.34322754491018,0.336095808383234,0.246389221556886,0.276592814371258,0.213880239520958,0.284,0.262838323353293
0.05,0.469688622754491,0.494047904191617,0.388508982035928,0.491826347305389,0.482988023952096,0.38151497005988,0.410520958083832,0.312892215568862,0.426431137724551,0.400928143712575
0.06,0.610335329341317,0.632149700598802,0.511550898203593,0.632634730538922,0.622083832335329,0.524125748502994,0.550928143712575,0.43211377245509,0.56914371257485,0.542556886227545
0.07,0.724568862275449,0.742820359281437,0.622808383233533,0.74537125748503,0.734221556886228,0.647934131736527,0.671724550898204,0.547646706586826,0.68788622754491,0.663461077844311
0.08,0.808239520958084,0.819730538922156,0.704862275449102,0.826269461077844,0.815311377245509,0.746670658682635,0.761604790419162,0.636826347305389,0.78011377245509,0.758455089820359
0.09,0.871239520958084,0.877215568862276,0.775868263473054,0.885425149700599,0.87625748502994,0.821520958083832,0.83197005988024,0.718155688622755,0.848946107784431,0.830497005988024
0.1,0.915191616766467,0.917958083832335,0.83048502994012,0.92677245508982,0.918239520958084,0.878083832335329,0.882952095808383,0.782149700598802,0.89877245508982,0.883922155688623
