delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0193592814371257,0.0275568862275449,0.020497005988024,0.0276706586826347,0.0232934131736527,0.0122395209580838,0.0180718562874252,0.0114610778443114,0.0219880239520958,0.0158383233532934
0.02,0.0432035928143713,0.0551077844311377,0.0407724550898204,0.0583293413173653,0.0498922155688623,0.025940119760479,0.0352694610778443,0.0226167664670659,0.044688622754491,0.0320778443113772
0.03,0.0820958083832335,0.100988023952096,0.0718922155688623,0.10748502994012,0.0938263473053892,0.0514311377245509,0.0666467065868264,0.0409700598802395,0.0837425149700599,0.0625029940119761
0.04,0.138808383233533,0.16322754491018,0.115754491017964,0.175215568862275,0.155473053892216,0.0913652694610778,0.114005988023952,0.0703712574850299,0.140814371257485,0.109023952095808
0.05,0.210724550898204,0.241185628742515,0.168550898203593,0.257173652694611,0.232526946107784,0.146754491017964,0.175431137724551,0.106425149700599,0.212796407185629,0.17048502994012
0.06,0.302790419161677,0.336622754491018,0.237988023952096,0.357449101796407,0.32825748502994,0.220838323353293,0.256640718562874,0.159802395209581,0.305323353293413,0.251766467065868
0.07,0.393988023952096,0.430251497005988,0.31140119760479,0.453167664670659,0.421059880239521,0.301670658682635,0.342413173652695,0.219880239520958,0.395946107784431,0.336287425149701
0.08,0.48448502994012,0.518694610778443,0.383365269461078,0.545664670658683,0.510778443113772,0.386275449101796,0.427347305389222,0.283329341317365,0.486724550898204,0.421844311377246
0.09,0.570802395209581,0.604155688622755,0.456652694610779,0.63037125748503,0.595455089820359,0.471754491017964,0.512694610778443,0.350982035928144,0.572976047904192,0.506802395209581
0.1,0.646359281437126,0.674287425149701,0.523215568862276,0.704035928143713,0.667796407185629,0.551077844311377,0.58848502994012,0.416592814371258,0.648646706586826,0.583892215568862
