delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0153053892215569,0.0131796407185629,0.0095748502994012,0.0234191616766467,0.0141976047904192,0.0103053892215569,0.00832335329341317,0.00698802395209581,0.0196287425149701,0.00962874251497006
0.02,0.0231556886227545,0.0202574850299401,0.0140898203592814,0.0344730538922156,0.0214131736526946,0.0137425149700599,0.0110359281437126,0.00932934131736527,0.0252395209580838,0.0129520958083832
0.03,0.0364011976047904,0.0320059880239521,0.0225568862275449,0.0524790419161677,0.034437125748503,0.0211197604790419,0.0166946107784431,0.0137604790419162,0.0369940119760479,0.0197604790419162
0.04,0.0549281437125749,0.048,0.0334011976047904,0.0764850299401198,0.0517305389221557,0.0321377245508982,0.0259461077844311,0.0204670658682635,0.053874251497006,0.0306526946107784
0.05,0.0780778443113773,0.0689101796407186,0.0472994011976048,0.106652694610778,0.0741437125748503,0.0474910179640719,0.0386586826347305,0.0291377245508982,0.0761017964071856,0.0454550898203593
0.06,0.109215568862275,0.0968922155688623,0.0677305389221557,0.14514371257485,0.103688622754491,0.067874251497006,0.0558682634730539,0.042688622754491,0.105904191616766,0.0650359281437126
0.07,0.148179640718563,0.132149700598802,0.0912215568862275,0.191934131736527,0.141904191616766,0.0952694610778443,0.0795089820359281,0.0594131736526946,0.14425748502994,0.0916347305389221
0.08,0.191083832335329,0.171850299401198,0.120784431137725,0.242676646706587,0.184005988023952,0.128934131736527,0.108017964071856,0.0802335329341318,0.186395209580838,0.124419161676647
0.09,0.243323353293413,0.22062874251497,0.156413173652695,0.301077844311377,0.234934131736527,0.168173652694611,0.143928143712575,0.107778443113772,0.237640718562874,0.162754491017964
0.1,0.300377245508982,0.273994011976048,0.195802395209581,0.36362874251497,0.291305389221557,0.215461077844311,0.185053892215569,0.138419161676647,0.294125748502994,0.209293413173653
