delta,t2,w2,s2,b2,p2
0.01,0.00101796407185629,0.00217964071856287,0.0034251497005988,0.00140718562874251,0.00112574850299401
0.02,0.000215568862275449,0.000508982035928144,0.00119161676646707,0.000353293413173653,0.000263473053892216
0.03,6.58682634730539e-05,0.000107784431137725,0.000389221556886228,9.58083832335329e-05,7.18562874251497e-05
0.04,3.59281437125749e-05,6.58682634730539e-05,0.000197604790419162,4.19161676646707e-05,4.19161676646707e-05
0.05,5.98802395209581e-06,5.98802395209581e-06,9.58083832335329e-05,1.19760479041916e-05,5.98802395209581e-06
0.06,0,0,2.39520958083832e-05,0,0
0.07,0,0,3.59281437125749e-05,5.98802395209581e-06,0
0.08,0,0,5.98802395209581e-06,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
