delta,t2,w2,s2,b2,p2
0.01,0.0339341317365269,0.0340299401197605,0.0259041916167665,0.0409161676646707,0.0312634730538922
0.02,0.0218802395209581,0.0217664670658683,0.017622754491018,0.0266706586826347,0.0201017964071856
0.03,0.0136407185628743,0.0140958083832335,0.0114670658682635,0.0173173652694611,0.0126167664670659
0.04,0.0082814371257485,0.00873053892215569,0.00784431137724551,0.0105868263473054,0.00746706586826347
0.05,0.00520958083832335,0.0052934131736527,0.00534131736526946,0.00664670658682635,0.00469461077844311
0.06,0.00280239520958084,0.00302994011976048,0.00329341317365269,0.00373053892215569,0.00250299401197605
0.07,0.0020059880239521,0.00211976047904192,0.00234131736526946,0.00260479041916168,0.00173053892215569
0.08,0.000958083832335329,0.00102395209580838,0.00136526946107784,0.00126946107784431,0.000868263473053892
0.09,0.000646706586826347,0.000838323353293413,0.000994011976047904,0.000874251497005988,0.000592814371257485
0.1,0.000281437125748503,0.000383233532934132,0.000598802395209581,0.000419161676646707,0.000251497005988024
