alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.473736526946108,0.46902994011976,0.323395209580838,0.509155688622755,0.499790419161677,0.395700598802395,0.397167664670659,0.269209580838323,0.461694610778443,0.427838323353293
0.002,0.556155688622754,0.548748502994012,0.395670658682635,0.58862874251497,0.575952095808383,0.473706586826347,0.46902994011976,0.323395209580838,0.532976047904192,0.499832335329341
0.003,0.607377245508982,0.59740119760479,0.43474251497006,0.63540119760479,0.62314371257485,0.521245508982036,0.516748502994012,0.358059880239521,0.577047904191617,0.543431137724551
0.004,0.643149700598802,0.632017964071856,0.472904191616767,0.668155688622755,0.656095808383234,0.556131736526946,0.548748502994012,0.395670658682635,0.609586826347305,0.575862275449102
0.005,0.670119760479042,0.659461077844311,0.492131736526946,0.693419161676647,0.681155688622754,0.584119760479042,0.57674251497006,0.413005988023952,0.633838323353293,0.60159880239521
0.006,0.692065868263473,0.678796407185629,0.509982035928144,0.713455089820359,0.701335329341317,0.607353293413174,0.59740119760479,0.43474251497006,0.653479041916168,0.623119760479042
0.007,0.710155688622755,0.697443113772455,0.532784431137725,0.730461077844311,0.718137724550898,0.626604790419162,0.615155688622755,0.450916167664671,0.669850299401198,0.64085628742515
0.008,0.725431137724551,0.712281437125749,0.536622754491018,0.745155688622755,0.732532934131737,0.643149700598802,0.632017964071856,0.472904191616767,0.684011976047904,0.656041916167665
0.009,0.738820359281437,0.724149700598802,0.548694610778443,0.75740119760479,0.744976047904192,0.657706586826347,0.646107784431138,0.472904191616767,0.696508982035928,0.669455089820359
0.01,0.750784431137725,0.738323353293413,0.569814371257485,0.76848502994012,0.756317365269461,0.67011377245509,0.659461077844311,0.492131736526946,0.707640718562874,0.681167664670659
0.02,0.82462874251497,0.810263473053892,0.659634730538922,0.836826347305389,0.826604790419162,0.750784431137725,0.738329341317365,0.569820359281437,0.777550898203593,0.756359281437126
0.03,0.862862275449102,0.849101796407186,0.709850299401198,0.872508982035928,0.863850299401198,0.795365269461078,0.781461077844311,0.622700598802395,0.815808383233533,0.798706586826347
0.04,0.887508982035928,0.873796407185629,0.742167664670659,0.895413173652695,0.887880239520958,0.824634730538922,0.810281437125749,0.659652694610779,0.841287425149701,0.826682634730539
0.05,0.905383233532934,0.891958083832335,0.759664670658683,0.911616766467066,0.905502994011976,0.845988023952096,0.83048502994012,0.679431137724551,0.860335329341318,0.847580838323353
0.06,0.918688622754491,0.905305389221557,0.789311377245509,0.923850299401198,0.918544910179641,0.862868263473054,0.849119760479042,0.709916167664671,0.875592814371258,0.863874251497006
0.07,0.929365269461078,0.917155688622755,0.799946107784431,0.933508982035928,0.928928143712575,0.877047904191617,0.862586826347305,0.716922155688623,0.886808383233533,0.877538922155689
0.08,0.93734131736527,0.925790419161677,0.821622754491018,0.941083832335329,0.936964071856287,0.887520958083832,0.873820359281437,0.742251497005988,0.897053892215569,0.887820359281437
0.09,0.944329341317365,0.933844311377246,0.826934131736527,0.947532934131737,0.944005988023952,0.897353293413174,0.883820359281437,0.754185628742515,0.905467065868263,0.897449101796407
0.1,0.949958083832335,0.940281437125748,0.848179640718563,0.95262874251497,0.949718562874251,0.905389221556886,0.891994011976048,0.759784431137725,0.912586826347305,0.905443113772455
