alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.15348502994012,0.182838323353293,0.105928143712575,0.225341317365269,0.189077844311377,0.106377245508982,0.13488622754491,0.0790479041916168,0.194754491017964,0.139910179640719
0.002,0.21637125748503,0.246395209580838,0.130407185628743,0.28711377245509,0.251293413173653,0.153479041916168,0.182838323353293,0.105928143712575,0.247556886227545,0.189
0.003,0.261431137724551,0.285640718562874,0.163982035928144,0.329149700598802,0.294065868263473,0.188467065868263,0.218089820359281,0.130407185628743,0.284610778443114,0.223916167664671
0.004,0.297718562874252,0.316455089820359,0.204101796407186,0.362125748502994,0.327676646706587,0.216365269461078,0.246395209580838,0.130407185628743,0.312994011976048,0.251233532934132
0.005,0.327610778443114,0.348910179640719,0.204101796407186,0.389556886227545,0.355053892215569,0.240311377245509,0.265952095808383,0.163982035928144,0.336694610778443,0.274191616766467
0.006,0.353634730538922,0.370389221556886,0.238263473053892,0.412293413173653,0.37874251497006,0.261419161676647,0.285640718562874,0.163982035928144,0.357011976047904,0.294083832335329
0.007,0.375778443113772,0.392251497005988,0.238335329341317,0.432868263473054,0.400005988023952,0.280263473053892,0.306209580838323,0.195622754491018,0.374233532934132,0.311922155688623
0.008,0.395874251497006,0.414664670658683,0.261502994011976,0.451934131736527,0.418544910179641,0.297706586826347,0.316455089820359,0.204107784431138,0.389646706586826,0.327712574850299
0.009,0.414095808383234,0.426137724550898,0.281952095808383,0.468401197604791,0.43488622754491,0.313131736526946,0.337982035928144,0.204107784431138,0.404311377245509,0.341898203592814
0.01,0.430491017964072,0.437389221556886,0.283473053892216,0.483389221556886,0.449844311377246,0.327610778443114,0.348916167664671,0.204107784431138,0.41722754491018,0.355203592814371
0.02,0.545688622754491,0.547191616766467,0.373221556886228,0.587107784431138,0.555101796407186,0.430502994011976,0.437407185628743,0.283520958083832,0.507437125748503,0.449982035928144
0.03,0.616413173652695,0.610431137724551,0.428131736526946,0.651053892215569,0.621700598802395,0.497383233532934,0.504556886227545,0.335676646706587,0.563299401197605,0.511215568862276
0.04,0.666359281437126,0.650646706586826,0.485982035928144,0.696023952095808,0.66888622754491,0.545730538922156,0.547263473053892,0.37334131736527,0.604281437125749,0.555185628742515
0.05,0.705131736526946,0.689035928143713,0.526269461077844,0.730850299401198,0.705994011976048,0.584862275449102,0.579155688622755,0.404940119760479,0.636724550898204,0.592149700598802
0.06,0.735748502994012,0.724736526946108,0.557814371257485,0.758245508982036,0.735383233532934,0.616491017964072,0.610544910179641,0.428335329341317,0.663077844311377,0.621820359281437
0.07,0.761173652694611,0.741317365269461,0.580946107784431,0.781119760479042,0.75985628742515,0.643461077844311,0.631071856287425,0.475071856287425,0.685868263473054,0.647149700598802
0.08,0.782491017964072,0.765425149700599,0.624455089820359,0.799760479041916,0.781,0.666479041916168,0.650814371257485,0.486305389221557,0.705419161676647,0.668934131736527
0.09,0.800574850299401,0.781089820359282,0.625892215568862,0.815676646706587,0.798640718562874,0.687125748502994,0.670287425149701,0.486305389221557,0.722029940119761,0.688670658682635
0.1,0.816161676646707,0.795491017964072,0.636347305389222,0.829844311377246,0.813892215568862,0.705305389221557,0.689287425149701,0.526706586826347,0.737497005988024,0.706167664670659
