delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.147251497005988,0.148137724550898,0.119820359281437,0.154449101796407,0.142592814371257,0.103149700598802,0.105209580838323,0.0948083832335329,0.113796407185629,0.0986167664670659
0.02,0.222365269461078,0.220580838323353,0.176455089820359,0.231634730538922,0.21625748502994,0.144167664670659,0.144952095808383,0.122047904191617,0.156616766467066,0.138784431137725
0.03,0.312017964071856,0.310011976047904,0.246664670658683,0.323185628742515,0.304676646706587,0.206592814371257,0.205389221556886,0.167652694610778,0.221610778443114,0.200443113772455
0.04,0.413910179640719,0.407077844311377,0.323431137724551,0.42562874251497,0.406766467065868,0.287149700598802,0.282413173652695,0.226209580838323,0.304814371257485,0.279874251497006
0.05,0.520047904191617,0.510850299401198,0.407760479041916,0.53240119760479,0.512988023952096,0.382946107784431,0.374706586826347,0.295550898203593,0.402131736526946,0.37497005988024
0.06,0.623538922155689,0.612898203592814,0.50085628742515,0.63514371257485,0.617023952095808,0.486311377245509,0.475526946107785,0.378652694610778,0.506209580838323,0.478479041916168
0.07,0.714473053892216,0.703826347305389,0.587233532934132,0.725,0.708688622754491,0.586479041916168,0.57377245508982,0.465311377245509,0.605161676646707,0.578862275449102
0.08,0.791281437125749,0.780508982035928,0.667185628742515,0.799934131736527,0.786562874251497,0.679317365269461,0.667029940119761,0.550880239520958,0.696353293413174,0.672119760479042
0.09,0.850269461077844,0.840760479041916,0.733209580838323,0.857251497005988,0.846586826347305,0.754892215568862,0.742934131736527,0.62362874251497,0.770497005988024,0.749125748502994
0.1,0.897305389221557,0.887994011976048,0.791526946107784,0.90285628742515,0.894341317365269,0.821287425149701,0.808203592814371,0.696550898203593,0.833730538922156,0.816730538922156
