delta,t2,w2,s2,b2,p2
0.01,0.000395209580838323,0.000221556886227545,0.000407185628742515,0.00176047904191617,0.000532934131736527
0.02,0.000365269461077844,0.000203592814371258,0.000329341317365269,0.00131137724550898,0.000461077844311377
0.03,0.000275449101796407,0.000119760479041916,0.000233532934131737,0.00088622754491018,0.000359281437125749
0.04,0.000149700598802395,7.78443113772455e-05,0.000167664670658683,0.000616766467065868,0.000227544910179641
0.05,0.000107784431137725,1.79640718562874e-05,8.98203592814371e-05,0.00044311377245509,0.00018562874251497
0.06,5.98802395209581e-05,4.19161676646707e-05,6.58682634730539e-05,0.000263473053892216,0.000119760479041916
0.07,5.98802395209581e-05,1.19760479041916e-05,3.59281437125749e-05,0.000191616766467066,7.78443113772455e-05
0.08,2.9940119760479e-05,5.98802395209581e-06,5.98802395209581e-06,0.000143712574850299,5.38922155688623e-05
0.09,4.19161676646707e-05,5.98802395209581e-06,3.59281437125749e-05,9.58083832335329e-05,4.19161676646707e-05
0.1,5.98802395209581e-06,5.98802395209581e-06,1.19760479041916e-05,7.78443113772455e-05,2.39520958083832e-05
