delta,t2,w2,s2,b2,p2
0.01,0.000173652694610778,0.000305389221556886,0.000233532934131737,0.000562874251497006,0.000293413173652695
0.02,5.38922155688623e-05,0.000143712574850299,0.00011377245508982,0.000215568862275449,0.00011377245508982
0.03,5.98802395209581e-06,4.79041916167665e-05,5.38922155688623e-05,5.38922155688623e-05,2.39520958083832e-05
0.04,1.79640718562874e-05,2.39520958083832e-05,2.39520958083832e-05,4.19161676646707e-05,1.79640718562874e-05
0.05,0,2.39520958083832e-05,1.19760479041916e-05,0,1.19760479041916e-05
0.06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06
0.07,0,0,1.79640718562874e-05,5.98802395209581e-06,0
0.08,0,0,0,5.98802395209581e-06,5.98802395209581e-06
0.09,5.98802395209581e-06,5.98802395209581e-06,0,5.98802395209581e-06,5.98802395209581e-06
0.1,0,0,0,0,0
