delta,t2,w2,s2,b2,p2
0.01,0.000341317365269461,0.000616766467065868,0.000497005988023952,0.00102994011976048,0.000473053892215569
0.02,0.000167664670658683,0.000311377245508982,0.000233532934131737,0.000473053892215569,0.000251497005988024
0.03,7.78443113772455e-05,0.000107784431137725,0.000119760479041916,0.00018562874251497,8.98203592814371e-05
0.04,5.98802395209581e-06,3.59281437125749e-05,3.59281437125749e-05,5.38922155688623e-05,1.79640718562874e-05
0.05,2.39520958083832e-05,2.9940119760479e-05,4.79041916167665e-05,2.9940119760479e-05,1.79640718562874e-05
0.06,0,0,1.79640718562874e-05,0,0
0.07,1.79640718562874e-05,1.19760479041916e-05,1.79640718562874e-05,2.39520958083832e-05,1.79640718562874e-05
0.08,0,0,0,0,0
0.09,5.98802395209581e-06,1.19760479041916e-05,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06
0.1,0,0,0,0,0
