delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.229455089820359,0.260053892215569,0.217538922155689,0.237,0.228335329341317,0.153083832335329,0.185413173652695,0.156011976047904,0.168059880239521,0.155778443113772
0.02,0.420916167664671,0.448940119760479,0.366125748502994,0.431754491017964,0.419425149700599,0.306862275449102,0.337880239520958,0.269137724550898,0.326652694610778,0.309089820359282
0.03,0.607347305389222,0.629556886227545,0.525862275449102,0.618754491017964,0.605832335329341,0.488946107784431,0.518047904191617,0.416263473053892,0.509868263473054,0.49111377245509
0.04,0.748760479041916,0.767125748502994,0.671275449101796,0.757916167664671,0.747574850299401,0.652311377245509,0.678167664670659,0.569952095808383,0.670694610778443,0.653916167664671
0.05,0.837760479041916,0.852017964071856,0.77459880239521,0.843790419161677,0.836814371257485,0.765508982035928,0.787820359281437,0.691323353293413,0.77897005988024,0.766497005988024
0.06,0.893790419161677,0.902640718562874,0.84677245508982,0.897862275449102,0.893209580838323,0.843766467065868,0.859580838323353,0.787311377245509,0.853670658682635,0.844568862275449
0.07,0.928916167664671,0.934047904191617,0.890077844311377,0.931622754491018,0.928461077844311,0.892125748502994,0.90322754491018,0.846502994011976,0.899293413173653,0.892586826347305
0.08,0.950706586826347,0.952526946107784,0.919359281437126,0.952682634730539,0.950317365269461,0.922712574850299,0.92985628742515,0.886814371257485,0.928095808383233,0.923083832335329
0.09,0.964790419161677,0.968275449101796,0.942616766467066,0.966455089820359,0.964443113772455,0.942916167664671,0.950377245508982,0.917095808383234,0.947101796407186,0.94314371257485
0.1,0.978185628742515,0.980287425149701,0.960017964071856,0.979347305389222,0.977958083832335,0.962826347305389,0.967778443113773,0.940413173652695,0.965808383233533,0.963047904191617
