delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.118508982035928,0.119245508982036,0.095688622754491,0.125790419161677,0.113988023952096,0.0810718562874252,0.0833652694610779,0.072497005988024,0.090874251497006,0.0775688622754491
0.02,0.183676646706587,0.182670658682635,0.143095808383234,0.193287425149701,0.178065868263473,0.117622754491018,0.118137724550898,0.0948443113772455,0.129802395209581,0.113197604790419
0.03,0.26588622754491,0.264239520958084,0.206185628742515,0.278017964071856,0.259155688622755,0.173736526946108,0.172407185628743,0.135359281437126,0.188958083832335,0.168077844311377
0.04,0.36274251497006,0.356718562874252,0.277263473053892,0.376083832335329,0.355263473053892,0.247916167664671,0.243538922155689,0.187952095808383,0.266215568862275,0.24137125748503
0.05,0.466946107784431,0.45751497005988,0.357149700598802,0.481311377245509,0.459245508982036,0.338904191616767,0.330491017964072,0.250952095808383,0.359604790419162,0.331203592814371
0.06,0.572119760479042,0.560868263473054,0.447544910179641,0.586023952095808,0.565137724550898,0.439730538922156,0.429089820359281,0.330874251497006,0.461491017964072,0.432155688622755
0.07,0.668317365269461,0.656275449101796,0.53459880239521,0.680467065868263,0.66222754491018,0.540155688622755,0.528035928143713,0.415730538922156,0.56225748502994,0.532173652694611
0.08,0.752041916167665,0.739604790419162,0.618916167664671,0.762964071856287,0.746532934131737,0.636682634730539,0.623179640718563,0.499862275449102,0.657167664670659,0.629748502994012
0.09,0.817604790419162,0.806497005988024,0.688712574850299,0.826305389221557,0.813526946107784,0.717796407185629,0.704520958083832,0.574802395209581,0.735910179640719,0.711526946107784
0.1,0.871269461077844,0.861101796407186,0.75451497005988,0.87902994011976,0.867952095808383,0.789778443113772,0.775916167664671,0.652059880239521,0.805634730538922,0.784766467065868
