delta,t2,w2,s2,b2,p2
0.01,0.000389221556886228,0.00216167664670659,0.00462874251497006,0.000479041916167665,0.000419161676646707
0.02,6.58682634730539e-05,0.000293413173652695,0.00127544910179641,7.18562874251497e-05,7.18562874251497e-05
0.03,2.39520958083832e-05,0.000107784431137725,0.000485029940119761,2.39520958083832e-05,2.39520958083832e-05
0.04,0,1.79640718562874e-05,0.000149700598802395,0,0
0.05,0,0,3.59281437125749e-05,0,0
0.06,0,0,5.98802395209581e-06,0,0
0.07,0,0,5.98802395209581e-06,0,0
0.08,0,0,0,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
