delta,t2,w2,s2,b2,p2
0.01,0.000485029940119761,0.00101197604790419,0.00141916167664671,0.000682634730538922,0.000592814371257485
0.02,0.000107784431137725,0.000275449101796407,0.000550898203592814,0.000155688622754491,0.000137724550898204
0.03,2.9940119760479e-05,0.000143712574850299,0.000335329341317365,4.79041916167665e-05,4.19161676646707e-05
0.04,1.19760479041916e-05,5.98802395209581e-05,0.000125748502994012,2.39520958083832e-05,1.79640718562874e-05
0.05,5.98802395209581e-06,2.39520958083832e-05,7.78443113772455e-05,5.98802395209581e-06,5.98802395209581e-06
0.06,0,0,2.39520958083832e-05,0,0
0.07,0,0,1.19760479041916e-05,0,0
0.08,0,0,1.19760479041916e-05,0,0
0.09,0,0,1.19760479041916e-05,0,0
0.1,0,0,5.98802395209581e-06,0,0
