alpha,t2,w2,s2,b2,p2
0.001,0,0,1.79640718562874e-05,0,0
0.002,0,5.98802395209581e-06,1.79640718562874e-05,0,0
0.003,0,5.98802395209581e-06,2.39520958083832e-05,0,0
0.004,0,5.98802395209581e-06,4.19161676646707e-05,5.98802395209581e-06,0
0.005,5.98802395209581e-06,5.98802395209581e-06,5.38922155688623e-05,5.98802395209581e-06,0
0.006,5.98802395209581e-06,1.19760479041916e-05,7.78443113772455e-05,1.19760479041916e-05,5.98802395209581e-06
0.007,5.98802395209581e-06,1.79640718562874e-05,8.98203592814371e-05,1.19760479041916e-05,5.98802395209581e-06
0.008,5.98802395209581e-06,1.79640718562874e-05,0.00011377245508982,1.79640718562874e-05,5.98802395209581e-06
0.009,1.19760479041916e-05,2.39520958083832e-05,0.00011377245508982,1.79640718562874e-05,1.19760479041916e-05
0.01,1.19760479041916e-05,2.39520958083832e-05,0.000125748502994012,1.79640718562874e-05,1.19760479041916e-05
0.02,5.38922155688623e-05,7.18562874251497e-05,0.000209580838323353,8.98203592814371e-05,4.19161676646707e-05
0.03,0.000107784431137725,0.000131736526946108,0.000425149700598802,0.000149700598802395,0.000101796407185629
0.04,0.000173652694610778,0.000191616766467066,0.00062874251497006,0.000251497005988024,0.000161676646706587
0.05,0.000263473053892216,0.00029940119760479,0.000790419161676647,0.000323353293413174,0.00025748502994012
0.06,0.000341317365269461,0.000407185628742515,0.000988023952095809,0.000395209580838323,0.000305389221556886
0.07,0.000413173652694611,0.000502994011976048,0.00111976047904192,0.000497005988023952,0.000395209580838323
0.08,0.00051497005988024,0.000604790419161677,0.00131137724550898,0.000592814371257485,0.000473053892215569
0.09,0.000598802395209581,0.000736526946107784,0.00160479041916168,0.000670658682634731,0.000568862275449102
0.1,0.000682634730538922,0.000970059880239521,0.00177245508982036,0.000778443113772455,0.000664670658682635
