alpha,t2,w2,s2,b2,p2
0.001,5.98802395209581e-06,0,1.19760479041916e-05,4.19161676646707e-05,5.98802395209581e-06
0.002,1.79640718562874e-05,0,1.19760479041916e-05,8.38323353293413e-05,1.79640718562874e-05
0.003,4.19161676646707e-05,2.39520958083832e-05,3.59281437125749e-05,0.000107784431137725,2.9940119760479e-05
0.004,4.79041916167665e-05,2.9940119760479e-05,3.59281437125749e-05,0.000119760479041916,3.59281437125749e-05
0.005,7.18562874251497e-05,4.79041916167665e-05,0.000119760479041916,0.000143712574850299,4.19161676646707e-05
0.006,7.78443113772455e-05,5.38922155688623e-05,0.000119760479041916,0.000161676646706587,5.98802395209581e-05
0.007,0.000101796407185629,5.98802395209581e-05,0.000119760479041916,0.00018562874251497,9.58083832335329e-05
0.008,0.000107784431137725,6.58682634730539e-05,0.000167664670658683,0.000197604790419162,0.000101796407185629
0.009,0.00011377245508982,7.18562874251497e-05,0.000167664670658683,0.000251497005988024,0.000101796407185629
0.01,0.000131736526946108,0.000101796407185629,0.000167664670658683,0.000263473053892216,0.000107784431137725
0.02,0.000281437125748503,0.000245508982035928,0.000365269461077844,0.000544910179640719,0.000239520958083832
0.03,0.000485029940119761,0.000455089820359281,0.000508982035928144,0.000862275449101796,0.000419161676646707
0.04,0.000754491017964072,0.000730538922155689,0.000772455089820359,0.00118562874251497,0.000652694610778443
0.05,0.00105988023952096,0.00111377245508982,0.0011377245508982,0.00155089820359281,0.000916167664670659
0.06,0.00126946107784431,0.00149700598802395,0.00145508982035928,0.00195209580838323,0.00118562874251497
0.07,0.00167065868263473,0.00187425149700599,0.00193413173652695,0.0024251497005988,0.00146706586826347
0.08,0.00203592814371258,0.00227544910179641,0.0025688622754491,0.00280239520958084,0.00181437125748503
0.09,0.00247305389221557,0.00265868263473054,0.0025688622754491,0.00323952095808383,0.0021437125748503
0.1,0.00280239520958084,0.00302994011976048,0.00329341317365269,0.00373053892215569,0.00250299401197605
