delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.0415149700598802,0.0730479041916168,0.0729041916167665,0.0414670658682635,0.0472275449101796,0.0290359281437126,0.0549041916167665,0.057,0.0316526946107784,0.0345568862275449
0.02,0.163562874251497,0.21002994011976,0.175910179640719,0.166634730538922,0.173455089820359,0.122838323353293,0.165994011976048,0.142616766467066,0.134718562874252,0.133850299401198
0.03,0.376011976047904,0.422473053892216,0.341107784431138,0.38337125748503,0.388197604790419,0.312305389221557,0.360065868263473,0.289041916167665,0.333089820359281,0.327532934131737
0.04,0.59422754491018,0.63322754491018,0.529994011976048,0.603604790419162,0.604724550898204,0.530005988023952,0.57434131736527,0.474263473053892,0.55225748502994,0.544221556886228
0.05,0.741077844311377,0.771329341317365,0.682335329341317,0.747712574850299,0.748191616766467,0.696239520958084,0.731161676646707,0.635293413173653,0.711550898203593,0.70577245508982
0.06,0.827377245508982,0.849011976047904,0.788622754491018,0.830095808383233,0.832317365269461,0.796293413173653,0.822107784431138,0.754646706586826,0.806904191616767,0.803892215568862
0.07,0.877245508982036,0.893455089820359,0.849449101796407,0.87859880239521,0.881646706586826,0.854023952095808,0.874017964071856,0.826149700598803,0.861796407185629,0.860179640718563
0.08,0.912700598802395,0.923520958083832,0.887215568862276,0.913497005988024,0.915928143712575,0.893059880239521,0.908155688622755,0.87014371257485,0.899502994011976,0.897922155688623
0.09,0.939652694610779,0.948964071856287,0.918898203592814,0.940748502994012,0.942239520958084,0.923916167664671,0.936796407185629,0.905389221556886,0.929395209580838,0.927646706586826
0.1,0.960862275449102,0.966317365269461,0.941323353293413,0.962179640718563,0.962562874251497,0.948790419161677,0.957377245508982,0.930149700598802,0.953526946107784,0.951676646706587
