alpha,t2,w2,s2,b2,p2
0.001,0,5.98802395209581e-06,3.59281437125749e-05,1.19760479041916e-05,0
0.002,1.19760479041916e-05,4.19161676646707e-05,9.58083832335329e-05,1.19760479041916e-05,1.19760479041916e-05
0.003,1.19760479041916e-05,4.79041916167665e-05,0.000137724550898204,3.59281437125749e-05,1.19760479041916e-05
0.004,1.79640718562874e-05,6.58682634730539e-05,0.00018562874251497,5.98802395209581e-05,2.39520958083832e-05
0.005,3.59281437125749e-05,7.78443113772455e-05,0.000209580838323353,6.58682634730539e-05,4.19161676646707e-05
0.006,5.38922155688623e-05,8.38323353293413e-05,0.000275449101796407,6.58682634730539e-05,5.38922155688623e-05
0.007,5.98802395209581e-05,8.98203592814371e-05,0.000329341317365269,7.18562874251497e-05,5.98802395209581e-05
0.008,6.58682634730539e-05,0.000107784431137725,0.000389221556886228,9.58083832335329e-05,7.18562874251497e-05
0.009,6.58682634730539e-05,0.000149700598802395,0.000389221556886228,0.00011377245508982,7.78443113772455e-05
0.01,8.38323353293413e-05,0.000191616766467066,0.000520958083832335,0.000119760479041916,8.98203592814371e-05
0.02,0.000197604790419162,0.000467065868263473,0.00103592814371257,0.000263473053892216,0.000197604790419162
0.03,0.000353293413173653,0.000718562874251497,0.00170658682634731,0.000497005988023952,0.000377245508982036
0.04,0.000580838323353293,0.000988023952095809,0.00240119760479042,0.000730538922155689,0.000604790419161677
0.05,0.000772455089820359,0.0012874251497006,0.00280838323353293,0.000952095808383234,0.000784431137724551
0.06,0.000976047904191617,0.00172455089820359,0.00372455089820359,0.00111976047904192,0.000976047904191617
0.07,0.00115568862275449,0.00207185628742515,0.00394610778443114,0.00137125748502994,0.0011497005988024
0.08,0.00138922155688623,0.00251497005988024,0.00509580838323353,0.00165269461077844,0.00138922155688623
0.09,0.00165868263473054,0.00305988023952096,0.00564670658682635,0.00198203592814371,0.00166467065868263
0.1,0.00197604790419162,0.00346706586826347,0.00608383233532934,0.00223353293413174,0.00196407185628743
