alpha,t2,w2,s2,b2,p2
0.001,0,5.98802395209581e-06,0.000179640718562874,0,0
0.002,0,2.9940119760479e-05,0.00029940119760479,0,0
0.003,0,3.59281437125749e-05,0.000413173652694611,0,0
0.004,0,5.98802395209581e-05,0.000491017964071856,0,0
0.005,0,6.58682634730539e-05,0.000532934131736527,0,0
0.006,0,7.18562874251497e-05,0.000604790419161677,5.98802395209581e-06,0
0.007,5.98802395209581e-06,7.18562874251497e-05,0.000676646706586826,5.98802395209581e-06,5.98802395209581e-06
0.008,5.98802395209581e-06,8.98203592814371e-05,0.00070059880239521,5.98802395209581e-06,5.98802395209581e-06
0.009,5.98802395209581e-06,9.58083832335329e-05,0.000790419161676647,5.98802395209581e-06,5.98802395209581e-06
0.01,5.98802395209581e-06,0.000107784431137725,0.000820359281437126,5.98802395209581e-06,5.98802395209581e-06
0.02,1.19760479041916e-05,0.000263473053892216,0.0012814371257485,1.79640718562874e-05,1.79640718562874e-05
0.03,1.79640718562874e-05,0.000359281437125749,0.00173652694610778,1.79640718562874e-05,1.79640718562874e-05
0.04,2.9940119760479e-05,0.000479041916167665,0.00207185628742515,2.9940119760479e-05,2.9940119760479e-05
0.05,5.98802395209581e-05,0.000652694610778443,0.00238922155688623,7.18562874251497e-05,5.98802395209581e-05
0.06,8.98203592814371e-05,0.000784431137724551,0.00270059880239521,0.00011377245508982,8.98203592814371e-05
0.07,0.000131736526946108,0.000952095808383234,0.00313173652694611,0.000137724550898204,0.000137724550898204
0.08,0.000143712574850299,0.00108982035928144,0.00343712574850299,0.000167664670658683,0.000143712574850299
0.09,0.000215568862275449,0.00125149700598802,0.00365868263473054,0.000227544910179641,0.000215568862275449
0.1,0.000239520958083832,0.00144910179640719,0.00394011976047904,0.000263473053892216,0.000245508982035928
