alpha,t2,w2,s2,b2,p2
0.001,0,0,1.19760479041916e-05,0,0
0.002,0,0,3.59281437125749e-05,0,0
0.003,0,0,5.38922155688623e-05,0,0
0.004,0,0,7.18562874251497e-05,0,0
0.005,0,0,8.38323353293413e-05,0,0
0.006,0,0,9.58083832335329e-05,0,0
0.007,0,0,0.000119760479041916,0,0
0.008,0,0,0.000125748502994012,0,0
0.009,0,0,0.000137724550898204,5.98802395209581e-06,0
0.01,5.98802395209581e-06,5.98802395209581e-06,0.000137724550898204,5.98802395209581e-06,0
0.02,1.79640718562874e-05,2.39520958083832e-05,0.00025748502994012,1.79640718562874e-05,1.79640718562874e-05
0.03,4.79041916167665e-05,3.59281437125749e-05,0.000365269461077844,5.98802395209581e-05,4.79041916167665e-05
0.04,7.78443113772455e-05,9.58083832335329e-05,0.000538922155688623,8.98203592814371e-05,7.78443113772455e-05
0.05,0.000107784431137725,0.000149700598802395,0.000694610778443114,0.000125748502994012,0.000107784431137725
0.06,0.000131736526946108,0.000167664670658683,0.000850299401197605,0.000179640718562874,0.000131736526946108
0.07,0.000203592814371258,0.000239520958083832,0.000916167664670659,0.000221556886227545,0.000203592814371258
0.08,0.00025748502994012,0.000305389221556886,0.00104790419161677,0.000275449101796407,0.000263473053892216
0.09,0.00029940119760479,0.00037125748502994,0.00120958083832335,0.000317365269461078,0.000305389221556886
0.1,0.000353293413173653,0.000401197604790419,0.00136526946107784,0.000365269461077844,0.000353293413173653
