delta,t2,w2,s2,b2,p2
0.01,0.000502994011976048,0.00116766467065868,0.0018622754491018,0.00081437125748503,0.000550898203592814
0.02,0.00011377245508982,0.000203592814371258,0.000532934131736527,0.000155688622754491,0.000131736526946108
0.03,1.79640718562874e-05,6.58682634730539e-05,0.00018562874251497,5.98802395209581e-05,2.39520958083832e-05
0.04,1.79640718562874e-05,2.9940119760479e-05,8.98203592814371e-05,2.9940119760479e-05,1.19760479041916e-05
0.05,0,5.98802395209581e-06,6.58682634730539e-05,5.98802395209581e-06,0
0.06,0,0,1.19760479041916e-05,0,0
0.07,0,0,2.39520958083832e-05,0,0
0.08,0,0,0,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
