delta,t2,w2,s2,b2,p2
0.01,0.000676646706586826,0.00112574850299401,0.000736526946107784,0.00170059880239521,0.000838323353293413
0.02,0.00037125748502994,0.000538922155688623,0.000341317365269461,0.000796407185628743,0.000401197604790419
0.03,0.000119760479041916,0.000233532934131737,0.000191616766467066,0.000407185628742515,0.000155688622754491
0.04,2.9940119760479e-05,6.58682634730539e-05,5.38922155688623e-05,0.000107784431137725,4.19161676646707e-05
0.05,2.9940119760479e-05,5.38922155688623e-05,5.98802395209581e-05,6.58682634730539e-05,2.9940119760479e-05
0.06,0,0,2.39520958083832e-05,1.19760479041916e-05,0
0.07,2.39520958083832e-05,2.39520958083832e-05,2.39520958083832e-05,2.39520958083832e-05,2.39520958083832e-05
0.08,0,0,0,5.98802395209581e-06,0
0.09,5.98802395209581e-06,1.19760479041916e-05,1.19760479041916e-05,5.98802395209581e-06,5.98802395209581e-06
0.1,0,0,0,0,0
