delta,t2,w2,s2,b2,p2
0.01,0.000544910179640719,0.000838323353293413,0.000544910179640719,0.00144311377245509,0.000718562874251497
0.02,0.000155688622754491,0.000287425149700599,0.000209580838323353,0.000461077844311377,0.000209580838323353
0.03,8.38323353293413e-05,0.000131736526946108,7.18562874251497e-05,0.000209580838323353,0.000125748502994012
0.04,3.59281437125749e-05,4.79041916167665e-05,2.9940119760479e-05,7.18562874251497e-05,4.19161676646707e-05
0.05,1.19760479041916e-05,1.19760479041916e-05,2.39520958083832e-05,3.59281437125749e-05,2.39520958083832e-05
0.06,5.98802395209581e-06,5.98802395209581e-06,1.19760479041916e-05,5.98802395209581e-06,5.98802395209581e-06
0.07,5.98802395209581e-06,1.19760479041916e-05,1.19760479041916e-05,1.19760479041916e-05,5.98802395209581e-06
0.08,0,0,5.98802395209581e-06,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
