delta,t2,w2,s2,b2,p2
0.01,0.000167664670658683,0.000916167664670659,0.00298802395209581,0.000227544910179641,0.000203592814371258
0.02,1.19760479041916e-05,0.000197604790419162,0.00110179640718563,2.39520958083832e-05,1.19760479041916e-05
0.03,0,5.98802395209581e-05,0.000491017964071856,0,0
0.04,0,2.39520958083832e-05,0.000161676646706587,0,0
0.05,0,0,5.38922155688623e-05,0,0
0.06,0,0,2.39520958083832e-05,0,0
0.07,0,0,5.98802395209581e-06,0,0
0.08,0,0,5.98802395209581e-06,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
