delta,t2,w2,s2,b2,p2
0.01,0.000365269461077844,0.000784431137724551,0.00131736526946108,0.000580838323353293,0.000413173652694611
0.02,0.000101796407185629,0.000197604790419162,0.000461077844311377,0.000161676646706587,0.000119760479041916
0.03,2.39520958083832e-05,3.59281437125749e-05,0.000191616766467066,2.9940119760479e-05,2.39520958083832e-05
0.04,0,5.98802395209581e-06,7.18562874251497e-05,0,0
0.05,0,0,5.38922155688623e-05,0,0
0.06,0,5.98802395209581e-06,1.79640718562874e-05,0,0
0.07,0,0,2.39520958083832e-05,0,0
0.08,0,5.98802395209581e-06,1.19760479041916e-05,0,0
0.09,0,0,5.98802395209581e-06,0,0
0.1,0,0,0,0,0
