delta,t2,w2,s2,b2,p2
0.01,0.00224550898203593,0.00650898203592815,0.0119041916167665,0.00250898203592814,0.00227544910179641
0.02,0.000389221556886228,0.00183832335329341,0.0040059880239521,0.000437125748502994,0.000407185628742515
0.03,7.78443113772455e-05,0.000880239520958084,0.0017125748502994,9.58083832335329e-05,8.38323353293413e-05
0.04,1.19760479041916e-05,0.000233532934131737,0.000682634730538922,1.19760479041916e-05,1.19760479041916e-05
0.05,5.98802395209581e-06,8.38323353293413e-05,0.000335329341317365,1.19760479041916e-05,5.98802395209581e-06
0.06,0,5.38922155688623e-05,0.000197604790419162,0,0
0.07,0,2.39520958083832e-05,0.000107784431137725,0,0
0.08,0,0,0,0,0
0.09,0,0,1.79640718562874e-05,0,0
0.1,0,0,1.79640718562874e-05,0,0
