delta,t2,w2,s2,b2,p2
0.01,0.00588023952095808,0.0103413173652695,0.0127185628742515,0.0071497005988024,0.00604191616766467
0.02,0.00198802395209581,0.0032874251497006,0.00532335329341317,0.00235928143712575,0.00202395209580838
0.03,0.000580838323353293,0.000988023952095809,0.00240119760479042,0.000730538922155689,0.000604790419161677
0.04,0.000173652694610778,0.00037125748502994,0.00106586826347305,0.000227544910179641,0.000191616766467066
0.05,7.78443113772455e-05,0.000143712574850299,0.000467065868263473,9.58083832335329e-05,7.78443113772455e-05
0.06,1.19760479041916e-05,2.9940119760479e-05,0.00011377245508982,1.79640718562874e-05,1.19760479041916e-05
0.07,1.79640718562874e-05,2.9940119760479e-05,0.00011377245508982,2.9940119760479e-05,1.79640718562874e-05
0.08,5.98802395209581e-06,1.79640718562874e-05,2.39520958083832e-05,5.98802395209581e-06,5.98802395209581e-06
0.09,0,0,1.19760479041916e-05,5.98802395209581e-06,0
0.1,0,0,2.39520958083832e-05,0,0
