delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.00967065868263473,0.0121736526946108,0.0234071856287425,0.0110119760479042,0.00976047904191617,0.00635329341317365,0.0082814371257485,0.0194670658682635,0.00776646706586826,0.00651497005988024
0.02,0.0178682634730539,0.0214251497005988,0.0329820359281437,0.0202155688622755,0.0180898203592814,0.0105209580838323,0.0133652694610778,0.0241377245508982,0.0127844311377246,0.0107724550898204
0.03,0.0302035928143713,0.0347425149700599,0.0496047904191617,0.0336706586826347,0.0304850299401198,0.017748502994012,0.0213832335329341,0.0350239520958084,0.0211437125748503,0.0179820359281437
0.04,0.0503832335329341,0.0554550898203593,0.0681077844311377,0.0562574850299401,0.0507365269461078,0.0309101796407186,0.0343652694610779,0.0474850299401198,0.035940119760479,0.0313293413173653
0.05,0.0798682634730539,0.084748502994012,0.0955868263473054,0.0879520958083832,0.0803592814371257,0.0507964071856287,0.0548323353293413,0.067562874251497,0.0588682634730539,0.0512934131736527
0.06,0.117640718562874,0.122766467065868,0.127179640718563,0.128724550898204,0.118263473053892,0.0775029940119761,0.0808323353293413,0.0910299401197605,0.0891377245508982,0.0781017964071856
0.07,0.169191616766467,0.173089820359281,0.172395209580838,0.182688622754491,0.169910179640719,0.116640718562874,0.118916167664671,0.12597005988024,0.131808383233533,0.117580838323353
0.08,0.232365269461078,0.236191616766467,0.220089820359281,0.249634730538922,0.23288622754491,0.168820359281437,0.170041916167665,0.164670658682635,0.187449101796407,0.169778443113772
0.09,0.303622754491018,0.304035928143713,0.271706586826347,0.323179640718563,0.304311377245509,0.228718562874252,0.227892215568862,0.209215568862275,0.251047904191617,0.229550898203593
0.1,0.385233532934132,0.383706586826347,0.33677245508982,0.406508982035928,0.385850299401198,0.300455089820359,0.297568862275449,0.266137724550898,0.326688622754491,0.301251497005988
