delta,t2,w2,s2,b2,p2
0.01,0.0197964071856287,0.0214790419161677,0.0167425149700599,0.0248862275449102,0.0199700598802395
0.02,0.00786826347305389,0.00869461077844311,0.00810179640718563,0.0102574850299401,0.00790419161676647
0.03,0.00344311377245509,0.00422754491017964,0.00437724550898204,0.00464670658682635,0.00344311377245509
0.04,0.00134730538922156,0.00173652694610778,0.00219161676646707,0.00182634730538922,0.00136526946107784
0.05,0.000616766467065868,0.000802395209580838,0.0012814371257485,0.000826347305389222,0.000610778443113772
0.06,0.000215568862275449,0.000287425149700599,0.000712574850299401,0.000293413173652695,0.000215568862275449
0.07,0.000101796407185629,0.000125748502994012,0.000395209580838323,0.000125748502994012,0.000107784431137725
0.08,7.18562874251497e-05,9.58083832335329e-05,0.000233532934131737,7.78443113772455e-05,6.58682634730539e-05
0.09,2.39520958083832e-05,2.9940119760479e-05,0.000137724550898204,2.9940119760479e-05,2.39520958083832e-05
0.1,5.98802395209581e-06,1.19760479041916e-05,7.18562874251497e-05,1.79640718562874e-05,5.98802395209581e-06
