delta,t2,w2,s2,b2,p2
0.01,0.017,0.0187784431137725,0.0147784431137725,0.0215149700598802,0.0173532934131737
0.02,0.00668263473053892,0.00790419161676647,0.00702395209580838,0.00882634730538922,0.00683233532934132
0.03,0.0032814371257485,0.00408982035928144,0.00388023952095808,0.00433532934131737,0.00331736526946108
0.04,0.00167664670658683,0.00197005988023952,0.00204790419161677,0.00216167664670659,0.00167664670658683
0.05,0.000748502994011976,0.0011437125748503,0.00146706586826347,0.00117365269461078,0.000760479041916168
0.06,0.000502994011976048,0.000634730538922156,0.000868263473053892,0.000706586826347305,0.000508982035928144
0.07,0.000245508982035928,0.00044311377245509,0.000694610778443114,0.000377245508982036,0.00025748502994012
0.08,0.000149700598802395,0.000281437125748503,0.000497005988023952,0.00018562874251497,0.000149700598802395
0.09,8.98203592814371e-05,0.000131736526946108,0.000305389221556886,0.000107784431137725,9.58083832335329e-05
0.1,4.19161676646707e-05,7.18562874251497e-05,0.000251497005988024,5.38922155688623e-05,5.38922155688623e-05
