delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.150467065868263,0.198173652694611,0.191191616766467,0.154652694610778,0.151023952095808,0.0980299401197605,0.14422754491018,0.150299401197605,0.104640718562874,0.099748502994012
0.02,0.369305389221557,0.412688622754491,0.35977245508982,0.375712574850299,0.370520958083832,0.274107784431138,0.324059880239521,0.286281437125749,0.286491017964072,0.277203592814371
0.03,0.616838323353293,0.639095808383234,0.546538922155689,0.623832335329341,0.61797005988024,0.514730538922156,0.549934131736527,0.46697005988024,0.528562874251497,0.517796407185629
0.04,0.794215568862275,0.800395209580838,0.700467065868264,0.799437125748503,0.795065868263473,0.71614371257485,0.732101796407186,0.628922155688623,0.727616766467066,0.718718562874252
0.05,0.900730538922156,0.900083832335329,0.811844311377246,0.904604790419162,0.901083832335329,0.851784431137725,0.85448502994012,0.755407185628743,0.858940119760479,0.853263473053892
0.06,0.955994011976048,0.955035928143712,0.892431137724551,0.958137724550898,0.956209580838323,0.928676646706587,0.930359281437126,0.853467065868264,0.932754491017964,0.929437125748503
0.07,0.980910179640719,0.979455089820359,0.936814371257485,0.982053892215569,0.980934131736527,0.966688622754491,0.966263473053892,0.911676646706587,0.969065868263473,0.967095808383234
0.08,0.992059880239521,0.991,0.961754491017964,0.992610778443114,0.992077844311377,0.985233532934132,0.984149700598802,0.945059880239521,0.986473053892216,0.985407185628743
0.09,0.996580838323353,0.995934131736527,0.976556886227545,0.996898203592814,0.99659880239521,0.99340119760479,0.992562874251497,0.964958083832335,0.994035928143713,0.993461077844311
0.1,0.99859880239521,0.998520958083832,0.987185628742515,0.998700598802395,0.998610778443114,0.996904191616767,0.996748502994012,0.979814371257485,0.997245508982036,0.996934131736527
