delta,t2,w2,s2,b2,p2
0.01,0.000790419161676647,0.000958083832335329,0.00294011976047904,0.00102994011976048,0.000760479041916168
0.02,0.000191616766467066,0.000269461077844311,0.00120359281437126,0.000263473053892216,0.000191616766467066
0.03,4.19161676646707e-05,5.38922155688623e-05,0.000497005988023952,6.58682634730539e-05,3.59281437125749e-05
0.04,0,1.79640718562874e-05,0.000233532934131737,0,0
0.05,0,0,0.000167664670658683,5.98802395209581e-06,0
0.06,0,0,4.79041916167665e-05,0,0
0.07,0,0,2.9940119760479e-05,0,0
0.08,0,0,5.98802395209581e-06,0,0
0.09,0,0,5.98802395209581e-06,0,0
0.1,0,0,0,0,0
