delta,t2,w2,s2,b2,p2
0.01,0.000520958083832335,0.000934131736526946,0.000784431137724551,0.00141317365269461,0.000808383233532934
0.02,0.000167664670658683,0.000365269461077844,0.000329341317365269,0.000419161676646707,0.000245508982035928
0.03,5.38922155688623e-05,0.000149700598802395,0.000161676646706587,0.000191616766467066,0.000107784431137725
0.04,4.19161676646707e-05,4.19161676646707e-05,5.98802395209581e-05,8.98203592814371e-05,3.59281437125749e-05
0.05,0,3.59281437125749e-05,4.19161676646707e-05,4.19161676646707e-05,3.59281437125749e-05
0.06,5.98802395209581e-06,1.79640718562874e-05,1.79640718562874e-05,2.9940119760479e-05,1.79640718562874e-05
0.07,0,5.98802395209581e-06,2.39520958083832e-05,5.98802395209581e-06,0
0.08,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06
0.09,5.98802395209581e-06,5.98802395209581e-06,0,5.98802395209581e-06,5.98802395209581e-06
0.1,0,0,5.98802395209581e-06,0,0
