delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.12597005988024,0.16577245508982,0.15877245508982,0.128395209580838,0.127904191616766,0.0872994011976048,0.127556886227545,0.129532934131737,0.093251497005988,0.090311377245509
0.02,0.272137724550898,0.298820359281437,0.255934131736527,0.277437125748503,0.273784431137725,0.200215568862275,0.231059880239521,0.201065868263473,0.211604790419162,0.203898203592814
0.03,0.457173652694611,0.465305389221557,0.37777245508982,0.463796407185629,0.459305389221557,0.360664670658683,0.378580838323353,0.304389221556886,0.37625748502994,0.365173652694611
0.04,0.641934131736527,0.630281437125749,0.506994011976048,0.648736526946108,0.643652694610779,0.544910179640719,0.544155688622755,0.426538922155689,0.561053892215569,0.549293413173653
0.05,0.789748502994012,0.76474251497006,0.624910179640719,0.79559880239521,0.791095808383234,0.712443113772455,0.692011976047904,0.545467065868263,0.726323353293413,0.715748502994012
0.06,0.882101796407186,0.85885628742515,0.722473053892216,0.886604790419162,0.88285628742515,0.828101796407186,0.803329341317365,0.652191616766467,0.838359281437126,0.83011377245509
0.07,0.938077844311377,0.922449101796407,0.807347305389222,0.940760479041916,0.938395209580838,0.905095808383234,0.885059880239521,0.74885628742515,0.911610778443114,0.906359281437126
0.08,0.970952095808383,0.960251497005988,0.872437125748503,0.972778443113772,0.971155688622754,0.951538922155689,0.937964071856287,0.825688622754491,0.955065868263473,0.952107784431138
0.09,0.986718562874252,0.98059880239521,0.913820359281437,0.987610778443114,0.986760479041916,0.976796407185629,0.967329341317365,0.879754491017964,0.978976047904192,0.977065868263473
0.1,0.994191616766467,0.990616766467066,0.945047904191617,0.994658682634731,0.994233532934132,0.989095808383233,0.983814371257485,0.920185628742515,0.990281437125748,0.989221556886228
