delta,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.01,0.013,0.016185628742515,0.0290838323353293,0.0149101796407186,0.0131437125748503,0.0085688622754491,0.0109940119760479,0.0238562874251497,0.0104131736526946,0.00865269461077844
0.02,0.0237185628742515,0.0278383233532934,0.0407964071856287,0.0261317365269461,0.0238383233532934,0.0140239520958084,0.0173952095808383,0.0295149700598802,0.0164910179640719,0.0141497005988024
0.03,0.0391377245508982,0.0444191616766467,0.0598982035928144,0.0435089820359281,0.0394251497005988,0.0232634730538922,0.0271976047904192,0.0422395209580838,0.0269820359281437,0.0234191616766467
0.04,0.0639341317365269,0.0695508982035928,0.0824670658682635,0.0699640718562874,0.0642035928143713,0.0393173652694611,0.0435329341317365,0.0569880239520958,0.0451736526946108,0.0396467065868264
0.05,0.099125748502994,0.104994011976048,0.113455089820359,0.107718562874252,0.0994850299401198,0.0630718562874252,0.0682035928143713,0.0801317365269461,0.0719041916167665,0.0635928143712575
0.06,0.143125748502994,0.148802395209581,0.149275449101796,0.154077844311377,0.143526946107784,0.0955209580838323,0.0993892215568862,0.106754491017964,0.107353293413174,0.0961556886227545
0.07,0.200425149700599,0.205550898203593,0.19940119760479,0.214874251497006,0.200994011976048,0.140209580838323,0.142940119760479,0.146508982035928,0.156077844311377,0.140982035928144
0.08,0.270233532934132,0.275239520958084,0.251550898203593,0.286760479041916,0.270580838323353,0.197508982035928,0.199928143712575,0.189293413173653,0.215880239520958,0.198245508982036
0.09,0.345718562874252,0.347179640718563,0.306389221556886,0.363688622754491,0.346263473053892,0.262556886227545,0.262736526946108,0.237413173652695,0.284994011976048,0.263149700598802
0.1,0.430754491017964,0.430101796407186,0.375850299401198,0.451131736526946,0.431365269461078,0.340005988023952,0.337538922155689,0.298395209580838,0.364682634730539,0.340682634730539
