alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.0187065868263473,0.0364730538922156,0.042874251497006,0.0200179640718563,0.0206706586826347,0.0132455089820359,0.0272275449101796,0.0337305389221557,0.0148083832335329,0.0151317365269461
0.002,0.0275808383233533,0.0507544910179641,0.0568562874251497,0.0291197604790419,0.0295508982035928,0.018748502994012,0.0369101796407186,0.0442814371257485,0.0211976047904192,0.0207425149700599
0.003,0.0350838323353293,0.061562874251497,0.0670059880239521,0.0370718562874251,0.0372874251497006,0.0234910179640719,0.0446586826347305,0.0528682634730539,0.0263952095808383,0.0256107784431138
0.004,0.0417964071856287,0.0708502994011976,0.0760538922155689,0.043874251497006,0.0441077844311377,0.027748502994012,0.0515748502994012,0.0591796407185629,0.0308443113772455,0.029748502994012
0.005,0.0478802395209581,0.079059880239521,0.0852634730538922,0.0502155688622755,0.0502275449101796,0.031437125748503,0.0573892215568862,0.064562874251497,0.0353652694610779,0.0338263473053892
0.006,0.0537185628742515,0.086185628742515,0.0924910179640719,0.0562634730538922,0.0560838323353293,0.0353952095808383,0.0627844311377246,0.070125748502994,0.0393532934131737,0.0376586826347305
0.007,0.0595089820359281,0.0932095808383234,0.0995149700598802,0.0618802395209581,0.0617964071856287,0.0388203592814371,0.0677904191616767,0.0759820359281437,0.0431616766467066,0.041377245508982
0.008,0.0649640718562874,0.100131736526946,0.103491017964072,0.0673053892215569,0.0669760479041916,0.0422574850299401,0.0724071856287425,0.0798862275449102,0.0466766467065868,0.0445329341317365
0.009,0.0698083832335329,0.106712574850299,0.110844311377246,0.0723952095808383,0.0718383233532934,0.0453832335329341,0.07637125748503,0.0860658682634731,0.0499580838323353,0.0477664670658683
0.01,0.0742994011976048,0.112353293413174,0.115718562874252,0.0772994011976048,0.0762634730538922,0.0484610778443114,0.080940119760479,0.0898982035928144,0.0533353293413174,0.0508383233532934
0.02,0.115952095808383,0.161796407185629,0.159473053892216,0.11959880239521,0.117383233532934,0.0755209580838323,0.115994011976048,0.123395209580838,0.0815988023952096,0.0775449101796407
0.03,0.150467065868263,0.198173652694611,0.191191616766467,0.154652694610778,0.151023952095808,0.0980299401197605,0.14422754491018,0.150299401197605,0.104640718562874,0.099748502994012
0.04,0.180526946107784,0.229491017964072,0.218125748502994,0.184736526946108,0.180784431137725,0.118952095808383,0.16902994011976,0.17288622754491,0.126179640718563,0.12037125748503
0.05,0.207922155688623,0.256982035928144,0.24062874251497,0.21285628742515,0.207994011976048,0.137652694610778,0.189473053892216,0.190862275449102,0.144952095808383,0.139047904191617
0.06,0.233377245508982,0.281736526946108,0.263868263473054,0.238239520958084,0.233131736526946,0.155239520958084,0.208808383233533,0.209778443113772,0.162149700598802,0.155820359281437
0.07,0.257287425149701,0.304538922155689,0.282005988023952,0.26222754491018,0.256616766467066,0.171664670658683,0.226077844311377,0.225652694610778,0.179071856287425,0.172215568862275
0.08,0.279958083832335,0.325473053892216,0.29940119760479,0.284904191616766,0.278898203592814,0.187544910179641,0.24337125748503,0.241461077844311,0.195023952095808,0.18785628742515
0.09,0.300916167664671,0.345904191616766,0.321700598802395,0.305419161676647,0.299592814371258,0.202646706586826,0.259083832335329,0.256413173652695,0.210107784431138,0.202790419161677
0.1,0.320634730538922,0.364155688622755,0.334538922155689,0.32551497005988,0.319287425149701,0.217341317365269,0.274497005988024,0.267874251497006,0.225023952095808,0.217389221556886
