alpha,t2,w2,s2,b2,p2
0.001,0,0,0,0,0
0.002,0,0,0,0,0
0.003,0,0,0,0,0
0.004,0,0,0,0,0
0.005,0,0,0,0,0
0.006,0,0,0,0,0
0.007,0,0,0,0,0
0.008,0,0,0,0,0
0.009,0,0,0,0,0
0.01,0,0,1.19760479041916e-05,0,0
0.02,0,0,7.78443113772455e-05,0,0
0.03,0,1.19760479041916e-05,8.38323353293413e-05,0,0
0.04,0,2.39520958083832e-05,0.000107784431137725,0,0
0.05,0,2.9940119760479e-05,0.000131736526946108,0,0
0.06,0,3.59281437125749e-05,0.000131736526946108,0,0
0.07,0,4.19161676646707e-05,0.000149700598802395,0,0
0.08,0,5.38922155688623e-05,0.000167664670658683,0,0
0.09,0,6.58682634730539e-05,0.000179640718562874,0,0
0.1,0,7.18562874251497e-05,0.000191616766467066,0,0
