alpha,t2,w2,s2,b2,p2
0.001,0.000209580838323353,7.18562874251497e-05,0.00025748502994012,0.000892215568862276,0.00029940119760479
0.002,0.000395209580838323,0.000221556886227545,0.000407185628742515,0.00176047904191617,0.000532934131736527
0.003,0.000676646706586826,0.000407185628742515,0.000598802395209581,0.00241317365269461,0.000850299401197605
0.004,0.000976047904191617,0.00051497005988024,0.000724550898203593,0.00304191616766467,0.00122155688622754
0.005,0.0014311377245509,0.000766467065868264,0.00117964071856287,0.00364071856287425,0.00159281437125749
0.006,0.00180838323353293,0.00101197604790419,0.00117964071856287,0.00426946107784431,0.00198802395209581
0.007,0.0021437125748503,0.00132335329341317,0.00131736526946108,0.00489221556886228,0.00231736526946108
0.008,0.00246107784431138,0.00163473053892216,0.00210179640718563,0.0054311377245509,0.00264670658682635
0.009,0.00276646706586826,0.00192814371257485,0.00210179640718563,0.00592215568862275,0.00304191616766467
0.01,0.00315568862275449,0.00225149700598802,0.00210179640718563,0.00650299401197605,0.00333532934131737
0.02,0.00694610778443114,0.00567065868263473,0.00475449101796407,0.0115209580838323,0.00719760479041916
0.03,0.0106167664670659,0.0097125748502994,0.00698203592814371,0.016437125748503,0.0108263473053892
0.04,0.0147065868263473,0.0134191616766467,0.0108562874251497,0.021251497005988,0.0147425149700599
0.05,0.0188922155688623,0.0175928143712575,0.0136467065868263,0.0259161676646707,0.0187844311377246
0.06,0.0228982035928144,0.0217125748502994,0.0157365269461078,0.030185628742515,0.0227544910179641
0.07,0.027125748502994,0.0259101796407186,0.0184910179640719,0.0348203592814371,0.0269101796407186
0.08,0.0310419161676647,0.0300658682634731,0.0226107784431138,0.0390119760479042,0.0307065868263473
0.09,0.0352994011976048,0.0338203592814371,0.0226107784431138,0.0434790419161677,0.0348502994011976
0.1,0.039125748502994,0.0381077844311377,0.0284491017964072,0.0480838323353293,0.0390059880239521
