alpha,t2,w2,s2,b2,p2
0.001,0.000179640718562874,0.000287425149700599,0.000305389221556886,0.000568862275449102,0.000239520958083832
0.002,0.000341317365269461,0.000616766467065868,0.000497005988023952,0.00102994011976048,0.000473053892215569
0.003,0.000526946107784431,0.000856287425149701,0.000730538922155689,0.0012874251497006,0.000688622754491018
0.004,0.000676646706586826,0.00112574850299401,0.000736526946107784,0.00170059880239521,0.000838323353293413
0.005,0.000880239520958084,0.00135928143712575,0.00111976047904192,0.00202395209580838,0.00107784431137725
0.006,0.00106586826347305,0.00159281437125749,0.00111976047904192,0.00236526946107784,0.00131137724550898
0.007,0.00116167664670659,0.00202395209580838,0.00162874251497006,0.00263473053892216,0.00155089820359281
0.008,0.00139520958083832,0.00219760479041916,0.00197604790419162,0.00291017964071856,0.00173652694610778
0.009,0.00160479041916168,0.00250898203592814,0.00197604790419162,0.00321556886227545,0.00197604790419162
0.01,0.00188622754491018,0.00272455089820359,0.00197604790419162,0.00350299401197605,0.00217365269461078
0.02,0.00381437125748503,0.00533532934131737,0.00426946107784431,0.00623952095808383,0.00424550898203593
0.03,0.00572455089820359,0.00811976047904192,0.0064251497005988,0.00907185628742515,0.00624550898203593
0.04,0.00811377245508982,0.0106467065868263,0.00852095808383234,0.011688622754491,0.00852095808383234
0.05,0.0104431137724551,0.0129520958083832,0.0103173652694611,0.0144610778443114,0.0108502994011976
0.06,0.0126047904191617,0.0160119760479042,0.0125748502994012,0.0172275449101796,0.0130778443113772
0.07,0.0151137724550898,0.0181377245508982,0.016185628742515,0.0200778443113772,0.0154610778443114
0.08,0.017622754491018,0.0205868263473054,0.0181197604790419,0.0228622754491018,0.0179161676646707
0.09,0.0202694610778443,0.0233832335329341,0.0181197604790419,0.0256407185628743,0.0204311377245509
0.1,0.0228862275449102,0.0263413173652695,0.0233053892215569,0.0284850299401198,0.0230119760479042
