delta,t2,w2,s2,b2,p2
0.01,0.00951497005988024,0.00982035928143713,0.0116826347305389,0.011874251497006,0.00950898203592814
0.02,0.00659880239520958,0.00654491017964072,0.0082814371257485,0.00805988023952096,0.00660479041916168
0.03,0.00395209580838323,0.00395808383233533,0.00526946107784431,0.00504191616766467,0.00396407185628743
0.04,0.00250299401197605,0.00245508982035928,0.00348502994011976,0.00325748502994012,0.00252095808383234
0.05,0.00148502994011976,0.00145508982035928,0.00230538922155689,0.00182634730538922,0.00148502994011976
0.06,0.000964071856287425,0.000892215568862276,0.00150299401197605,0.00127544910179641,0.000958083832335329
0.07,0.000562874251497006,0.000491017964071856,0.000868263473053892,0.000736526946107784,0.000568862275449102
0.08,0.000347305389221557,0.000353293413173653,0.000652694610778443,0.000449101796407186,0.000353293413173653
0.09,0.000209580838323353,0.000233532934131737,0.000407185628742515,0.000263473053892216,0.000209580838323353
0.1,8.38323353293413e-05,9.58083832335329e-05,0.000227544910179641,0.000119760479041916,8.38323353293413e-05
