delta,t2,w2,s2,b2,p2
0.01,0.00802994011976048,0.00897005988023952,0.0168862275449102,0.00908982035928144,0.00804191616766467
0.02,0.00411377245508982,0.00474850299401198,0.0103053892215569,0.00476047904191617,0.00416167664670659
0.03,0.00206586826347305,0.00261676646706587,0.00682035928143713,0.00234730538922156,0.00209580838323353
0.04,0.00102994011976048,0.00120359281437126,0.00415568862275449,0.00120958083832335,0.00102994011976048
0.05,0.000568862275449102,0.000664670658682635,0.00255688622754491,0.000646706586826347,0.000568862275449102
0.06,0.000227544910179641,0.00025748502994012,0.00127544910179641,0.000251497005988024,0.000221556886227545
0.07,0.000149700598802395,0.000173652694610778,0.000904191616766467,0.000155688622754491,0.000149700598802395
0.08,4.79041916167665e-05,3.59281437125749e-05,0.000365269461077844,5.98802395209581e-05,4.79041916167665e-05
0.09,3.59281437125749e-05,2.9940119760479e-05,0.000239520958083832,3.59281437125749e-05,3.59281437125749e-05
0.1,5.98802395209581e-06,5.98802395209581e-06,6.58682634730539e-05,5.98802395209581e-06,5.98802395209581e-06
