alpha,t1,w1,s1,b1,p1,t2,w2,s2,b2,p2
0.001,0.023874251497006,0.0340658682634731,0.0214431137724551,0.0421736526946108,0.0325808383233533,0.0146526946107784,0.0225568862275449,0.0150119760479042,0.0337005988023952,0.0212275449101796
0.002,0.0386646706586826,0.0525928143712575,0.0301137724550898,0.0598562874251497,0.0491916167664671,0.0239101796407186,0.034125748502994,0.0214910179640719,0.0475389221556886,0.0325808383233533
0.003,0.0512994011976048,0.0664311377245509,0.0408203592814371,0.0742634730538922,0.0622934131736527,0.0318383233532934,0.0439221556886228,0.0301556886227545,0.0584311377245509,0.0413293413173653
0.004,0.0622754491017964,0.077940119760479,0.0552155688622755,0.0862035928143713,0.0741077844311377,0.038748502994012,0.0527245508982036,0.030185628742515,0.0678443113772455,0.0494550898203593
0.005,0.0724910179640719,0.0913293413173653,0.0552155688622755,0.0974850299401198,0.0847365269461078,0.0452215568862276,0.05937125748503,0.0409700598802395,0.076125748502994,0.0561197604790419
0.006,0.0820958083832335,0.100988023952096,0.0718922155688623,0.10748502994012,0.0938263473053892,0.0514311377245509,0.0666467065868264,0.0409700598802395,0.0837425149700599,0.0625029940119761
0.007,0.0907245508982036,0.110832335329341,0.0727544910179641,0.116880239520958,0.102682634730539,0.0570718562874252,0.0744610778443114,0.0475149700598802,0.0906526946107785,0.0684850299401198
0.008,0.0990299401197605,0.12159880239521,0.0766467065868264,0.125431137724551,0.111047904191617,0.0624550898203593,0.0781916167664671,0.0554730538922156,0.0969281437125749,0.0743173652694611
0.009,0.107197604790419,0.127203592814371,0.0896646706586826,0.133838323353293,0.118868263473054,0.0676826347305389,0.0869700598802395,0.0554730538922156,0.103251497005988,0.0799760479041916
0.01,0.114892215568862,0.133239520958084,0.0932215568862275,0.141413173652695,0.126137724550898,0.0727125748502994,0.0916586826347305,0.0554730538922156,0.108844311377246,0.0849940119760479
0.02,0.178820359281437,0.201287425149701,0.138179640718563,0.205808383233533,0.186982035928144,0.115413173652695,0.133868263473054,0.0938443113772455,0.155940119760479,0.12674251497006
0.03,0.228556886227545,0.248688622754491,0.17459880239521,0.255502994011976,0.234538922155689,0.150059880239521,0.173365269461078,0.118299401197605,0.191622754491018,0.160005988023952
0.04,0.271107784431138,0.284107784431138,0.216161676646707,0.296377245508982,0.27448502994012,0.180065868263473,0.202934131736527,0.139676646706587,0.221712574850299,0.188281437125749
0.05,0.307023952095808,0.320502994011976,0.246922155688623,0.332383233532934,0.308826347305389,0.206431137724551,0.226413173652695,0.155497005988024,0.247365269461078,0.213479041916168
0.06,0.339976047904192,0.358461077844311,0.267754491017964,0.364179640718563,0.339820359281437,0.230616766467066,0.251287425149701,0.176838323353293,0.271317365269461,0.236574850299401
0.07,0.369335329341317,0.377610778443114,0.295850299401198,0.393047904191617,0.367880239520958,0.252748502994012,0.269107784431138,0.201299401197605,0.292347305389222,0.257209580838323
0.08,0.396329341317365,0.406940119760479,0.320634730538922,0.418724550898204,0.393916167664671,0.274065868263473,0.287664670658683,0.219808383233533,0.311700598802395,0.277610778443114
0.09,0.420874251497006,0.426778443113772,0.32759880239521,0.44314371257485,0.417323353293413,0.293101796407186,0.30622754491018,0.219808383233533,0.330083832335329,0.29537125748503
0.1,0.444101796407186,0.447670658682635,0.349407185628743,0.465119760479042,0.440071856287425,0.311065868263473,0.325263473053892,0.251766467065868,0.347365269461078,0.312838323353293
