alpha,t2,w2,s2,b2,p2
0.001,5.98802395209581e-06,5.98802395209581e-06,0,5.98802395209581e-06,5.98802395209581e-06
0.002,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-06
0.003,5.98802395209581e-06,5.98802395209581e-06,1.79640718562874e-05,5.98802395209581e-06,5.98802395209581e-06
0.004,5.98802395209581e-06,5.98802395209581e-06,4.79041916167665e-05,5.98802395209581e-06,5.98802395209581e-06
0.005,5.98802395209581e-06,5.98802395209581e-06,5.38922155688623e-05,5.98802395209581e-06,5.98802395209581e-06
0.006,5.98802395209581e-06,2.39520958083832e-05,7.78443113772455e-05,5.98802395209581e-06,5.98802395209581e-06
0.007,5.98802395209581e-06,2.9940119760479e-05,9.58083832335329e-05,5.98802395209581e-06,5.98802395209581e-06
0.008,5.98802395209581e-06,2.9940119760479e-05,0.000125748502994012,5.98802395209581e-06,5.98802395209581e-06
0.009,5.98802395209581e-06,3.59281437125749e-05,0.000125748502994012,1.19760479041916e-05,5.98802395209581e-06
0.01,5.98802395209581e-06,4.19161676646707e-05,0.000137724550898204,1.19760479041916e-05,1.19760479041916e-05
0.02,1.79640718562874e-05,0.000107784431137725,0.000287425149700599,2.39520958083832e-05,1.79640718562874e-05
0.03,4.19161676646707e-05,0.000197604790419162,0.000497005988023952,5.38922155688623e-05,4.19161676646707e-05
0.04,5.98802395209581e-05,0.000275449101796407,0.000676646706586826,7.78443113772455e-05,6.58682634730539e-05
0.05,7.78443113772455e-05,0.000335329341317365,0.000808383233532934,0.000125748502994012,8.38323353293413e-05
0.06,0.000125748502994012,0.000407185628742515,0.000934131736526946,0.000155688622754491,0.000131736526946108
0.07,0.000155688622754491,0.000526946107784431,0.000994011976047904,0.000167664670658683,0.000155688622754491
0.08,0.000167664670658683,0.000592814371257485,0.00119760479041916,0.000197604790419162,0.000167664670658683
0.09,0.000197604790419162,0.000688622754491018,0.00126347305389222,0.000215568862275449,0.000197604790419162
0.1,0.000209580838323353,0.000790419161676647,0.00134730538922156,0.000251497005988024,0.000209580838323353
