delta,t2,w2,s2,b2,p2
0.01,0.000562874251497006,0.000598802395209581,0.00105988023952096,0.00102395209580838,0.000538922155688623
0.02,0.000281437125748503,0.000305389221556886,0.000479041916167665,0.000437125748502994,0.000275449101796407
0.03,0.000149700598802395,9.58083832335329e-05,0.000209580838323353,0.000197604790419162,0.000131736526946108
0.04,2.9940119760479e-05,3.59281437125749e-05,0.000107784431137725,5.98802395209581e-05,2.9940119760479e-05
0.05,5.98802395209581e-06,2.9940119760479e-05,8.38323353293413e-05,2.39520958083832e-05,5.98802395209581e-06
0.06,0,5.98802395209581e-06,2.39520958083832e-05,0,0
0.07,0,0,5.98802395209581e-06,0,0
0.08,0,0,2.39520958083832e-05,0,0
0.09,0,0,5.98802395209581e-06,0,0
0.1,0,0,5.98802395209581e-06,0,0
