delta,t2,w2,s2,b2,p2
0.01,0.00122155688622754,0.00402395209580838,0.00924550898203593,0.00141916167664671,0.00126946107784431
0.02,0.000143712574850299,0.000880239520958084,0.0034251497005988,0.000167664670658683,0.000149700598802395
0.03,1.19760479041916e-05,0.000263473053892216,0.0012814371257485,1.79640718562874e-05,1.79640718562874e-05
0.04,0,8.38323353293413e-05,0.000347305389221557,0,0
0.05,0,1.19760479041916e-05,0.000155688622754491,0,0
0.06,0,1.19760479041916e-05,5.38922155688623e-05,0,0
0.07,0,0,1.19760479041916e-05,0,0
0.08,0,0,1.19760479041916e-05,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
