delta,t2,w2,s2,b2,p2
0.01,0.00616766467065868,0.0061377245508982,0.00749101796407186,0.00805988023952096,0.00619760479041916
0.02,0.00404790419161677,0.00416766467065868,0.00520359281437126,0.0054311377245509,0.00408383233532934
0.03,0.00246107784431138,0.00247904191616767,0.00330538922155689,0.00327544910179641,0.00246706586826347
0.04,0.00150299401197605,0.00150898203592814,0.00219161676646707,0.00206586826347305,0.00151497005988024
0.05,0.000922155688622754,0.000844311377245509,0.00150299401197605,0.00122754491017964,0.000922155688622754
0.06,0.00055688622754491,0.00055688622754491,0.000916167664670659,0.000802395209580838,0.000562874251497006
0.07,0.000347305389221557,0.000311377245508982,0.000538922155688623,0.000485029940119761,0.000359281437125749
0.08,0.000215568862275449,0.000167664670658683,0.000347305389221557,0.000287425149700599,0.000221556886227545
0.09,0.00011377245508982,0.000119760479041916,0.000191616766467066,0.000143712574850299,0.00011377245508982
0.1,3.59281437125749e-05,5.38922155688623e-05,0.000161676646706587,6.58682634730539e-05,3.59281437125749e-05
