run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48
0,0.00598,0,0,0,0,0,0,0.01688,0.02095,0.00544,0,0,0,0.17528,0.25282,0.14903,0.01077,0.01129,0,0,0.02668,0.15842,0.1635,0.01306,0.16724,0.08798,0.24809,0,0,0,0,0.01544,0.0149,0.01544,0.07068,0,0.02668,0.02647,0,0,0.08974,0.07445,0.08455,0.11057,0.08451,0.16839,0.17101
0,0,0,0.04153,0.09613,0.10761,0,0,0.0783,0.057,0.04989,0.02871,0.02871,0.08358,0,0,0,0.08657,0,0.00277,0.00277,0.13675,0.08824,0.23819,0.21668,0.06275,0.06164,0.06789,0,0.04997,0.09613,0.10761,0.01691,0.01691,0.01285,0,0,0.13675,0.13675,0.01226,0.01226,0.13967,0.1307,0.24767,0.25134,0.05806,0.06492,0.10393
0.00558,0.0058,0.00593,0.47205,0.52165,0.56336,0.43727,0.40356,0.19852,0.20526,0.1505,0.53106,0.53106,0.53095,0.8673,0.8673,0.8673,0.40734,0.52607,0.56387,0.56392,0.42276,0.86661,0.8538,0.56513,0.15113,0.14639,0.15429,0.72435,0.44626,0.52165,0.56336,0.05925,0.05365,0.16035,0.88942,0.39691,0.42276,0.42276,0.16925,0.16925,0.16925,0.67813,0.80218,0.56729,0.1569,0.14906,0.14906
0.01855,0.01075,0.02603,0.00699,0.54711,0.30914,0.60837,0.38175,0.02951,0.01596,0.00842,0.63769,0.63769,0.63769,0.15793,0.13088,0.1596,0.54009,0.46029,0.00873,0.01528,0.57259,0.45411,0.43075,0.46025,0.0927,0.09961,0.08996,0.49113,0.33888,0.54711,0.30914,0.02741,0.02741,0.05162,0.04498,0.45096,0.57259,0.57259,0.32959,0.26801,0.23527,0.36826,0.43134,0.52016,0.11413,0.09242,0.07989
0,0,0,0,0.07545,0.0678,0.01778,0.00701,0,0,0.09699,0.005,0.005,0,0,0,0,0.05915,0,0.00367,0.00367,0.01501,0,0,0,0.0551,0.0036,0.00342,0.09286,0.00342,0.07545,0.0678,0,0,0,0,0.33195,0.01501,0.01501,0.0036,0.0036,0,0,0,0.00347,0.05852,0.00342,0.05302
0.01372,0.00817,0.01846,0.15551,0.28692,0.18916,0.12131,0.12165,0.16272,0.21837,0.06802,0.15941,0.15941,0.15941,0.1357,0.17346,0.12548,0.22336,0.18261,0.24182,0.24011,0.15541,0.04738,0.17893,0.18078,0.18264,0.15617,0.18428,0.15935,0.16963,0.28692,0.18916,0.17986,0.15458,0.147,0.20324,0.1385,0.15541,0.15541,0.06388,0.07506,0.05558,0.20017,0.20175,0.179,0.17759,0.17905,0.21745
0.02076,0.01018,0.01411,0.20395,0.06756,0.10152,0.02111,0.13335,0.08894,0.18765,0.16051,0.15621,0.12896,0.10925,0.01411,0.10694,0.01411,0.06431,0.03164,0.22495,0.19097,0.10709,0.09482,0.13138,0.0969,0.02741,0.02763,0.02763,0.02854,0.19591,0.06756,0.10152,0.23138,0.27816,0.2151,0.08458,0.04726,0.10709,0.10857,0.06415,0.06415,0.08938,0.07799,0.12909,0.03477,0.02763,0.02292,0.02763
0.08761,0.08233,0.09351,0.14353,0.24769,0.18991,0.15004,0.14405,0.02849,0.16019,0.13642,0.1497,0.1497,0.1497,0.14322,0.14747,0.14322,0.25343,0.16587,0.16842,0.16587,0.22291,0.1616,0.25753,0.16823,0.42198,0.43502,0.43053,0.17343,0.17347,0.24769,0.18991,0.10051,0.10296,0.11388,0.11758,0.16991,0.22291,0.22291,0.10609,0.1058,0.12443,0.23959,0.33198,0.2527,0.43083,0.42348,0.42674
0,0.04276,0,0.26859,0.45431,0.35313,0.13868,0.23928,0.15034,0.14857,0.14857,0.2211,0.2211,0.26015,0.27101,0.26098,0.26814,0.19579,0.32966,0.22525,0.25607,0.2033,0.04453,0.28919,0.26921,0.08249,0.11982,0.09388,0.48319,0.54467,0.45431,0.35313,0.00875,0.01203,0.05198,0.27491,0.04889,0.2033,0.2033,0.07435,0.03483,0.00316,0.11627,0.37038,0.50088,0.08757,0.08007,0.08073
0.35779,0.35755,0.35779,0.23533,0.24657,0.30925,0.11074,0.35523,0.19242,0.20311,0.16999,0,0.0456,0.06119,0.21658,0.13492,0.22413,0.43094,0.177,0,0,0.23166,0.04312,0.10141,0.14213,0.1094,0.1114,0.12522,0.19882,0.42846,0.24657,0.30925,0.11866,0.11877,0.11877,0.19289,0.15036,0.14204,0.23166,0.14555,0.14623,0.07274,0.15024,0.2359,0.43295,0.05854,0.1042,0.1206
0,0,0,0.48015,0.03225,0.03225,0,0.00402,0.01275,0.01264,0.01257,0,0,0,0.01282,0.0123,0.01347,0.01709,0.02914,0,0,0,0,0.00494,0,0,0,0,0,0,0.03225,0.03225,0.01046,0.00977,0.00997,0.01282,0.07151,0,0,0,0,0,0.00395,0.00389,0,0,0,0
0,0,0,0,0.22445,0.21596,0.35389,0.1892,0.17491,0.18042,0.12692,0.42959,0.42229,0.39653,0.44737,0.42097,0.41503,0.25968,0.1512,0.55939,0.49499,0.36673,0.28864,0.20876,0.34024,0.26689,0.29489,0.26717,0.27798,0.08032,0.22445,0.21596,0.18939,0.23166,0.13443,0.55677,0.41837,0.36757,0.34083,0.20481,0.19691,0.33255,0.15545,0.20669,0.35271,0.18187,0.29974,0.23201
0.18912,0.18488,0.23284,0.07074,0.20987,0.3566,0.31041,0.29775,0.1671,0.21024,0.21024,0.21351,0.21351,0.24441,0.25107,0.24938,0.2536,0.30947,0.23116,0.58802,0.49518,0.47722,0.19322,0.63039,0.36806,0.21895,0.19537,0.30011,0.26615,0.24431,0.20987,0.3566,0.17534,0.1743,0.17372,0.35345,0.291,0.47722,0.47722,0.16967,0.16788,0.29443,0.66731,0.65835,0.48885,0.23626,0.22573,0.25896
0,0,0,0,0.13742,0,0.00692,0.00721,0,0,0,0.01639,0.01639,0.01779,0.1324,0.02823,0.13232,0,0,0.02848,0.03063,0.02832,0.11828,0.15872,0.02001,0,0,0,0.00668,0.00679,0.13742,0,0,0,0,0.01872,0.00692,0.02832,0.02832,0.02748,0.02748,0.02383,0.11047,0.18245,0.00758,0,0,0
0.02559,0.07912,0.08184,0.01546,0.04214,0.03374,0.23484,0.03062,0.04616,0,0,0.00674,0.00674,0.00453,0.14079,0.07988,0.16855,0.11133,0.03403,0.01139,0.01677,0.03092,0.01991,0.02859,0.01163,0.10863,0.03571,0.04423,0.156,0.02758,0.04214,0.03374,0.00411,0.00411,0.00411,0.13664,0.16382,0.03092,0.03436,0,0,0.01132,0.09536,0.0291,0.01457,0.0411,0.11118,0.04097
