run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88
0.00893,0.03125,0.08203,0.01562,0.00417,0,0.11449,0.02687,0.05795,0.02373,0,0.02003,0.13223,0.04317,0.07517,0.12531,0.11728,0.04078,0.01074,0.01277,0.08203,0.08203,0.08203,0.09922,0.10248,0.09922,0.02902,0,0.03637,0.03637,0.04594,0.02794,0.0306,0,0.00368,0.01283,0.0327,0.0109,0.02175,0,0.00368,0,0.00368,0.08004,0.06738,0,0,0.03792,0,0,0.13306,0.13306,0.16119,0.00446,0.00781,0.00446,0.08203,0.01562,0.00417,0.04988,0.05089,0.03618,0.09922,0.10248,0.09922,0.05353,0.05353,0.0227,0.02791,0.0379,0.04497,0.02794,0.00755,0.03255,0.0327,0.07727,0.03857,0.05078,0.03814,0.08402,0.04078,0,0.00368,0.00368,0.05702,0,0.03125,0.04122
0.16246,0.09349,0.11422,0.13402,0.22514,0,0.02919,0.11073,0.05452,0.29211,0.08566,0.18496,0.01238,0.14824,0.12139,0.00694,0.02807,0.12294,0.11866,0.04745,0.01982,0.01982,0.03556,0.04255,0.04255,0.03125,0.16011,0,0.08912,0.08912,0.12506,0.03163,0.03163,0,0.13198,0.18174,0.17008,0.16908,0.16493,0.28357,0.1202,0.08398,0.11766,0.15666,0.26393,0.28485,0.06654,0.1212,0.18778,0.18778,0.07602,0.07715,0.00625,0.05301,0.10058,0.06761,0.12583,0.13402,0.22514,0.14367,0.15257,0.17731,0.04255,0.04255,0.03125,0.29415,0.29415,0.11955,0.0896,0.05511,0.02083,0.03147,0.00329,0.03861,0.17008,0.00893,0.07412,0.054,0.14422,0.11705,0.17125,0.0477,0.1202,0.11766,0.10132,0.18778,0.11661,0.24913
0.0136,0.09375,0.11011,0.0125,0,0,0.11853,0.13091,0.09972,0.0625,0.0812,0.08203,0.00568,0.10746,0,0.00329,0,0,0,0,0.00676,0.00676,0.00676,0.15822,0.17734,0.15822,0.06159,0,0.16198,0.16198,0.17529,0.26309,0.25243,0,0.00568,0.06775,0.00781,0.0488,0.03711,0.01873,0.05209,0.0166,0.05209,0,0.04251,0,0.02755,0.06121,0.06314,0.06314,0.24357,0.24357,0.28299,0,0.01339,0,0.11791,0.0125,0,0.254,0.14268,0.15292,0.15822,0.17734,0.15822,0.00781,0.00781,0.07744,0.20834,0.1757,0.08107,0.26309,0.01866,0.23218,0.00781,0.08698,0.01964,0.02218,0.05497,0.04975,0.06345,0.08783,0.05209,0.05209,0.16332,0.06314,0.09032,0.05496
0.05509,0.06412,0.03103,0.03283,0.34647,0.20443,0.20883,0.08021,0.05688,0.15116,0.15168,0.16516,0.0484,0.26578,0.10572,0.0602,0.076,0.11516,0.04993,0.01967,0.10938,0.10938,0.10938,0.30466,0.31129,0.30466,0.08858,0,0.24441,0.24515,0.05334,0.21887,0.23822,0,0.02237,0.0585,0.08241,0.06593,0.02795,0.16654,0.11622,0.02083,0.11622,0.13761,0.21741,0,0.01706,0.06021,0.16898,0.16898,0.21101,0.21086,0.07145,0.04794,0.07106,0.04794,0.04227,0.03283,0.34647,0.18967,0.17451,0.16784,0.30466,0.31129,0.30466,0.1165,0.1165,0.21479,0.0877,0.08654,0.27508,0.21887,0.04751,0.24271,0.08241,0.00481,0.05794,0.06781,0.10559,0.12598,0.13686,0.10957,0.11622,0.11622,0.37004,0.16898,0.06769,0.17782
0.01643,0.02276,0,0,0.1886,0.02586,0,0.06522,0.0185,0.18447,0.09954,0.17796,0.00446,0.06024,0.19268,0,0.08839,0.19268,0.0625,0.01064,0.01042,0.01042,0.01042,0.05717,0.05717,0.05717,0.10249,0,0.04102,0.04102,0.04102,0,0,0,0.0415,0.07648,0.05269,0,0,0.16538,0.13888,0,0.13863,0,0.18602,0.18806,0.08003,0.07634,0.10898,0.10898,0.01562,0.01562,0.03451,0.03725,0.09575,0.03544,0,0,0.1886,0.09814,0.05762,0.05453,0.05717,0.05717,0.05717,0.17987,0.17987,0.12497,0.03853,0.0459,0.08268,0,0.00521,0.00446,0.05269,0.0688,0.00368,0.07167,0,0,0,0.10459,0.13888,0.13863,0.04722,0.10898,0.17325,0.15329
0.0918,0.00693,0.01951,0.02075,0.03825,0.00521,0,0.00347,0,0.00837,0.00622,0.05078,0,0.01019,0.00866,0,0.01836,0,0,0,0.00417,0.0258,0.02539,0.04951,0.04951,0.1532,0,0,0.06901,0.06901,0.06701,0.09375,0.1875,0,0.03125,0,0,0.00622,0,0,0.01562,0,0.01562,0,0,0.00368,0.01879,0.12902,0.00783,0.04006,0.20443,0.20443,0.19458,0,0,0,0.0239,0.02075,0.03825,0.00368,0.00368,0.00347,0.04951,0.04951,0.1532,0,0,0.01158,0.10645,0.0625,0.15204,0.09375,0,0.1875,0,0,0,0,0.01145,0.01693,0.01982,0.08984,0.01562,0.01562,0.11137,0.00783,0.01367,0.03125
0.16199,0.30555,0.13068,0.19564,0.01186,0.0625,0.11539,0.31498,0.11734,0.17678,0.19886,0.10105,0.12076,0.22991,0.21181,0.16855,0.16476,0.21181,0.18209,0.12986,0.0865,0.0865,0.07266,0.3589,0.3589,0.3589,0.21219,0,0.12096,0.12125,0.13223,0.31264,0.31427,0,0.30133,0.07661,0.23187,0.29103,0.29103,0.35579,0.34514,0.16051,0.37954,0.12304,0.13994,0.1573,0,0.07507,0.29171,0.29171,0.11848,0.13457,0.16411,0.25073,0.0658,0.27473,0.14634,0.19564,0.01186,0.3197,0.32534,0.31991,0.3589,0.3589,0.3589,0.1387,0.1387,0.25877,0.1515,0.1093,0.01922,0.30961,0.01454,0.34453,0.23187,0.04524,0.12491,0.14498,0.11275,0.10547,0.09632,0.0125,0.34514,0.37954,0.10575,0.29171,0.14243,0.28975
0.04803,0.04718,0.01339,0.01039,0.03592,0.0625,0.02472,0.02083,0,0.03853,0.02795,0.03548,0.00987,0.08587,0.12326,0.00846,0.00837,0.09093,0.00991,0.00959,0,0,0,0.0564,0.05976,0.0564,0.0306,0,0.00987,0.00987,0.01774,0.00417,0.00446,0,0.08893,0.06579,0.12725,0,0.00694,0,0.01479,0.11094,0.01479,0.02083,0.04607,0.14529,0,0.0224,0.04461,0.04461,0,0,0,0.01693,0.0326,0.01693,0.0128,0.01039,0.03592,0.0625,0.0625,0.06901,0.0564,0.05976,0.0564,0.00347,0.00347,0.07295,0.00725,0.00972,0,0.00417,0.01238,0.01039,0.12725,0,0.02131,0.01366,0.06901,0.06901,0.03576,0.01076,0.01479,0.01479,0.0962,0.04461,0.04191,0.12573
0.11347,0.13933,0.16177,0.18492,0.00781,0.00329,0.00481,0,0.06942,0.00568,0.0625,0.00933,0,0.12621,0.12341,0.02729,0.04624,0.11892,0.08203,0.07125,0.12781,0.12737,0.09956,0.07715,0.08038,0.07715,0.13171,0,0.029,0.029,0.04251,0.00368,0.00417,0,0.00391,0.00313,0,0.20441,0.20341,0.00521,0.05885,0,0.08023,0.13076,0.13076,0,0,0,0.09059,0.11068,0,0,0.0125,0,0,0,0.17408,0.18492,0.00781,0.05859,0.06543,0.0628,0.07715,0.08038,0.07715,0.01359,0.01359,0.11001,0.15921,0.06982,0,0.00368,0.00568,0.00368,0,0.01562,0.03086,0.0301,0.11732,0.10423,0.10283,0,0.05885,0.08023,0,0.09059,0.03117,0.11921
0,0,0,0,0,0,0.00329,0.02401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01072,0.01142,0.06783,0,0.00568,0.00368,0.00347,0.00899,0.03125,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.03125,0,0,0,0,0,0,0,0,0,0.01675,0.01964,0.01151,0.01072,0.01142,0.06783,0,0,0,0,0.01107,0,0.03125,0,0.01875,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.00893,0.14673
0.01042,0.01855,0,0,0,0.00481,0.11965,0.08263,0.12397,0.09811,0.01295,0.09036,0,0.02733,0.00846,0,0.023,0.02114,0,0,0.02725,0.02725,0.01039,0.04828,0.06163,0.04281,0.00417,0,0.10347,0.10347,0.0795,0.00887,0.02137,0.00368,0,0.0125,0,0,0,0.04723,0.06297,0,0.0638,0.01126,0.09652,0.24094,0.01871,0,0.04445,0.04445,0.00866,0.01174,0.02771,0,0,0,0.00329,0,0,0.11754,0.16548,0.14028,0.04828,0.06163,0.04281,0,0,0.01232,0.0838,0.11919,0.04823,0.00887,0.00417,0.02701,0,0,0,0,0.01321,0.01822,0.01982,0.06018,0.06297,0.0638,0,0.04445,0.00329,0.14077
0,0,0,0,0,0,0.20424,0.09922,0.12518,0.00347,0.04578,0.12149,0,0,0,0,0,0,0,0,0,0,0,0.06062,0.06273,0.06062,0,0,0.02299,0.02213,0.00781,0,0,0,0.00446,0.00446,0.0625,0,0.00329,0.00781,0.08337,0,0.08813,0,0,0,0.02971,0.00974,0.15974,0.15974,0,0,0,0,0,0,0,0,0,0.29721,0.28916,0.29623,0.06062,0.06273,0.06062,0,0,0,0.04883,0.06621,0.01042,0,0.01442,0,0.0625,0,0.00568,0,0,0,0,0,0.08337,0.08813,0.01562,0.15974,0.04223,0
0.15493,0.15737,0.17047,0.17144,0.19823,0.24034,0.21252,0.26702,0.08175,0.28789,0.17386,0.18072,0.19953,0.19938,0.22715,0.20167,0.16772,0.20043,0.17276,0.11768,0.17249,0.17249,0.17418,0.24513,0.24438,0.24292,0.1738,0,0.17881,0.17886,0.28029,0.265,0.27064,0,0.17282,0.1172,0.14561,0.17494,0.16002,0.18143,0.243,0.07684,0.243,0.19204,0.38142,0.38178,0.14019,0.3781,0.16592,0.17391,0.28125,0.28125,0.23779,0.17272,0.17023,0.17142,0.17606,0.17144,0.19823,0.28539,0.28685,0.20213,0.24513,0.24438,0.24292,0.16493,0.16493,0.16964,0.10605,0.13437,0.21077,0.26493,0.16836,0.26566,0.14561,0.12735,0.17407,0.10125,0.14866,0.1389,0.27155,0.12793,0.243,0.243,0.11838,0.16592,0.10406,0.28249
0,0,0.02553,0.01625,0,0.00661,0.0863,0.15041,0,0,0,0,0.00521,0,0,0,0,0,0,0.01172,0.01875,0.01875,0.01875,0,0,0,0,0,0.10391,0.10391,0.1875,0.024,0.024,0,0.01562,0.0064,0,0.00446,0.01637,0,0,0,0,0,0,0,0.06061,0,0,0,0.01426,0.01426,0,0.00625,0,0.00625,0.01952,0.01625,0,0.09524,0.12471,0.1267,0,0,0,0,0,0,0.1875,0.19173,0.01103,0.024,0.02083,0.02095,0,0.04235,0,0.02083,0,0,0,0,0,0,0,0,0.04004,0.09657
0.07844,0.14759,0.1335,0.12559,0.27362,0.13514,0.17704,0.04527,0.18429,0.18377,0.1105,0.18377,0.11206,0.46894,0.38617,0.12126,0.12431,0.18325,0.03262,0.0118,0.08784,0.08784,0.08784,0.16543,0.16514,0.16543,0.05289,0,0.09024,0.09024,0.13274,0.04555,0.04555,0.00781,0.12143,0.27847,0.2647,0.14554,0.12978,0.16078,0.06948,0.0292,0.06948,0.25332,0.25332,0.17308,0.04156,0.18623,0.33471,0.33471,0.10744,0.10744,0.10744,0.02803,0.05747,0.02803,0.13896,0.12559,0.27362,0.10693,0.11912,0.13129,0.16543,0.16514,0.16543,0.06991,0.06991,0.08819,0.2313,0.16376,0.05852,0.04555,0.04297,0.06758,0.2647,0.16107,0.13303,0.09619,0.12316,0.12327,0.12621,0,0.06948,0.06948,0.38372,0.33471,0.34,0.14605
0.18216,0.17551,0.0813,0.07932,0.08626,0.14665,0.11496,0.32508,0.03257,0.17329,0.0891,0.15999,0.09093,0.1514,0.09032,0.0528,0.07,0.12811,0.1524,0.09262,0.03564,0.03564,0.091,0.14683,0.1458,0.15404,0.20023,0,0.16617,0.16617,0.14809,0.10878,0.1149,0,0.09377,0.20217,0.18559,0.25491,0.13277,0.11011,0.19075,0.15828,0.18597,0.18714,0.18714,0.22523,0.15722,0.19215,0.16536,0.16536,0.14608,0.14954,0.17176,0.11725,0.0634,0.11776,0.0815,0.07932,0.08626,0.21807,0.27931,0.22659,0.14683,0.1458,0.15404,0.01817,0.01817,0.18655,0.11483,0.17212,0.03125,0.10878,0.02518,0.16468,0.18559,0.07731,0.11339,0.06643,0.1196,0.14953,0.1498,0.29441,0.19075,0.18597,0.34041,0.16536,0.18684,0.23383
0.08277,0.51019,0.16792,0.48068,0,0.00568,0.42187,0,0.51967,0.49243,0.26578,0.49243,0.56371,0.53296,0.27909,0.56446,0.56904,0.30573,0.0904,0.06248,0.05051,0.05051,0.05051,0.45305,0.4375,0.44277,0.17032,0,0.46259,0.46259,0.49796,0.03125,0.03646,0.00877,0.0127,0.03574,0.11414,0.05162,0.02859,0,0.08926,0,0.08926,0.63085,0.20081,0,0,0,0.18117,0.18117,0.01847,0.01847,0.05577,0.0311,0.08692,0.0311,0.1212,0.48068,0,0.04442,0.04819,0.07468,0.45305,0.4375,0.44277,0.23322,0.23322,0.17976,0.44509,0.46373,0.47249,0.03125,0.21875,0.07292,0.11414,0.02358,0.11424,0.10459,0.05386,0.05016,0,0.07292,0.08926,0.08926,0.01795,0.18117,0.26631,0.50548
0.09588,0.0979,0.03576,0.02428,0.03421,0.44922,0.09679,0.0146,0.00959,0,0,0,0.12993,0.09602,0.02168,0.12017,0.11191,0.06166,0,0,0.04617,0.04617,0.04617,0.047,0.047,0.04503,0,0,0.21787,0.21787,0.22301,0.05947,0.07422,0.0625,0.04837,0,0.07715,0.00694,0.01562,0.0918,0.04258,0,0.04258,0.11007,0.07171,0.00699,0.00625,0.03157,0.00625,0.00625,0.0347,0.0347,0.01283,0,0,0,0.03711,0.02428,0.03421,0.03119,0.03284,0.06486,0.047,0.047,0.04503,0,0,0.12988,0.17787,0.17114,0.07126,0.05947,0.08404,0.0257,0.07715,0.00417,0.00568,0.00991,0,0,0.00391,0,0.04258,0.04258,0,0.00625,0,0.08575
0.08763,0.19459,0,0,0.35792,0,0,0.13167,0.08968,0.15817,0,0.30042,0,0.17525,0.14217,0,0.00329,0.07095,0,0,0,0,0,0.11307,0.11307,0.10888,0.00313,0,0.18262,0.18262,0.37211,0.00661,0.00716,0,0.00347,0,0.02047,0.00446,0,0.14682,0.16626,0.05538,0.16626,0.07183,0.23917,0.20751,0.00987,0.24186,0.20233,0.20233,0.0625,0.0625,0.10463,0,0,0,0.00937,0,0.35792,0.15601,0.17699,0.18066,0.11307,0.11307,0.10888,0,0,0.15387,0.25115,0.31225,0.05495,0.00661,0.01442,0.00913,0.02047,0,0,0,0.20443,0.20654,0.09297,0.16454,0.16626,0.16626,0,0.20233,0.0245,0.23886
0.14435,0.17516,0.08896,0.09218,0.09289,0.08135,0.14056,0.08982,0.04922,0.17023,0.17613,0.17613,0.07272,0.1738,0.17455,0.08159,0.08382,0.1751,0.16371,0.13534,0.08728,0.08728,0.08885,0.1453,0.1453,0.1453,0.17613,0,0.14858,0.14858,0.14422,0.16825,0.16825,0.02428,0.17241,0.16011,0.17405,0.17521,0.17521,0.17378,0.1429,0.01569,0.14424,0.17289,0.17407,0.16709,0.1105,0.0471,0.17613,0.17613,0.0918,0.0918,0.04577,0.166,0.05738,0.15987,0.09132,0.09218,0.09289,0.08842,0.13606,0.07689,0.1453,0.1453,0.1453,0.08235,0.08235,0.1751,0.15662,0.15673,0.11324,0.16825,0.00694,0.15366,0.17405,0.0929,0.1649,0.11761,0.08717,0.08923,0.09977,0.14815,0.1429,0.14424,0.07369,0.17613,0.16598,0.15258
