run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.17817,0.22491,0.1892,0.55708,0.55708,0.55708,0.3221,0.28268,0.24671,0.21098,0.04594,0.03952,0.18117,0.18374,0.17912,0.17683,0.17446,0.47761,0.16665,0.23844,0.37859,0.20377,0.18584,0.24944,0.19648,0.749,0.51867,0.51867,0.12785,0.13715,0.17292,0.16371,0.21154,0.24907,0.33797,0.32171,0.21498,0.22752,0.29895,0.21233,0.36056,0.3226,0.32316,0.04397,0.17912,0.2585,0.17683,0.14728,0.16072,0.19699,0.2024,0.24777,0.23741,0.1327,0.14758,0.15853,0.5575,0.2424,0.30872,0.33797,0.21498,0.14502
0,0,0,0,0,0.63093,0,0,0,0,0,0,0,0,0,0.43068,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43068,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0.05853,0,0,0.05853,0.12647,0.17368,0.13159,0.06835,0.26853,0.31597,0,0.06066,0.06188,0.06324,0,0,0,0,0.06644,0.08431,0,0.06324,0,0,0.06835,0.1331,0.06066,0.06188,0,0.13569,0.1467,0.07312,0,0,0,0.14147,0.13699,0.14147,0.17082,0.10894,0.0901,0.32611,0.06188,0.06066,0.06324,0,0.06188,0.06324,0.07979,0.0901,0.08431,0,0.05954,0,0.13569,0.1467,0.07312,0,0,0
0.08742,0.15393,0.02577,0,0,0,0.15871,0,0.04119,0.10767,0,0,0,0.08472,0.06303,0.10232,0.05365,0,0,0.01788,0.04213,0.05418,0.04365,0.06906,0,0,0,0,0.08236,0.15631,0.1523,0,0.0176,0.09583,0.08551,0.02438,0,0.14171,0.17694,0.13174,0,0,0,0,0.06303,0.08885,0.10232,0.02753,0.04542,0,0.05797,0.03921,0.0203,0.13749,0.14531,0.18823,0,0.0176,0.09583,0.08551,0,0
0,0,0.08586,0,0,0,0,0,0,0,0,0,0.05724,0.05724,0.0479,0.06643,0.08586,0,0,0,0.06117,0.05724,0,0,0.0479,0.12603,0,0.11729,0.17895,0.17831,0.06117,0,0.12603,0.2545,0.04964,0.04395,0,0.12603,0.12879,0.12603,0,0,0,0,0.0479,0.04201,0.06643,0,0,0,0,0,0,0.1804,0.17964,0.06117,0,0.12603,0.2545,0.04964,0,0
0.24139,0.24456,0.25305,0.37809,0.37809,0.37809,0.33314,0.49208,0.49028,0.45294,0.48326,0.70747,0.26586,0.4248,0.40681,0.3696,0.11764,0.10943,0.00462,0.04653,0.25498,0.19114,0.27086,0.30429,0.44059,0.31461,0.4187,0.31692,0.70724,0.72915,0.21799,0.24862,0.24571,0.25147,0.28686,0.30911,0.19932,0.3119,0.31288,0.29089,0.43829,0.47273,0.50533,0.35463,0.40681,0.40454,0.3696,0.27175,0.28664,0.16083,0.38118,0.39448,0.26267,0.70799,0.72915,0.23681,0.24862,0.24571,0.25147,0.28686,0.19932,0.23497
0.20043,0.17399,0.1537,0.10334,0.10334,0.10334,0.3498,0.51595,0.3187,0.29552,0.14726,0.14726,0.23759,0.43793,0.43771,0.43042,0.3492,0.1369,0.18612,0.2385,0.44384,0.39486,0.22314,0.22376,0.26193,0.27943,0.22087,0.15591,0.23971,0.2916,0.21683,0.30073,0.28316,0.12582,0.37864,0.23053,0.30766,0.37369,0.37841,0.40603,0.37325,0.39406,0.43458,0.14708,0.43771,0.44947,0.43042,0.21869,0.23883,0.29838,0.12378,0.19364,0.17212,0.28722,0.23789,0.18979,0.28787,0.23874,0.16401,0.37864,0.30766,0.18469
0.30054,0.2962,0.20119,0,0,0,0.26287,0.46794,0.38774,0.20275,0.01338,0.01338,0.04684,0.34484,0.3482,0.34074,0.16919,0,0.31643,0.35356,0.36709,0.50707,0.33293,0.33406,0.13632,0.36802,0.38101,0,0.334,0.37542,0.31329,0.41437,0.35471,0.3969,0.34419,0.35038,0.201,0.26188,0.19003,0.29956,0.41261,0.34076,0.35028,0.01431,0.3482,0.40418,0.34074,0.33406,0.33406,0.30393,0.35258,0.17749,0.35519,0.33979,0.39339,0.32128,0.21304,0.24012,0.2747,0.34419,0.201,0.201
0.194,0.2256,0.07111,0,0,0,0.19361,0.15872,0.11579,0.18677,0,0,0.05748,0.15458,0.14112,0.15012,0,0,0.11158,0.22009,0.29085,0.08007,0.20218,0.20926,0.07122,0.19818,0.17285,0.02773,0.09343,0.07661,0.21469,0.14589,0.24364,0.1255,0.11132,0.08028,0.18617,0,0,0,0.11644,0.15265,0.08075,0,0.14112,0.15892,0.15012,0.20221,0.20435,0.1013,0.16751,0.23893,0.19865,0.07561,0.05703,0.20604,0.11596,0.0874,0.07154,0.11132,0.18617,0.05495
0.05187,0.11353,0,0,0,0,0.07517,0,0.04481,0.11597,0,0,0,0,0,0.01935,0.0812,0,0,0,0.08221,0.04496,0,0,0,0,0.08221,0,0.10326,0.10515,0.13458,0.01972,0,0,0,0,0,0.08221,0.08221,0.08221,0.0274,0,0,0,0,0.02104,0.01935,0,0,0,0.0318,0.08221,0.10443,0.12059,0.13625,0.18432,0,0,0,0,0,0
