run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74
8e-04,0.415,0.2825,0.0319,0.5221,0.0018,0.0015,0.7028,0.0028,0.1716,0.6627,0.0431,0.2448,0.4796,0.7077,0.7472,0.0035,0.0022,0.0788,0.0571,0,0.1624,0.0029,0.0026,0.0344,0.2567,0.6005,0.4796,0.017,0.6307,0.2395,0.0086,0.2711,0.2711,7e-04,0.7495,0.372,0.5818,0.0501,0.0101,0.008,0.2056,0.0164,0.0756,0.6917,0,1e-04,0.2271,0.006,0.3641,0,0,0.0227,0.7665,0.1288,4e-04,0.0458,0.1289,0.7165,0.014,0.2061,4e-04,3e-04,0.0366,0.0032,0.6843,0.001,0.7665,0.007,0.4427,0.7296,0.0259,0.002,0.3695
0.0012,0.9342,0.1384,0.0017,0.5274,0.005,0.0046,0.9285,4e-04,0.0431,0.1379,0.0114,0.0274,0.9209,0.57,0.2727,0.0043,0.0043,0.0478,0.5435,0,0.7463,0.0027,0.007,0.0682,0.7938,0.1818,0.2326,0.8827,0.2772,0.7145,0.0044,0.7846,0.6499,1e-04,0.0062,0.0115,0.1294,0,0.4632,0.0033,0.7684,0.0027,0.0018,0.0468,0,6e-04,0.7983,3e-04,0.7983,0,0,9e-04,0.9542,0.0545,5e-04,0.03,0.8593,0.0887,0.0013,0.8764,0,0,0,0,0.158,0.0016,0.9151,0.0017,0.6713,0.9122,7e-04,0.0049,0.0018
0.4968,0.7108,0.7366,0.6393,0.6728,0.7487,0.7595,0.761,0.6692,0.7255,0.6549,0.6931,0.8427,0.8821,0.791,0.7949,0.7512,0.6777,0.4626,0.5211,0.3579,0.4738,0.3356,0.4587,0.7429,0.7217,0.5629,0.3228,0.0687,0.7514,0.2906,0.0028,0.4042,0.4042,0.2168,0.6509,0.4129,0.7015,0.2391,0.0447,0.4362,0.3759,0.6442,0.2062,0.1873,0.0298,0.0376,0.5865,0.648,0.7357,0,0,0.5034,0.6732,0.533,0.3681,0.6717,0.6843,0.6617,0.5461,0.656,0,0.0026,0.1415,0.0386,0.8523,0.8275,0.8833,0.3421,0.7842,0.7084,0.7266,0.5434,0.2822
0.162,0.0013,0.1206,0.1727,0.2142,0.1405,0.1208,0,0.057,0.0591,0.0834,0.2863,0.1949,4e-04,0.391,0.42,0.1894,0.2242,0.1271,1e-04,0.1774,5e-04,0.0106,0.018,0.0824,0.0011,0.1999,0.1784,0.0017,0.1707,0.3737,0.3504,0.0063,0.0055,0.0315,0.122,0.1862,0.1593,0.1593,0.0223,0.2528,0.1122,0.1745,0.0926,0.0754,3e-04,6e-04,0.273,0.2548,0.0019,0.0015,0,0.307,6e-04,0.2254,0.1385,0.0341,5e-04,0.1364,0.25,0.0025,0,0.0111,0.034,0.2074,0.0704,0.1662,0.0023,0.266,0.5913,0.0016,0.2579,0.0821,0.0168
0.0228,0.0408,0.0655,0.0471,0.0756,0.0455,0.0455,0.0668,0.0396,0.127,0.1071,0.0518,0.0781,0.0294,0.0964,0.06,0.0475,0.0306,0.0781,0.0059,0.0067,0.0012,0.0089,0.0179,0.0064,0.0095,0,0,0.0123,0.0963,0.0218,0.0178,0.009,0.009,0.0067,0.0268,0.0017,0.021,0.0052,0.0417,0.0232,0.0379,0.057,1e-04,2e-04,0,0.0034,0.0137,0.0064,0.0158,0,0,0.0314,0.0647,0.0599,0.022,0.0227,0.0188,0.0921,0.0492,0.0581,0,0,0.0155,0.0052,0.0849,0.0496,0.0516,0.0319,0.3208,0.0537,0.0329,0.0255,0.0422
0.3663,0.2065,0.2807,0.0338,0.3287,0.5002,0.4813,0.4772,0.1053,0.0586,0.0136,0.3168,0.0258,0.5562,0.5831,0.6015,0.364,0.4678,0.0271,0.274,0.3008,0.3315,0.0056,0.0068,0.2323,0.5477,0,0,0.6358,0.1434,0.6045,0.6595,0.6357,0.6357,0.0071,0.0448,1e-04,0.676,2e-04,0.2065,0.4498,0.6572,0.1118,0.2846,0.38,0.0042,0.0286,0.5993,0.2953,0.5993,0.0015,0.0286,0.4039,0.5912,0.4673,0.095,0.0659,0.5199,0.0364,0.4082,0.5526,0,0.3943,0.0017,0.0833,0.4158,0.3914,0.6926,0.1179,0.675,0.4436,0.1371,0.02,0.0243
0.3172,0.3637,0.714,0.5142,0.7157,0.2924,0.2378,0.2714,0.4773,0.766,0.7766,0.771,0.8776,0.8133,0.8046,0.8182,0.4513,0.4184,0.5619,0.2126,0.3123,0.045,0.0142,0.1112,0.3742,0.3472,0.2757,0.2297,0.1068,0.3849,0.3849,0.1415,0.2998,0.2314,0.2019,0.2122,0.5157,0.044,0.0099,0.0122,0.6496,0.7327,0.3389,0.001,0.0081,1e-04,2e-04,0.7271,0.338,0.4417,0,0,0.5312,0.0599,0.6231,0.1729,0.2404,0.0671,0.456,0.36,0.3194,0,0.0357,0.282,0.044,0.5243,0.6664,0.7495,0.4268,0.918,0.614,0.614,0.4752,0.6891
0.0015,8e-04,0.0145,0.0287,0.0323,0.0243,0.0215,9e-04,0.0075,0.0591,0.0149,0.006,0.0083,2e-04,0.028,0.0272,0.0195,0.0135,0.0438,7e-04,0,0.001,0.003,0.0014,0.007,0.0013,0.0082,0,3e-04,0.0012,0.0215,0.0063,0.0018,9e-04,0.0027,0.0319,0.0481,0.003,0,0.0226,0.0318,0.0328,0.0414,0.0132,0.0043,9e-04,0.003,7e-04,0.0028,7e-04,2e-04,0.0149,0.0208,0.001,0.0353,0.0675,0.0092,9e-04,0.0612,0.0841,0.0017,0,0.0031,0.015,2e-04,0.0049,0.003,0,0.0212,0.0672,0.0097,0.0107,0.016,0.0209
0.0924,0.1793,0.1158,0.1196,0.1893,0.1688,0.1503,0.1076,7e-04,0.0734,0.1791,0.1542,0.0793,0.2601,0.2177,0.2125,0.1578,0.1091,0.2137,0.0123,0.0078,0.0085,0.0652,0.1143,0.0418,0.0608,0.0922,0.1091,0.0301,0.1451,0.1451,0.0168,0.0631,0.0451,0.113,0.1276,0.0555,0.0506,0.0506,0.0028,0.0327,0.0431,0.1353,0.0259,0.0192,0.0146,0.0051,0.1057,0.0276,0.0391,0.0272,0.006,0.1543,0.1051,0.1969,0.1135,0.2384,0.0163,0.1848,0.1399,0.1577,0.0012,6e-04,0.0543,0.0109,0.1548,0.1899,0.0601,0.0693,0.1033,0.052,0.1897,0.0762,0.1333
0.033,0.0199,0.0584,0.0947,0.5338,0.0685,0.0644,0.026,0.0527,0.0509,0.4544,0.9583,0.4473,0.1433,0.1167,0.0416,0.0611,0.053,0.0968,0.0075,0.0065,0.0095,0.005,0.0148,0.0166,0.0121,0.0491,0.0523,0.0195,0.4948,0.1389,0.1615,0.0196,0.0226,0.0595,0.3787,0.159,0.7375,0.0054,0.0028,0.6903,0.6778,0.4046,0.0526,0.0418,0,5e-04,0.0643,0.1462,0.027,0,0,0.2483,0.0447,0.3479,0.0515,0.0464,0.0201,0.2233,0.2477,0.0546,0,0.0228,0.8016,0.4038,0.1913,0.195,0.018,0.1041,1,0.0323,0.744,0.2009,0.1879
