run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48
0,0.00625,0,0,0,0,0,0,0.02816,0.01637,0.00481,0,0,0,0.09012,0.0839,0.06185,0.00933,0.01061,0,0,0.06836,0.08831,0.08959,0.03125,0.0865,0.06665,0.10026,0,0,0,0,0.02295,0.02148,0.02295,0.04688,0,0.06836,0.06783,0,0,0.09375,0.05515,0.05894,0.13702,0.06752,0.08663,0.08695
0,0,0,0.04688,0.09279,0.09465,0,0,0.14216,0.0733,0.05777,0.02847,0.02847,0.06731,0,0,0,0.16806,0,0.00313,0.00313,0.23547,0.0863,0.17295,0.33779,0.23565,0.23057,0.23537,0,0.04795,0.09279,0.09465,0.04282,0.04282,0.01892,0,0,0.23547,0.23547,0.01659,0.01659,0.47146,0.11211,0.21826,0.34824,0.21977,0.23337,0.2563
0.01311,0.01426,0.0153,0.52117,0.96808,0.96808,0.36993,0.29382,0.94386,0.94469,0.93973,0.96808,0.96808,0.96808,0.96808,0.96808,0.96808,0.48451,0.96808,0.96808,0.96808,0.94998,0.96808,0.96808,0.96808,0.93901,0.93789,0.9395,0.95867,0.48451,0.96808,0.96808,0.13835,0.08979,0.94046,0.96808,0.29381,0.94998,0.94998,0.24639,0.24639,0.24638,0.51641,0.958,0.96808,0.93985,0.93821,0.93821
0.01543,0.01042,0.019,0.00329,0.24389,0.16501,0.94345,0.47112,0.02584,0.00987,0.00568,0.38566,0.38566,0.38566,0.0957,0.07242,0.08866,0.57223,0.12902,0.00625,0.00837,0.9451,0.37968,0.37813,0.50621,0.05274,0.05428,0.05605,0.37363,0.24196,0.24389,0.16501,0.0205,0.0205,0.08214,0.03532,0.29647,0.9451,0.9451,0.47068,0.31416,0.09476,0.37014,0.37822,0.23574,0.05823,0.05247,0.05002
0,0,0,0,0.10471,0.10417,0.0245,0.00656,0,0,0.23438,0.00893,0.00893,0,0,0,0,0.07212,0,0.00391,0.00391,0.0625,0,0,0,0.05859,0.00368,0.00313,0.13546,0.00313,0.10471,0.10417,0,0,0,0,0.94934,0.0625,0.0625,0.00368,0.00368,0,0,0,0.00329,0.05879,0.00313,0.05208
0.02537,0.01232,0.03494,0.27911,0.38342,0.3751,0.18127,0.15751,0.25523,0.25579,0.11115,0.28007,0.28007,0.28007,0.27995,0.22437,0.21803,0.33,0.37421,0.38522,0.38613,0.24227,0.07692,0.31533,0.36801,0.37233,0.31521,0.37959,0.34899,0.3424,0.38342,0.3751,0.30169,0.20316,0.17269,0.30652,0.20312,0.24227,0.24227,0.14553,0.21149,0.12389,0.21575,0.36104,0.37054,0.36288,0.37293,0.34742
0.03965,0.01975,0.03222,0.32923,0.09157,0.12529,0.06755,0.12388,0.24471,0.37261,0.37199,0.32375,0.32636,0.48551,0.02195,0.14638,0.02195,0.08257,0.0785,0.15922,0.17951,0.18794,0.23953,0.50625,0.16054,0.12988,0.13103,0.13103,0.07901,0.15129,0.09157,0.12529,0.51074,0.94762,0.51072,0.06838,0.14133,0.18794,0.18766,0.13005,0.13005,0.21633,0.13266,0.50542,0.12798,0.13103,0.11526,0.13103
0.08299,0.06942,0.09865,0.10129,0.20116,0.20381,0.14268,0.1156,0.07106,0.24443,0.18927,0.11761,0.11761,0.11761,0.10923,0.11414,0.10923,0.26049,0.19341,0.20369,0.19996,0.15905,0.16447,0.22848,0.19662,0.94648,0.94859,0.94717,0.19208,0.19951,0.20116,0.20381,0.13367,0.14344,0.16953,0.17141,0.18521,0.15905,0.15905,0.1102,0.10819,0.16931,0.29123,0.5073,0.2218,0.94842,0.94676,0.94649
0,0.10417,0,0.1342,0.96808,0.32792,0.08619,0.17818,0.93873,0.93867,0.93867,0.14633,0.14633,0.15463,0.15569,0.14726,0.15566,0.94615,0.24796,0.09041,0.09041,0.94447,0.08492,0.16505,0.19645,0.10869,0.16063,0.16212,0.95326,0.95867,0.96808,0.32792,0.02127,0.06738,0.1344,0.16595,0.08194,0.94447,0.94447,0.09273,0.04875,0.00893,0.09218,0.32758,0.958,0.1237,0.10867,0.09827
0.96754,0.96754,0.96754,0.11989,0.38656,0.95273,0.13728,0.96803,0.50769,0.32752,0.32734,0,0.04938,0.11459,0.39849,0.34612,0.3985,0.96758,0.25982,0,0,0.9668,0.09408,0.1637,0.31691,0.36331,0.38874,0.37922,0.38635,0.96805,0.38656,0.95273,0.19774,0.19794,0.19794,0.38723,0.11353,0.9375,0.9668,0.337,0.33708,0.10447,0.93966,0.40092,0.95799,0.28471,0.34685,0.34769
