run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74
0.0217,1,1,1,1,0.0455,0.0526,1,0.0833,1,1,1,0.5,1,1,1,0.0333,0.0208,1,1,0,1,0.0057,0.0137,0.0417,0.3333,1,1,0.3333,1,1,0.1,1,1,0.0051,1,1,1,0.3333,0.3333,0.2,1,0.3333,0.5,1,0.0011,0.0048,1,0.0048,0.5,0.0012,0,0.5,1,1,0.0054,1,0.0625,1,0.3333,1,0.0417,0.037,0.3333,0.1667,1,0.0222,1,0.1429,1,1,0.25,0.25,1
0.0016,1,0.3333,0.0042,1,0.0071,0.0051,1,0.0019,0.0833,0.5,0.0084,0.0227,1,1,1,0.0057,0.0094,0.1667,1,0,1,0.0036,0.0152,0.0526,1,1,1,1,0.5,1,0.0049,1,1,0.0013,0.0071,0.1,0.1,0,1,0.0044,1,0.0049,0.0075,0.5,0,0.0012,1,0.0017,1,0,0,0.0066,1,0.0909,0.0037,0.0455,1,0.3333,0.0033,1,0,0,0,0,0.3333,0.005,1,0.0115,1,1,0.0078,0.0062,0.0035
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2,1,1,0.25,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.0015,0.0833,0.5,1,1,1,1,1,1,1,1,1,1
1,0.0154,1,1,1,1,1,0,0.25,0.5,0.5,1,1,0.0033,1,1,1,1,1,0.0024,1,0.0217,0.0667,0.0625,1,0.0105,1,1,0.0137,1,1,1,0.0833,0.0667,0.5,1,1,0.3333,0.3333,0.3333,1,0.5,1,1,1,0.0087,0.0111,1,1,0.0435,0.0667,0,1,0.0046,1,1,1,0.0122,1,1,0.037,0,0.5,1,1,1,1,0.0312,1,1,0.0182,1,0.125,0.5
0.25,0.3333,1,1,0.3333,1,1,1,0.0625,1,1,1,1,0.0303,0.5,0.5,1,0.3333,1,0.027,0.04,0.0435,0.0556,0.2,0.0588,0.037,0,0,0.0227,0.1429,0.5,0.0294,0.0909,0.0909,0.1429,0.0244,0.0175,0.1111,0.0137,1,0.3333,0.5,0.25,0.0066,0.011,0,0.0169,0.0556,0.0278,0.0147,0,0,0.0455,0.25,1,0.1429,0.2,0.1111,1,1,0.5,0,0,0.0526,0.0182,0.3333,0.125,0.1111,0.25,1,1,0.1667,0.5,1
1,1,1,0.3333,1,1,1,0.5,1,0.5,0.0556,1,0.25,1,0.5,1,1,1,0.2,1,1,1,0.0625,0.1111,0.5,0.5,0,0,1,1,1,1,1,1,0.0769,0.3333,0.0021,1,0.0074,1,1,1,1,1,1,0.0714,1,1,1,1,0.0417,1,1,0.5,1,1,0.5,1,0.2,1,1,0,1,0.0063,1,1,1,1,1,1,0.5,1,0.1667,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0588,0.0312,0.3333,1,1,0.3333,0.3333,1,1,1,1,1,1,1,0.5,1,0.0833,0.04,0.0909,1,1,1,0.0085,0.0263,0.0016,0.0028,1,1,1,0,0,1,0.1667,1,1,1,0.3333,1,1,1,0,0.5,1,0.5,1,1,1,1,1,1,1,1,1
0.0143,0.0156,0.5,0.3333,1,0.125,0.0909,0.027,0.125,1,0.5,0.1429,0.3333,0.0029,1,1,0.25,0.2,1,0.0128,0.0056,0.0256,0.0044,0.0213,0.0133,0.0455,0.1111,0.0011,0.0025,0.0333,1,0.0208,0.027,0.0081,0.006,0.25,0.3333,0.0714,0,0.2,0.25,1,0.5,0.0526,0.0417,0.0053,0.0143,0.0175,0.0385,0.0175,0.0048,0.25,0.25,0.0417,1,1,0.2,0.0143,1,1,0.0112,0,0.3333,0.5,0.0088,0.25,0.02,0,0.1667,1,1,0.1667,0.5,0.5
0.0417,1,0.3333,0.0833,0.2,0.05,0.0435,0.25,0.0127,1,1,0.3333,0.0385,1,1,1,0.0385,0.0556,1,0.0179,0.0208,0.0118,0.5,1,1,0.3333,1,1,1,1,1,0.0909,1,0.1667,1,1,1,0.125,0.125,0.3333,0.0909,0.3333,0.2,0.125,0.2,0.5,0.0526,0.1667,0.3333,0.5,1,0.2,0.5,0.5,1,0.5,1,0.125,1,0.0556,1,0.02,0.0091,1,0.0175,0.5,1,0.1667,0.1429,0.1667,0.1667,0.3333,0.3333,0.3333
0.04,0.0169,0.0526,0.125,1,0.1111,0.0909,0.0217,0.0909,0.0909,1,1,1,0.3333,0.2,0.1111,0.1111,0.1,0.2,0.0064,0.0074,0.0079,0.0058,0.0185,0.0233,0.0159,0.0909,0.1,0.05,1,0.5,0.1667,0.0204,0.0476,0.0909,1,0.5,1,0.0044,0.0112,1,1,1,0.0417,0.0385,0,0.0031,0.2,0.125,0.0417,0,0,0.5,0.0556,1,0.0526,0.0556,0.0196,0.3333,0.5,0.0769,0,0.0143,1,1,0.3333,0.1667,0.0116,0.1429,1,0.0278,1,1,1
