run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74
0.25,1,1,0.1667,1,0.3333,0.5,0.5,0.5,0.25,0.25,1,1,1,0.125,0.1111,0.3333,0.5,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1,0.3333,0.25,1,0.5,1,0.2,0.5,0.3333,0.0137,0.3333,0.3333,0.5,0.25,1,1,0.0073,0.0039,1,0.1111,1,0.0357,0,0.3333,0.5,1,0.5,1,0.5,1,0.5,0.3333,0,0.0099,0.3333,0.25,0.5,1,1,0.5,0.3333,1,0.5,0.1667,0.2
0.1111,0.3333,1,1,0.25,0.5,0.25,0.2,0.5,0.3333,0.3333,0.3333,0.3333,0.5,1,1,0.0909,0.1667,0.0909,0.0323,0.0263,0.025,1,1,1,1,0,0.1111,0.125,1,1,0.2,1,1,1,0.25,1,0.0312,0.0137,0.5,0.5,0.3333,0.25,1,1,0,0.0714,0.5,0.0455,1,0.0098,0,0.25,0.5,0.5,0.2,0.2,0.3333,0.25,0.25,0.3333,0,1,0.1429,0.5,0.5,0.1667,0.5,0.2,0.25,0.5,0.3333,1,1
1,1,1,0.2,1,0.3333,0.0417,0.0435,1,1,1,0.0097,1,1,1,0.5,1,1,1,0.3333,0,1,1,1,1,1,1,1,0.5,1,1,0.5,0.0385,0.5,1,1,1,0.2,0.0083,0,0.5,0.5,0.5,1,1,0.05,0.0526,0.0833,0.0233,0.25,0.3333,0.0083,1,0.1429,1,0.0145,0.0099,0.1667,1,0.3333,1,0,0.05,1,0.125,1,0.5,1,0.25,1,1,0.3333,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.3333,1,1,0.125,0.1667,0.3333,0.1667,0.5,0.5,0.0323,1,1,0.3333,0.5,0.25,0.05,1,1,0.0909,0.0043,0.0085,0.5,1,1,1,1,0.0152,0.2,1,0.5,0.3333,0.0038,0,1,1,1,1,1,0.3333,1,1,1,0,0.0161,1,0.5,1,0.3333,1,1,1,1,1,0.5,1
1,0.3333,1,1,1,0.3333,0.3333,1,0.5,1,1,0.0018,1,0.5,1,1,1,1,1,0.0143,0,1,0.0055,0.0161,0.0067,0.2,1,1,0.0204,0.0091,0.5,0.0069,0.25,0.25,0.0111,0.5,0.25,0.25,0.0833,0.5,1,1,0.0588,0.0159,0.0046,0.0074,0.0079,0.5,0.0026,1,0.0035,0,0.25,1,1,0.0435,1,0.1667,1,0.3333,0.1111,0,0,0.0014,0.005,1,0.25,0.3333,0.3333,1,0.5,1,0.0357,1
0.2,0.0556,0.5,0.1111,1,1,1,0.1111,0.3333,0.3333,0.2,0.25,0.3333,0.0909,0.25,0.3333,0.3333,0.3333,0.1429,0.5,0.5,0.25,0.0909,0.1,0.0909,1,0.0357,0.0217,0.0175,1,0.25,1,1,0.25,0.0909,1,1,0.5,0.5,0.0022,1,0.5,0.3333,1,1,0.0357,0.0526,0.5,0.25,1,0.0217,0.5,1,0.0417,0.5,0.5,1,0.0588,1,1,0.0556,0,0.5,0.1667,0.3333,0.5,0.25,0.0909,0.25,1,0.0909,1,1,1
0,0.0037,0.3333,0.1429,0.2,0.0278,0.0294,0.0079,0,0.0294,0.0227,0,0.0039,1,0.0909,0.0909,0.0069,0.0058,0.0909,0.1667,0.04,0.02,0.0022,0.0031,0,0.0036,1,0.5,0.2,0.2,1,0.5,0.0667,0.0526,0,0.0169,0.0075,0.04,0,0,0.0909,0.0769,0.0147,0.1111,0.1667,0,0,0.011,0,0.0058,0.0014,0,0.0556,0.0294,0.0556,0.0141,0.0833,0.0025,0.1429,0.0526,0.0185,0,0,0.0833,0.2,0.0556,0.0068,0.0076,0.0833,1,0.0147,0,0.0455,0.0455
0.1667,0.25,0.125,0.0909,0.5,0.2,0.3333,0.5,0.1111,1,0.5,0.5,0.3333,0.5,1,1,0.3333,0.0588,0.1667,0.0323,0.0345,0.0833,0.0526,0.037,0.5,0.037,1,1,0.02,0.3333,0.0256,0.0152,0.05,0.05,0.125,0.1429,0.0588,0.0667,0.0012,0.0015,0.1111,0.1667,0.1667,0.5,1,0.0238,0.125,0.5,0.25,0.3333,0.0139,0.0115,0.25,1,0.5,0.1667,0.0833,0.125,0.2,0.125,0.0769,0,0,0.2,0.5,0.5,0.0345,0.1667,0.0476,0.2,1,0.1,0.2,0.25
0.0046,0.0145,0.0667,0.0833,1,0.0833,0.0909,0.5,0.0588,1,0.0385,0.25,0.0526,0.125,1,1,0.5,0.25,1,0.0022,0.0045,0.0714,0.0076,0.0141,0.0172,0.0435,0.125,0.125,0.0312,0.0135,1,0.5,0.0588,0.0769,0.0081,0.1667,0.25,0.0115,0.0033,0.0127,0.2,0.2,0.0244,0.0345,0.037,0.0028,0.0323,0.0189,0.0018,0.04,0.0019,0.0015,0.1111,0.2,0.0294,0.0526,0.1429,0.0303,0.5,0.0714,1,0,0.0333,0.25,0.0526,0.0667,0.0027,0.0909,0.0909,1,0.0909,0.1111,0.0222,0.25
0.0156,1,0.1,0.0526,1,0.0179,0.0179,0.0909,0.0256,0.0769,0.0196,0.0106,0.0145,0.0312,1,1,0.0175,0.0159,0.0175,0.0286,0.0185,0.2,0.3333,0.3333,1,1,0.2,0.2,0.25,1,0.1429,0.0625,0.5,0.5,1,0.0137,0.0476,0.0667,0.0667,0.5,0.1,0.0769,0.0149,0.0185,0.0139,0.2,0.0588,1,1,1,0.0167,0.0078,0.0222,0.0256,1,0.0032,0.0032,0.0021,0.0141,0.0161,0.0714,0,0.125,1,0.5,0.0227,0.0208,0.0435,0.2,1,0.0588,0.037,0.1667,1
0.0059,1,0.0132,0.125,0.5,0.0053,0.0027,0.25,0.0011,0.003,0.1111,0.3333,0.0159,1,1,1,0.04,0.0303,0.0105,0.0013,0.0021,0.2,0.002,0.0041,1,1,1,1,1,0.3333,1,1,1,1,0.0015,0.25,0.0064,0.0476,0.0476,1,0.3333,1,0.3333,0.003,0.0455,0,0,0.5,0.1667,0.5,0,0,1,0.3333,1,0.0278,0.0051,0.2,0.0159,0.0312,1,0,0,0,0,0.25,0.5,1,0.125,1,1,0.5,1,0
0.0909,1,1,0.0769,1,0.0417,0.027,1,0.0027,1,0.0278,0.1111,1,1,1,1,0.0526,0.027,1,1,0.0094,1,0.1429,1,0.3333,1,1,1,1,0.5,1,0.0068,1,1,0.0149,0.2,0.2,0.3333,0.0185,0.3333,0.0357,0.25,0.1429,0.0667,1,0.0052,0.0227,1,0.0137,1,0,0,0.0833,1,0.5,0.0132,1,1,1,0.0294,1,0,0,0.3333,0.0588,1,0.1667,1,0.0222,0.5,1,0.3333,0.0256,1
0.3333,1,1,1,1,0.3333,0.2,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,0.0222,0.0015,0.0048,0.25,1,0.0196,1,1,1,0.005,1,1,0.1667,0.0192,0.0192,0.0095,1,1,0.5,0.0123,0.5,1,1,0.2,0.5,0.25,0.0026,0.0039,1,0.0091,0.0294,0.0029,0,1,0.0278,1,0.0909,1,0.0204,1,1,0.5,0,0,1,1,1,1,1,0.3333,1,1,1,1,1
