run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88
0.02144,0.04058,0.09647,0.0277,0.01608,0,0.22231,0.07798,0.14804,0.08654,0,0.06924,0.20221,0.12146,0.22417,0.19476,0.17196,0.08644,0.03493,0.04941,0.09647,0.09647,0.09647,0.1931,0.21023,0.1931,0.10531,0,0.08612,0.08612,0.10454,0.06592,0.05506,0,0.01542,0.03752,0.1463,0.03517,0.06952,0,0.01542,0,0.01542,0.10689,0.08169,0,0,0.17861,0,0,0.32369,0.32369,0.40574,0.01646,0.02029,0.01646,0.09647,0.0277,0.01608,0.12696,0.14019,0.0879,0.1931,0.21023,0.1931,0.08737,0.08737,0.08596,0.0635,0.0713,0.13597,0.06592,0.03134,0.05704,0.1463,0.19496,0.06086,0.07273,0.07173,0.16173,0.12944,0,0.01542,0.01542,0.10345,0,0.04058,0.09144
0.40364,0.1742,0.19277,0.39141,0.522,0,0.07911,0.2761,0.20286,0.59238,0.31173,0.45477,0.03686,0.38089,0.22158,0.01936,0.06376,0.22242,0.26742,0.23018,0.04517,0.04517,0.14824,0.10416,0.10416,0.06872,0.4126,0,0.32658,0.32658,0.38204,0.12006,0.12006,0,0.37277,0.50616,0.38781,0.38474,0.37762,0.48272,0.2196,0.28475,0.21512,0.39334,0.49786,0.52741,0.21507,0.38846,0.42582,0.42582,0.11499,0.11645,0.01859,0.11743,0.31438,0.2506,0.38307,0.39141,0.522,0.29054,0.34417,0.37314,0.10416,0.10416,0.06872,0.58068,0.58068,0.3799,0.20911,0.11686,0.03216,0.11978,0.01488,0.13987,0.38781,0.02144,0.28333,0.13098,0.34571,0.35634,0.40804,0.10739,0.2196,0.21512,0.38445,0.42582,0.34736,0.40003
0.03421,0.06847,0.09241,0.01399,0,0,0.22046,0.1193,0.15505,0.03617,0.17371,0.06884,0.01009,0.12654,0,0.00837,0,0,0,0,0.01704,0.01704,0.01704,0.24797,0.26034,0.24797,0.14101,0,0.23327,0.23327,0.29973,0.24991,0.21769,0,0.01009,0.07367,0.01141,0.06148,0.03328,0.05169,0.08616,0.03612,0.08616,0,0.15507,0,0.05084,0.15494,0.11649,0.11649,0.23594,0.23594,0.28262,0,0.02778,0,0.1124,0.01399,0,0.25444,0.15511,0.20793,0.24797,0.26034,0.24797,0.01141,0.01141,0.26185,0.32819,0.27133,0.12157,0.24991,0.03802,0.2066,0.01141,0.20834,0.03171,0.04706,0.0791,0.07448,0.1135,0.13362,0.08616,0.08616,0.28244,0.11649,0.35657,0.08919
0.11251,0.08452,0.06771,0.0682,0.44682,0.12661,0.26118,0.12479,0.06656,0.21386,0.21661,0.20411,0.09979,0.25138,0.22205,0.11495,0.17373,0.18864,0.11661,0.03201,0.10905,0.10905,0.10905,0.32343,0.33001,0.32343,0.13792,0,0.26267,0.26332,0.08968,0.19577,0.20384,0,0.04716,0.12236,0.10933,0.13416,0.05775,0.19949,0.10401,0.01809,0.10401,0.19098,0.22713,0,0.03076,0.13977,0.19868,0.19868,0.17445,0.17426,0.09743,0.10694,0.17446,0.10694,0.07588,0.0682,0.44682,0.25981,0.23472,0.25465,0.32343,0.33001,0.32343,0.14177,0.14177,0.26173,0.12173,0.1131,0.37968,0.19577,0.06281,0.24385,0.10933,0.0095,0.15287,0.10133,0.22012,0.26991,0.17951,0.1013,0.10401,0.10401,0.54795,0.19868,0.10998,0.28239
0.0433,0.06146,0,0,0.36456,0.05,0,0.08421,0.03075,0.34035,0.17751,0.27114,0.00926,0.12382,0.44981,0,0.24553,0.44981,0.03617,0.02611,0.01289,0.01289,0.01289,0.14608,0.14608,0.14608,0.24746,0,0.03571,0.03571,0.03571,0,0,0,0.06662,0.12199,0.11916,0,0,0.2617,0.15403,0,0.15394,0,0.34371,0.36259,0.08119,0.27776,0.19264,0.19264,0.01558,0.01558,0.03134,0.03957,0.18483,0.03208,0,0,0.36456,0.10106,0.07647,0.07444,0.14608,0.14608,0.14608,0.28844,0.28844,0.25171,0.04218,0.0384,0.08245,0,0.00978,0.00926,0.11916,0.12662,0.00867,0.1448,0,0,0,0.12624,0.15403,0.15394,0.11533,0.19264,0.21117,0.22617
0.08085,0.02356,0.04387,0.07313,0.07957,0.0134,0,0.01167,0,0.02508,0.02276,0.05606,0,0.02685,0.02528,0,0.03351,0,0,0,0.01239,0.04866,0.03901,0.10893,0.10893,0.29566,0,0,0.06449,0.06449,0.06259,0.09383,0.14871,0,0.05297,0,0,0.02276,0,0,0.02135,0,0.02135,0,0,0.01189,0.03418,0.14262,0.02452,0.05953,0.1735,0.1735,0.17412,0,0,0,0.06615,0.07313,0.07957,0.01189,0.01189,0.01167,0.10893,0.10893,0.29566,0,0,0.02816,0.11362,0.04957,0.20916,0.09383,0,0.14871,0,0,0,0,0.02794,0.03258,0.03481,0.10563,0.02135,0.02135,0.11768,0.02452,0.02997,0.03128
0.32461,0.52851,0.28765,0.52168,0.02656,0.04735,0.24716,0.55544,0.39434,0.38125,0.2974,0.20088,0.21868,0.21503,0.19075,0.3668,0.36566,0.19075,0.39295,0.27457,0.20275,0.20275,0.12852,0.65443,0.65443,0.65443,0.4168,0,0.38045,0.3904,0.46833,0.43815,0.44183,0,0.46457,0.15032,0.51798,0.55864,0.55864,0.58239,0.67229,0.41592,0.76893,0.19052,0.21125,0.21258,0,0.16003,0.46769,0.46769,0.27756,0.2229,0.3939,0.54377,0.12442,0.62509,0.49989,0.52168,0.02656,0.48532,0.50566,0.45663,0.65443,0.65443,0.65443,0.21619,0.21619,0.47111,0.26266,0.29016,0.04178,0.4348,0.0459,0.47266,0.51798,0.08087,0.31168,0.20492,0.17123,0.15642,0.13889,0.01832,0.67229,0.76893,0.24758,0.46769,0.24744,0.50305
0.13255,0.15108,0.06891,0.04785,0.15648,0.08848,0.10371,0.04424,0,0.10317,0.12462,0.08235,0.04678,0.19266,0.2984,0.04474,0.04477,0.2177,0.04722,0.0468,0,0,0,0.16168,0.16695,0.16168,0.11246,0,0.04733,0.04733,0.05943,0.02212,0.02265,0,0.21523,0.19104,0.27171,0,0.02663,0,0.05507,0.24993,0.05507,0.04424,0.18657,0.3364,0,0.08282,0.1302,0.1302,0,0,0,0.05815,0.11192,0.05815,0.06769,0.04785,0.15648,0.08848,0.08848,0.11511,0.16168,0.16695,0.16168,0.02083,0.02083,0.15341,0.04259,0.04715,0,0.02212,0.05071,0.04785,0.27171,0,0.08079,0.06911,0.11511,0.11511,0.07906,0.04882,0.05507,0.05507,0.3195,0.1302,0.14978,0.35905
0.19488,0.28261,0.33689,0.38102,0.02062,0.01512,0.01716,0,0.23672,0.01823,0.06535,0.03401,0,0.28647,0.25692,0.0929,0.11404,0.24982,0.09803,0.18936,0.18629,0.18563,0.15773,0.0935,0.10917,0.0935,0.22653,0,0.06618,0.06618,0.07814,0.01567,0.01634,0,0.01599,0.01488,0,0.25498,0.25318,0.01766,0.18304,0,0.21807,0.24458,0.24458,0,0,0,0.14669,0.15637,0,0,0.02528,0,0,0,0.38873,0.38102,0.02062,0.15559,0.16485,0.16138,0.0935,0.10917,0.0935,0.05122,0.05122,0.20648,0.22616,0.08597,0,0.01567,0.01823,0.01567,0,0.02814,0.10991,0.0696,0.21712,0.20419,0.18811,0,0.18304,0.21807,0,0.14669,0.07969,0.31697
0,0,0,0,0,0,0.02547,0.12634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07992,0.08161,0.2165,0,0.03071,0.0264,0.02591,0.05709,0.11763,0.12775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06945,0.06945,0,0,0,0,0,0,0,0,0,0.09108,0.0965,0.08124,0.07992,0.08161,0.2165,0,0,0,0,0.06064,0,0.11763,0,0.09546,0,0,0,0,0,0,0,0,0,0,0,0.06945,0.03669,0.34465
