run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,run101,run102,run103
0.4495,0.4612,0.3412,0.3075,0.3095,0.3111,0.3066,0.3935,0.338,0.3574,0.4785,0.3007,0.1664,0.2521,0.5477,0.3977,0.4058,0.4309,0.3579,0.3872,0,0,0.3437,0.335,0.335,0.4103,0.4124,0.5783,0.26,0.2252,0.4541,0.5586,0.429,0.5977,0.6015,0.7096,0.2766,0.2733,0.286,0.3742,0.3269,0.371,0.1861,0.1708,0.1519,0.4421,0.3585,0.3429,0.3524,0.3527,0.4087,0.3805,0.2265,0.2311,0.4991,0,0,0,0.0171,0.1811,0.4375,0.4875,0.4875,0.4915,0.4745,0.3625,0.422,0.4571,0.4663,0.2047,0.2394,0.2749,0.0854,0.2171,0.3528,0.3448,0.3589,0.2052,0.2071,0.2199,0.3344,0.5269,0.4707,0.4691,0.5497,0.495,0.5802,0.5696,0.4817,0.0013,0.5145,0.2731,0.4019,0.3105,0.4121,0.0482,0.1009,0.1062,0.4057,0.3477,0.3626,0.4792,0.475
0.3059,0.1757,0.4099,0.0263,0.0695,0.0628,0.0667,9e-04,0.1463,0.0878,0.2344,0.0835,0.2417,0.4969,0.318,0.3543,0.3179,0.1701,0.2223,0.1406,0,0,0.0646,0.2155,0.2155,0.2958,0.2595,0.1792,0.0781,0.0028,0.0351,0.0346,0.2592,0.248,0.1806,0.1789,0.1213,0.152,0.142,0.1849,0.1754,0.1931,0.0335,0.015,0.129,0.0267,0.1673,0.1417,0.1466,0.1641,0.0455,0.0788,0.0215,0.021,0.0247,0.0028,0,0.0037,0.0077,0.1446,0.0448,0.0494,0.0447,0.1239,0.1013,0.5032,0.148,0.1375,0.3125,0.0303,0.1028,0.1948,0.0413,0.1641,0.1417,0.1557,0.1643,0.0356,0.0194,0.0305,0.0417,0.055,0.3436,0.1886,0.1834,0.2319,0.3588,0.3588,0.3209,0.0081,0.5462,0.1288,0.1742,0.1223,0.0699,0.034,0.0648,0.0933,0.4218,0.1905,0.1448,0.3958,0.6223
0.0395,0.0099,0.2053,0.0109,0.0799,0.082,0.057,0.0184,0.0275,0.0371,0.0879,0.0155,0.0385,0.0739,0.3548,0.2184,0.1786,0.0179,0.0232,0.0526,0.0286,0.0287,0.0322,0.026,0.026,0.0138,0.0141,0.0067,0.0625,0.0156,0.2171,0.2003,0.3083,0.0756,0.1139,0.2753,0.0684,0.0437,0.0437,0.0947,0.0778,0.0667,0.0338,0.1593,0.0091,0.0458,0.3398,0.1001,0.0908,0.1055,0.1011,0.0871,0.126,0.1091,0.1453,0.0838,0.0048,0.0856,0.1015,0.1719,0.0401,0.0385,0.0218,0.212,0.1362,0.1691,0.0619,0.0507,0.0232,0.0364,0.0767,0.072,0.2848,0.1055,0.1001,0.155,0.1497,0.1092,0.0989,0.1093,0.0471,0.0485,0.101,0.0779,0.0532,0.0868,0.1745,0.0149,0.0076,0.1836,0.1813,0.0976,0.0627,0.1276,0.0776,0.0303,0.0543,0.054,0.1795,0.0688,0.0284,0.1729,0.3408
0.4883,0.4348,0.4558,0.3988,0.3578,0.5301,0.5022,0.5189,0.5312,0.5366,0.611,0.5229,0.5163,0.6631,0.6254,0.701,0.6705,0.4361,0.4914,0.5041,2e-04,1e-04,0.5038,0.5315,0.5153,0.4581,0.5178,0.5094,0.5067,0.2599,0.3466,0.3327,0.3047,0.42,0.3589,0.6249,0.5364,0.6726,0.7065,0.5862,0.6109,0.5131,0.4206,0.3681,0.557,0.5927,0.7239,0.5604,0.5604,0.5582,0.4502,0.4704,0.4566,0.4523,0.3337,0.15,0.0314,0.1228,0.2637,0.0721,0.504,0.4912,0.5192,0.5323,0.5571,0.5427,0.0641,0.0759,0.2451,0.5481,0.5574,0.4492,0.4231,0.3774,0.3794,0.3731,0.3593,0.4485,0.4435,0.06,0.5345,0.4587,0.5487,0.5111,0.4273,0.4963,0.6055,0.4358,0.4581,0.3065,0.8158,0.4607,0.3741,0.5028,0.5022,0.0551,0.3739,0.4232,0.5756,0.5489,0.5221,0.5273,0.6712
0.9494,0.7805,0.6085,0.509,0.5964,0.6023,0.611,0.6639,0.7751,0.9219,0.9576,0.759,0.9828,0.9779,0.7375,0.757,0.6954,0.6429,0.7824,0.7873,0,1e-04,0.4607,0.5365,0.4833,0.8233,0.8459,0.8672,0.8368,0.9759,0.3899,0.3734,0.4143,0.5724,0.4291,0.9401,0.8724,0.8807,0.8807,0.8894,0.9256,0.8637,0.4919,0.3344,0.9838,0.8709,0.8511,0.9451,0.9451,0.9009,0.6181,0.6185,0.3452,0.3255,0.3923,0.1537,0.1265,0.1734,0.1898,0.2737,0.8084,0.8537,0.7136,0.9037,0.9166,0.8467,0.401,0.3753,0.631,0.587,0.7057,0.7125,0.4824,0.8107,0.8286,0.1616,0.1572,0.491,0.9715,0.3407,0.7841,0.7364,0.5391,0.8636,0.813,0.8554,0.8877,0.8816,0.8726,0.1483,0.9014,0.737,0.9052,0.9305,0.3778,0.1804,0.4165,0.3975,0.6318,0.5983,0.9003,0.9183,0.9183
0.5555,0.5748,0.511,0.1521,0.294,0.3135,0.2629,0.3906,0.458,0.4514,0.5431,0.4149,0.4178,0.4507,0.4151,0.4327,0.2724,0.3929,0.3335,0.2963,0.0028,0.0024,0.2927,0.4095,0.2167,0.2645,0.4153,0.2427,0.0691,0.0613,0.0663,0.0653,0.0532,0.0118,0.0145,0.1646,0.5065,0.3737,0.3737,0.0914,0.0485,0.0323,0.0037,0.0165,0.2615,0.4877,0.5985,0.3094,0.3094,0.2138,0.0877,0.2642,0.15,0.1161,0.0802,0.0576,0.0154,0.0516,0.04,0.0081,0.4937,0.4896,0.3756,0.4673,0.4492,0.3609,0.3913,0.4407,0.4467,0.4066,0.4513,0.0157,0.2282,0.2138,0.3094,0.2147,0.2088,0.2472,0.2716,0.0109,0.4894,0.4959,0.3141,0.4473,0.493,0.4823,0.3856,0.3211,0.3371,0.0713,0.4632,0.404,0.2729,0.4838,0.1689,0.0938,0.1625,0.1721,0.5011,0.3416,0.4953,0.6198,0.3407
0.2041,0.053,0.201,0.0696,0.0215,0.0692,0.0303,0.0471,0.1931,0.2326,0.1982,0.0712,0.0903,0.2111,0.2111,0.2737,0.1999,0.0612,0.1717,0.1701,0.008,0.0082,0.0748,0.0678,0.0961,0.1394,0.1131,0.0546,0.07,0.2761,0.0549,0.0566,0.0673,0.0085,0.0064,0.1055,0.0648,0.1205,0.1205,0.1403,0.1413,0.1246,0.0387,0.0555,0.0581,0.0599,0.2288,0.1363,0.1363,0.1193,0.0844,0.1005,0.063,0.0578,0.0037,0.0099,0.0019,0.0099,0.0558,0.0106,0.061,0.0536,0.0643,0.0549,0.0911,0.1613,0.0269,0.0261,0.2624,0.0983,0.1228,0.1148,0.0617,0.1193,0.1363,0.1254,0.1207,0.0432,0.0331,0.0338,0.0734,0.0472,0.0312,0.1342,0.057,0.1479,0.236,0.1658,0.0302,0.0199,0.3968,0.1249,0.1233,0.2009,0.0732,0.0106,0.108,0.116,0.0562,0.0951,0.0601,0.1871,0.5329
0.6633,0.5791,0.5878,0.3388,0.3319,0.4052,0.2789,0.6911,0.6673,0.6281,0.751,0.4081,0.6317,0.3785,0.76,0.743,0.7518,0.7381,0.707,0.6767,1e-04,6e-04,0.4629,0.277,0.4743,0.5868,0.6006,0.7199,0.3974,0.3863,0.3942,0.362,0.4849,0.4998,0.6393,0.3302,0.3842,0.3771,0.2548,0.5046,0.4557,0.4876,0.3272,0.5058,0.5775,0.4607,0.4606,0.6419,0.6419,0.4855,0.542,0.5355,0.0551,0.051,7e-04,0.0541,0.1214,0.0705,0.186,0.2057,0.4717,0.4981,0.4717,0.4607,0.4351,0.6353,0.6235,0.5463,0.6019,0.2319,0.5563,0.5816,0.4976,0.4303,0.6245,0.3043,0.3888,0.2221,0.1492,0.1828,0.4497,0.5522,0.5166,0.6213,0.637,0.6662,0.7882,0.788,0.7512,0.1723,0.4485,0.5327,0.7762,0.6417,0.2548,0.1765,0.3715,0.3586,0.519,0.5273,0.442,0.4601,0.5833
0.369,0.3376,0.2714,0.4389,0.3616,0.4167,0.3734,0.4924,0.4396,0.464,0.3471,0.2888,0.5192,0.5382,0.4759,0.3386,0.3375,0.322,0.3462,0.5608,2e-04,2e-04,0.2955,0.2773,0.2657,0.3177,0.2537,0.2975,0,0.3673,0.2647,0.3311,0.1962,0.2645,0.2929,0.4536,0.2716,0.2768,0.2768,0.2945,0.2804,0.2681,0.1987,0.1785,0.4878,0.2426,0.4336,0.4027,0.4027,0.3351,0.4825,0.5176,0.2436,0.2356,0.0392,0.1077,0.0114,0.1077,0.2574,0.1542,0.2944,0.2944,0.1991,0.3138,0.3071,0.493,0.3199,0.3085,0.4368,0.2825,0.4305,0.4659,0.4893,0.2343,0.4027,0.1642,0.1669,0.3006,0.261,0.1119,0.3383,0.3503,0.3279,0.3741,0.3696,0.4177,0.5141,0.4273,0.4312,0.2364,0.2231,0.3841,0.3841,0.4065,0.2762,0.1246,0.3122,0.3145,0.5034,0.3928,0.1833,0.266,0.5217
0.289,0.1405,0.1468,0.0503,0.1862,0.2214,0.0322,0.0019,0.1853,0.1887,0.2624,0.0556,0.172,0.2451,0.3232,0.3659,0.3921,3e-04,0.0349,0.2063,0,0,0.0297,0.0236,0.0236,0.0801,0.2104,0.1068,0.0217,0.0089,0.2281,0.2787,0.1416,4e-04,2e-04,0.0416,0.0722,0.0863,0.1023,0.2474,0.041,0.0744,0.1165,0.2801,0.0919,0.0013,0.1333,0.4436,0.3997,0.1921,0.2589,0.2586,0.0494,0.0464,0.0047,6e-04,0,0.0011,9e-04,0.09,0.0385,0.0545,0.0044,0.1125,0.1354,0.216,0.1622,0.1666,0.1082,0.0517,0.2756,0.2602,0.2749,0.1921,0.4436,0.0149,0.0158,0.0769,0.0184,0.0244,0.1509,0.2219,0.1272,0.1766,0.1361,0.3016,0.1871,0.0727,0.2158,0.0239,0.2374,0.4252,0.3448,0.4202,0.1331,0.089,0.0574,0.0575,0.3443,0.4069,0.0177,0.2265,0.2315
