run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61
0.0158,0.0199,0.0729,0.1049,0.0021,0.0376,0.0415,0.0233,0.0865,0.0119,0.0085,0.0113,0.0681,0.0032,0.0067,0.0056,0.0545,0.0853,0.0101,0.004,0.038,0.0032,0.0013,0.0546,0.0053,0.172,0.0052,0.0055,0.0288,6e-04,0.101,0.0873,0.002,0.0029,0.0882,0.1321,0.0018,1e-04,0.002,0,0.0078,0.0045,0.0311,1e-04,0.0019,0.0025,0.0501,0.046,0.0314,0.0384,0.0382,0.0137,0.0221,0.035,0,0,0.0476,0.0878,0.0592,0.0108,0.0014
5e-04,6e-04,0.0551,0.0721,0.0031,0.042,0.0287,0.0279,0.0128,0.0127,0.0497,0.107,0.0644,0.0989,0.008,0.0084,0.0246,0.0316,0.0173,3e-04,0.0147,3e-04,0.0034,0.0242,0.0197,0.1127,0.0059,0.0084,0.0036,0.0167,0.0783,0.066,0.0161,0.0118,0.0067,0.0146,0,3e-04,0.0055,0.0181,0.0102,0.014,0.0089,0,0.0086,0.0104,0.0041,0.0031,0.0357,0.0354,0.0147,0.0166,0.0333,0.0313,0.0035,0.0145,0.015,0.1532,0.1126,0.0123,0.0059
0.0426,0.0418,0.016,0.0197,0.017,0.0178,0.0414,0.0414,0.0323,0.0155,0.0348,0.0538,0.0271,6e-04,0.0204,0.0256,0.0067,0.0356,0.002,0.0042,0.002,0.0042,0.0212,5e-04,0.0023,0.0097,0.0093,0.0085,0.0092,0.0058,0.0837,0.0722,0.0021,0.0031,0.0373,0.0361,2e-04,7e-04,1e-04,9e-04,4e-04,3e-04,0.0129,0,0.0096,0.0081,0.0033,0.0039,0.0033,0.0032,0.0047,0.0011,0.0013,0.0196,0.0347,0.0245,0.0489,0.2577,0.2505,8e-04,0.0022
0.0055,0.013,0.4006,0.4055,0.0092,0.1064,0.0468,0.0468,0.0385,0.0087,0.4741,0.1581,0.2079,0.1032,0.0094,0.0088,0.146,0.1318,0.0533,0.0177,0.0529,0.0176,0.0019,0.091,0.0126,0.112,0.0617,0.0606,0.0155,0.0689,0.3451,0.29,0.0286,0.0207,0.4767,0.4894,0,0.0136,0.0092,0.0998,0.0042,0.0097,0.0069,0,0.0077,0.0073,0.0418,0.0464,0.0627,0.0583,0.1191,0.0053,0.0132,0.0772,0.006,0.0123,0.013,0.5267,0.5855,0.008,0.0673
0.2487,0.2487,0.4651,0.4724,0.1034,0.1468,0.1462,0.1462,0.0728,0.0891,0.2476,0.176,0.0136,0.0156,0.08,0.0808,0.0815,0.2003,0.0915,0.0893,0.0866,0.0887,0.0984,0.1099,0.1179,0.2451,0.0509,0.0264,0.0497,0.0796,0.2237,0.2224,0.0916,0.0519,0.1068,0.0969,0.1043,0,0.1455,0.1007,0.145,0.1312,0.0984,1e-04,0.0844,0.0844,0.1177,0.1197,0.1223,0.13,0.0329,0.0467,0.0356,0.1267,0.1272,0.1235,0.2002,0.4076,0.37,0.1386,0.1035
0,0,0,0,0,0.0141,0.0011,0.0011,0.001,0,0,0,0.0014,0.0035,0,0,0,0.001,0,0,0,0,0,0.001,0,0.0027,0,0.0018,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116,0.0833,0.0143,0.1111,0,0,0,0,0,0,0,0,0,0,0
0.0017,0.0017,0.5134,0.5196,2e-04,0.4337,0.4818,0.4818,0.5523,0,0.44,0.5555,0.1244,0.3475,5e-04,5e-04,0.4997,0.4938,0.4894,0.0093,0.4166,0.0093,0,0.4806,0,0.4779,0.0229,0.0845,0.0426,0.5339,0.4877,0.4799,0,0,0.4868,0.4839,6e-04,0.0171,0,0.343,0.0016,0.0014,0.0062,0,0,0,0.5707,0.5717,0.5923,0.6197,0.3092,0.002,0.0107,0.5275,0,0.0023,0.4544,0.7161,0.7196,0,0.4456
0.1637,0.1483,0.2487,0.2092,0.1008,0.126,0.23,0.23,0.1845,0.2105,0.3848,0.2841,0.1919,0.1489,0.2701,0.2621,0.239,0.2302,0.1407,0.056,0.1554,0.0544,0.1326,0.2143,0.2512,0.2489,0.0828,0.0834,0.2017,0.1452,0.2586,0.2608,0.2533,0.2228,0.1709,0.1962,0,0,0.0495,0.1524,0.2808,0.2439,0.2346,0,0.1271,0.1073,0.3128,0.3309,0.2966,0.3195,0.1414,0.1478,0.1321,0.112,0.2202,0.2285,0.191,0.0947,0.0613,0.216,0.1431
0.0249,0.0279,0.1236,0.0453,0.0859,0.0965,0.139,0.1278,0.1206,0.141,0.0782,0.1009,0.0061,3e-04,0.2164,0.2189,0.2314,0.2231,0.0213,0.0246,0.0181,0.0309,0.0445,0.2361,0.2397,0.2717,0.0093,0.0099,0.0433,0.0285,0.153,0.116,0.1042,0.0026,0.0918,0.0805,3e-04,1e-04,0.1399,0.1597,0.2246,0.2117,0.1532,0,0.0231,0.0364,0.1789,0.1486,0.172,0.2042,0.025,0.1081,0.0823,0.0652,0.1306,0.1474,0.145,0.1098,0.1436,0.1645,0.0069
0.0126,0.02,0.0334,0.0487,0.0297,0.024,0.2148,0.2057,0.0339,0.071,0.1006,0.0889,0.1031,0.0726,0.0687,0.0699,0.0544,0.0629,0.0224,0.0294,0.0179,0.0227,0.0178,0.0331,0.0312,0.1114,0.1274,0.1715,0.0293,0.0355,0.2704,0.2626,0.0221,0.0141,0.0889,0.0678,0,0,0.0049,0.0392,0.0559,0.0308,0.0864,0.0399,0.0125,0.0138,0.1744,0.2177,0.1115,0.1404,0.0423,0.0041,0.0057,0.0498,0.0728,0.0618,0.156,0.2678,0.2516,0.05,0.0556
