run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,run101,run102,run103,run104,run105,run106,run107,run108,run109,run110,run111,run112,run113,run114,run115,run116,run117,run118,run119,run120,run121,run122,run123,run124,run125,run126,run127,run128,run129
0.0022,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.2,0.0213,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1,1,1,0,0,0.0043,0,0.5,1,0.3333,0.0385,0.2,1,1,0.5,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.25,0.5,1,0.3333,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,1,0.1111,0.125,0.5,0.0263,1,1,1,0.0111,0.125,1,1,1,0.5,1,1,1,1,1,0.0052,1,1,1,1,1,0.5
0.0137,1,1,1,1,0.5,1,0,0.5,0.0175,0.5,0.5,1,1,1,1,1,0.0833,1,1,1,1,1,0.0066,0.0156,0.0345,0.0028,0.0028,0.0588,1,0.0156,1,0.0909,0.3333,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.3333,0.1429,1,0.3333,1,0.5,0.5,0.5,0.3333,0,0.0182,0.0208,0.0182,0.25,0.5,0.04,0.0057,0.125,0.25,0.5,0.0075,0.0909,1,1,1,1,1,1,0.5,0.5,0.5,0.3333,0.2,1,0.5,1,1,1,1,1,1,1,0.2,0.0098,0.0189,0.5,0.0091,1,1,0.3333,0.3333,0.5,0.5,1,1,1,1,1,0.0043,0.0256,0.0476,0.0286,1,1,0.1667,0.0714,0.25,1,0.3333,0.5,1,1,1,1,0.3333,0.25,0.0286,0.2,1,1,0.0192,0.0103,0.2
0.0179,1,1,1,1,1,1,0.1667,1,1,0.3333,1,1,0.1111,1,1,0.1111,0.0769,0.5,1,1,1,1,0.0833,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0417,1,0.0588,1,0.25,0.0526,0.1429,1,0.0714,1,0.3333,1,0,0.0071,0.0074,0.0071,0.2,0.2,0.0556,1,0.3333,1,1,1,1,1,1,0.5,1,0.5,1,1,1,1,0.1,0.0303,1,1,0.0435,1,1,1,0.1429,0.5,0.5,0.25,0.5,1,0.3333,1,1,1,0.1667,0.0833,0.1667,0.0455,0.0769,0.027,1,1,0.1,1,0.2,0.125,0.0185,0.3333,0.5,1,0.0244,0.0833,1,0.3333,0.3333,0.0556,1,1,0.5,0.25,0.3333,0.0625,1,0.3333,0.5,1,1,1
0.0037,1,1,1,0.5,1,1,0,1,1,0.5,1,1,1,1,1,1,0.5,0.3333,1,1,0.5,1,0.0333,0.125,0.1111,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.3333,0.1429,1,1,1,1,1,1,1,1,1,1,1,0,0.0079,0.0185,0.0079,0.5,0.3333,1,0.0068,0.5,0.5,0.5,1,1,1,1,1,1,0.5,1,1,0.25,1,1,1,0.5,0.5,1,1,0.5,1,1,1,1,0.25,1,0.25,0.5,1,0.5,0.5,0.25,0.5,0.25,1,1,1,0.5,0.3333,1,0.0909,0.3333,0.3333,0.0263,1,1,1,0.1667,0.0833,1,1,1,1,1,1,1,0.5,1,0.5,1,0.125,1,1,0.3333,1
0.037,1,1,1,1,1,1,0.0526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.1,0.0312,0.1,1,1,1,0.0333,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,0.0233,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1,1
0.3333,0.5,0.5,0.3333,0.1667,0.25,0.2,0.1667,1,0.5,0.3333,1,1,0.2,0.1429,0.1429,0.2,0.25,1,1,1,1,1,1,0.2,0.5,1,1,0.3333,0.1667,0.1667,0.25,0.3333,0.3333,0.3333,0.3333,0.3333,0.5,0.5,1,0.3333,0.5,1,0.5,0.5,0.5,0.5,1,1,0.25,1,0.5,0.5,0.5,1,0,0,0,0,0.5,0.3333,0.5,0.0333,1,1,0.5,0.1667,0.1667,0.3333,0.3333,0.25,1,0.3333,0.3333,1,1,1,1,0.3333,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,1,1,0.5,1,1,1,1,0.5,1,0.3333,1,0.3333,0.25,0.25,1,0.2,0.5,0.1429,1,0.0058,0.5,0.5,1,1,0.2,1,1,1,0.3333,1,1,0.3333,0.3333,0.25,0.3333,0.3333,1,1,1,0.5,0.3333
0.0909,1,1,0.3333,1,0.3333,0.25,1,1,0.5,1,1,0.0135,0.0556,0.0084,0.0303,0.0556,0.0026,1,1,1,1,1,0.0345,0.0128,0.0667,0.0063,0.0063,0.0023,1,0.0025,0,0,1,1,1,1,0.0047,0.5,1,0.0833,1,1,1,1,1,1,1,1,1,1,0.5,0.0455,0.1,0.5,0.0052,0.0294,0.0182,0.0294,0.5,1,0.5,0,0.5,0.5,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,0.5,1,1,0.1667,1,1,0.5,0.5,0.0213,0.0714,0.0625,1,1,1,1,1,1,1,1,0.0164,0.3333,0.0625,1,0.0179,0.0143,0.001,1,1,0.5,0.5,0.3333,0.5,0.5,0.5,0.5,0.0037,0.0026,1,0.2,0.5,0.0217,0.0185,1,1,1,0.012,1
0.0075,1,1,1,1,0.1429,0.125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.3333,1,1,1,1,1,1,0,0,0,0,1,1,0.3333,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.3333,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003,0.0052,1,1,1,0.3333,0.05,1,1,1,1,1,1,1,0.3333,1,0.1111,1,0.5,1,1,0.3333,0.3333
0,0.5,1,1,1,0.5,0.2,0.25,1,1,1,1,1,0.2,0.2,0.3333,0.2,0.0152,0.5,1,1,0.5,1,0.1667,0.3333,0.0278,1,1,1,0.2,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,0.5,1,1,0.5,0.125,1,0.3333,1,1,1,0,0.0095,0,0.0095,0.2,0.0312,0.3333,0.0048,0.25,0.2,1,0.25,0.2,0.3333,0.3333,0.1667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.1667,0.5,0.3333,0.2,1,1,1,1,1,1,1,0.1429,0.2,1,0.1429,1,0.3333,0.2,0.0045,1,1,1,1,1,0.5,0.0233,0.0238,0.25,0.5,0.3333,1,0.1667,0.5,0.0029,0.0227,0.3333,0.5,1,1,0.25
0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.125,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.1111,0.3333,0.0714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.0556,1,1,1,0.3333,0.1667,1,0.5,0.5,1,1,1,1,0.0357,1,1,1,1,1,1,1,1
