run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34
0.39416,0.29234,0.25658,0.25658,0.2147,0.22319,0.22829,0.22829,0.22829,0.29128,0.14569,0.33788,0.29879,0.22805,0.29057,0.27684,0.22006,0.53351,0.048,0.18668,0.27846,0.2788,0.29768,0.25205,0.11492,0.26012,0.24676,0.26012,0.18693,0.35008,0.18693,0.29654,0.26869,0.14274
0.26255,0.31555,0.17606,0.17606,0.13014,0,0.29275,0.29462,0.06754,0.31587,0.33281,0.1839,0.25118,0.09328,0.30096,0.15265,0.17842,0.16223,0.35282,0.28675,0.18659,0.19027,0.30459,0.09652,0.20145,0.0931,0.03152,0.17909,0.15291,0.10845,0.15291,0.24084,0.13484,0.57211
0.30505,0.31488,0.17328,0.17328,0.14435,0,0.35758,0.36108,0.14536,0.31488,0.22778,0.23181,0.17882,0.18774,0.1753,0.30701,0.29831,0.31359,0.21959,0.13872,0.13186,0.09574,0.15554,0.21565,0.11679,0.07907,0.17505,0.11957,0.15583,0.29501,0.15583,0.21952,0.23045,0.079
0.05751,0.11687,0.18139,0.30777,0,0,0.04959,0.04959,0.04959,0.11886,0,0,0.03809,0,0.04766,0.10068,0.02506,0.05926,0.01657,0.01172,0.04523,0.2165,0.11676,0.10854,0.22935,0.29362,0.27965,0.29362,0.0625,0,0.02679,0.05137,0.03008,0.09375
0,0,0,0,0,0,0.01701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0.00521,0,0,0,0,0,0,0
0.01901,0.08539,0,0,0,0,0.00781,0.01432,0.07422,0.07243,0.01562,0.0125,0.15928,0.10162,0.10115,0.00694,0.01907,0.03087,0,0.03297,0.01235,0.01855,0.0234,0.00347,0.04435,0.05308,0.06275,0.03197,0,0.0625,0,0.01953,0.01953,0.01524
0.05352,0,0.19236,0.48351,0.19872,0,0,0.09375,0,0,0,0,0.24341,0.10874,0.06463,0,0,0.02574,0.10508,0.44922,0.15819,0.3427,0.63699,0.58019,0.35089,0.251,0.04159,0.27059,0.01562,0,0.01562,0,0,0.02734
0.29056,0.03576,0.0933,0.0933,0.13099,0.07043,0.33138,0.33138,0.12102,0.03613,0.09212,0.08747,0.31373,0.3014,0.24454,0.12644,0.11756,0.02734,0.17264,0.13809,0.01479,0.01479,0.30676,0.51156,0.02095,0.13376,0.14572,0.13376,0.08512,0.09108,0.08512,0.1635,0.09964,0.12779
0.38425,0.37527,0.23308,0.23308,0.17974,0.03125,0.33434,0.33661,0.35037,0.37478,0.36973,0.37002,0.30405,0.17204,0.3335,0.24166,0.36081,0.36088,0.37376,0.38269,0.37128,0.34204,0.32208,0.30581,0.35069,0.30004,0.2358,0.20538,0.18005,0.22481,0.18005,0.31165,0.34939,0.0625
0.24505,0.12191,0.17375,0.17375,0.16472,0,0.01855,0.09893,0.01855,0.12022,0.03576,0.01627,0.08152,0.07024,0.0699,0.11422,0.06469,0.14112,0.12585,0.28124,0.23528,0.23621,0.30664,0.20729,0.17845,0.28157,0.25221,0.25889,0.15306,0.08335,0.15306,0.02474,0.01693,0
0.52947,0.50201,0.13944,0.15501,0.11205,0,0.15881,0.15881,0.08284,0.50175,0.01851,0.03929,0.29639,0.39773,0.51721,0.4375,0,0.51603,0.37071,0.58886,0.23846,0.23819,0.28951,0.28951,0.2988,0.29747,0.16307,0.28718,0.03897,0.03897,0.03897,0.25099,0.26882,0.15461
0.14986,0.08094,0.10342,0.09292,0.11014,0,0.11577,0.11577,0.11577,0.08122,0.12133,0.14517,0.09672,0.02077,0.03059,0.16058,0.16383,0.16473,0.0625,0.08657,0.12075,0.1199,0.16973,0.15737,0.12273,0.09576,0.01501,0.09576,0.12844,0.14752,0.1094,0.13538,0.12941,0.06195
0.06974,0,0,0,0,0,0.05084,0.04906,0,0.00625,0.01276,0.01308,0,0.07263,0.08638,0.0071,0,0.11722,0,0.1208,0.00368,0.00391,0.04486,0.11919,0.04201,0.04282,0.02606,0.06292,0.00661,0,0.00661,0.0625,0,0.0625
0.17162,0.15951,0.10813,0.10813,0.09774,0,0.16885,0.17613,0.15665,0.15951,0.09197,0.09308,0.1564,0.15881,0.08081,0.15934,0.16713,0,0.08248,0.13818,0.08275,0.1118,0.12533,0.05691,0.11162,0.114,0.16891,0.13414,0.14407,0.13869,0.14407,0.13609,0.13055,0.16131
0.03322,0.1875,0,0,0,0,0.1875,0.1875,0.01562,0.1875,0.03337,0.03132,0.03516,0.01976,0.00877,0.06451,0.0546,0.01241,0.06143,0.11348,0.1875,0.1875,0.04688,0.0625,0.03125,0,0,0,0,0,0,0.06289,0.05863,0.16165
0.16981,0.16169,0.13804,0.15188,0.0828,0,0.16761,0.16826,0.16761,0.16188,0.12615,0.12244,0.13162,0.13162,0.13143,0.16133,0.1564,0.16405,0.1714,0.16365,0.15479,0.15886,0.27785,0.22245,0.1573,0.13917,0.13357,0.13917,0.16867,0.06604,0.16867,0.11835,0.11408,0.12986
0.14583,0,0.13372,0.16255,0.07019,0,0.05254,0.05254,0,0,0,0,0.10938,0.02574,0.10938,0.45987,0.46826,0.23768,0,0.4375,0,0,0.1659,0.1659,0,0.10121,0.06641,0.12195,0.03977,0.10938,0,0,0,0
0.06459,0.08203,0.11088,0.11088,0.133,0,0.12109,0.12109,0.12109,0.08203,0.24103,0.2718,0.08192,0.08274,0.05157,0.13994,0.16086,0.10848,0.10138,0.27846,0,0,0.09046,0.01837,0.10645,0.09731,0.0643,0.09731,0.00774,0.07213,0.00774,0.20681,0.2002,0.10101
0.5525,0.09832,0.57158,0.57158,0.08336,0,0.1521,0.08722,0.0478,0.09133,0.23769,0.24712,0,0.45508,0.18109,0.14209,0.169,0.56055,0.19093,0.20195,0.07541,0.05691,0.14406,0.08115,0.08214,0.26285,0.26112,0.14511,0.08167,0.13521,0.08167,0.04427,0.06674,0.0803
0.26313,0.10137,0.48347,0.48347,0.25904,0,0.44556,0.22681,0.44556,0.1079,0.15337,0.09503,0.26186,0.12132,0.12175,0.63991,0.63954,0.63695,0.17613,0.15284,0.02936,0.10054,0.48215,0.62242,0.15565,0.55855,0.11593,0.63731,0.64145,0.48427,0.64145,0.47299,0.31309,0.02364
0.0093,0.0924,0,0,0,0,0.11933,0.09866,0.08286,0.09209,0,0.01432,0.31012,0.09337,0.1873,0,0,0,0.18899,0.32219,0.16091,0.13372,0.15391,0.03305,0.03074,0.06692,0.12853,0.03962,0,0,0,0.03398,0.06226,0.13348
0,0.00781,0.04391,0.04391,0.09832,0,0.0193,0.01107,0.02083,0.0125,0,0,0.01527,0.02557,0.06251,0.09874,0.13295,0.02083,0.0625,0.10898,0,0,0.01147,0.01562,0.00368,0.01314,0.01126,0.02392,0.03553,0.12194,0.03553,0.02995,0.02878,0.04163
0.34098,0.09138,0.16802,0.16802,0.14848,0,0.14171,0.14935,0.26833,0.08977,0.19385,0.24497,0.03125,0.06982,0.07335,0.2602,0.28129,0.29309,0.20951,0.09647,0.0257,0.024,0.15034,0.15034,0.08173,0.07547,0.0625,0.07327,0.15666,0.02388,0.01787,0.23167,0.29422,0.03346
0.00313,0.13857,0,0,0,0,0,0,0.00347,0.16125,0.02679,0.02679,0.0188,0.09375,0.02679,0,0,0,0,0.23828,0.03638,0.01799,0.02204,0.02204,0.05773,0.0343,0,0.01836,0.01738,0,0.01738,0.08183,0.08035,0
0.09907,0,0.03212,0.03212,0.03775,0,0.02431,0.02431,0,0,0.08094,0.08289,0.0459,0.01259,0.02024,0.04264,0.02378,0.07224,0.0918,0.00625,0.00313,0.00313,0.00625,0,0,0.00568,0.00568,0.00521,0.02962,0.03776,0.02962,0.07715,0.07506,0.0625
0.12684,0.02509,0.07393,0.09883,0.06055,0.00893,0.2571,0.18715,0.2571,0.02565,0.10539,0.10863,0.22422,0.16261,0.20086,0.12303,0.09477,0.11186,0.19966,0.3311,0,0,0.31461,0.38971,0.27261,0.59123,0.60849,0.59123,0.17762,0.5099,0.11892,0.24965,0.15717,0.08787
0.00735,0.00391,0,0,0,0,0.04006,0.02051,0,0.00446,0.00347,0,0.00825,0,0.04319,0.00866,0.00481,0.08426,0,0.09241,0.03125,0.03125,0.00347,0.00347,0,0.00893,0.00391,0.01562,0.00313,0,0.00313,0.00329,0.00521,0
0.27791,0.09375,0.19334,0.19334,0.08203,0.00625,0,0.33588,0,0.09375,0.09766,0.06982,0.02721,0.08203,0.51826,0.11995,0.02344,0.00625,0.00937,0.37234,0.03125,0.03125,0.38844,0.198,0.19773,0.17034,0.11071,0.29636,0.15932,0.0625,0.15932,0.05527,0.04552,0
0.18156,0.08396,0,0,0,0,0.16416,0.16166,0.04688,0.08418,0.24578,0.23057,0.13515,0.27991,0.31422,0,0,0,0,0.10965,0.00568,0.00521,0,0,0.17791,0.2344,0.23256,0.22499,0,0.1875,0,0.03564,0.01705,0.06184
0.07245,0.00568,0,0.3273,0,0,0.02216,0.02005,0.02216,0.00625,0.00368,0.00481,0,0,0,0.22083,0.21371,0.11289,0,0,0.0125,0.02083,0.34,0.21355,0.01562,0.10252,0,0.28934,0.3454,0.30114,0.3454,0.02982,0.04729,0
