run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62
0.21923,0.22366,0.18876,0.21662,0.21662,0.21662,0.24148,0.40897,0.24552,0.49285,0.04029,0.02545,0.18713,0.18648,0.18598,0.18328,0.13032,0.20793,0.19879,0.23197,0.50986,0.23067,0.18377,0.18366,0.1864,0.30555,0.21049,0.21049,0.13518,0.16774,0.22428,0.13322,0.18286,0.22693,0.30367,0.33329,0.31013,0.2694,0.33872,0.23775,0.54803,0.45186,0.43789,0.03522,0.18598,0.28403,0.18328,0.17585,0.17558,0.47806,0.1418,0.24717,0.20011,0.14839,0.17145,0.20315,0.29073,0.26739,0.37878,0.30367,0.31013,0.15059
0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0.01562,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01562,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0
0,0,0.00987,0,0,0.00987,0.0625,0.05776,0.02578,0.01562,0.13184,0.13073,0,0.01103,0.01172,0.0125,0,0,0,0,0.01442,0.02679,0,0.0125,0,0,0.01562,0.02651,0.01103,0.01172,0,0.0293,0.03468,0.01875,0,0,0,0.03145,0.02876,0.03145,0.0564,0.04688,0.03125,0.13802,0.01172,0.01103,0.0125,0,0.01172,0.0125,0.02344,0.03125,0.02679,0,0.01042,0,0.0293,0.03468,0.01875,0,0,0
0.05078,0.08624,0.00893,0,0,0,0.08002,0,0.00972,0.02604,0,0,0,0.03383,0.02816,0.03641,0.00987,0,0,0.00329,0.01044,0.02051,0.01201,0.01969,0,0,0,0,0.03182,0.04337,0.05372,0,0.00313,0.06595,0.02214,0.00781,0,0.05662,0.09237,0.04956,0,0,0,0,0.02816,0.03678,0.03641,0.01042,0.0135,0,0.02474,0.00847,0.00481,0.04056,0.04537,0.06754,0,0.00313,0.06595,0.02214,0,0
0,0,0.02083,0,0,0,0,0,0,0,0,0,0.00893,0.00893,0.00568,0.0125,0.02083,0,0,0,0.01042,0.00893,0,0,0.00568,0.01172,0,0.00937,0.0183,0.01816,0.01042,0,0.01172,0.02244,0.00625,0.00446,0,0.01172,0.0125,0.01172,0,0,0,0,0.00568,0.00391,0.0125,0,0,0,0,0,0,0.01861,0.01845,0.01042,0,0.01172,0.02244,0.00625,0,0
0.32633,0.32154,0.50706,0.31748,0.31748,0.31748,0.38109,0.60723,0.61503,0.45505,0.11057,0.21195,0.32996,0.36337,0.36326,0.36147,0.0658,0.27743,0.00313,0.03624,0.32758,0.29851,0.35919,0.36195,0.59768,0.35675,0.3806,0.39315,0.60664,0.60784,0.3531,0.31848,0.3258,0.30787,0.33505,0.33436,0.29041,0.34476,0.34497,0.34303,0.60968,0.56923,0.62299,0.08255,0.36326,0.37517,0.36147,0.3596,0.3609,0.30587,0.31227,0.33825,0.28341,0.60664,0.60784,0.35575,0.31848,0.3258,0.30787,0.33505,0.29041,0.29881
0.20733,0.22063,0.16669,0.1644,0.1644,0.1644,0.51766,0.56561,0.28238,0.24293,0.1769,0.1769,0.19327,0.36199,0.362,0.36036,0.38875,0.12472,0.17407,0.19803,0.37809,0.24258,0.23279,0.21619,0.50355,0.22431,0.18932,0.18169,0.27723,0.28179,0.19951,0.26854,0.49433,0.1233,0.5636,0.46945,0.52944,0.12389,0.13461,0.12398,0.33934,0.50196,0.58659,0.17674,0.362,0.35586,0.36036,0.22655,0.23455,0.50187,0.13202,0.20612,0.13777,0.24804,0.2692,0.16623,0.21815,0.47648,0.13545,0.5636,0.52944,0.46412
0.23329,0.22943,0.09379,0,0,0,0.2486,0.27801,0.17555,0.07548,0.00521,0.00521,0.02344,0.25515,0.25807,0.26294,0.08088,0,0.30493,0.31164,0.30187,0.28324,0.30972,0.31052,0.06427,0.20469,0.20617,0,0.26521,0.2746,0.24618,0.26987,0.26398,0.2881,0.29338,0.28414,0.20295,0.18019,0.16824,0.18588,0.17177,0.16493,0.17219,0.00625,0.25807,0.26843,0.26294,0.31052,0.31052,0.28287,0.24829,0.19781,0.24121,0.27072,0.29284,0.25153,0.1176,0.18822,0.20189,0.29338,0.20295,0.20295
0.10241,0.09831,0.02291,0,0,0,0.06114,0.06135,0.05927,0.07014,0,0,0.01752,0.06088,0.05634,0.05782,0,0,0.03975,0.0706,0.12821,0.04578,0.08568,0.06678,0.02265,0.05835,0.05132,0.0127,0.04946,0.0414,0.09727,0.07706,0.16794,0.04655,0.04861,0.03228,0.09188,0,0,0,0.05268,0.05166,0.03407,0,0.05634,0.07946,0.05782,0.09032,0.06084,0.04679,0.09587,0.11596,0.09764,0.03871,0.02658,0.08748,0.04343,0.03022,0.03584,0.04861,0.09188,0.0375
0.03125,0.04297,0,0,0,0,0.01208,0,0.01044,0.04089,0,0,0,0,0,0.00347,0.0257,0,0,0,0.0625,0.0109,0,0,0,0,0.0625,0,0.06669,0.06783,0.04464,0.00368,0,0,0,0,0,0.0625,0.0625,0.0625,0.00893,0,0,0,0,0.00446,0.00347,0,0,0,0.0125,0.0625,0.06738,0.06865,0.07837,0.0535,0,0,0,0,0,0
0.15045,0.13618,0.1064,0.02289,0.02289,0.02289,0.08127,0.22091,0.31958,0.22204,0.1512,0.16617,0.07456,0.35521,0.35694,0.36033,0.13004,0,0.02453,0.05946,0.07188,0.18062,0.11654,0.1441,0.13198,0.17641,0.16182,0.13847,0.33573,0.33845,0.16865,0.2352,0.20504,0.28079,0.07153,0.03989,0.00694,0.25176,0.23688,0.24782,0.23171,0.19201,0.32508,0.14493,0.35694,0.30356,0.36033,0.11654,0.12417,0.10831,0.14505,0.18737,0.19398,0.33637,0.33913,0.17542,0.17997,0.20298,0.21891,0.07153,0.00694,0
0.0625,0.0625,0.02087,0,0,0,0,0.09642,0.09375,0.0375,0,0,0,0.19049,0.19067,0.19842,0.03255,0,0.01628,0.08203,0,0.0292,0,0,0,0.01208,0,0,0.21289,0.21289,0.0625,0.04492,0.02349,0.1875,0.00417,0.0125,0.00521,0,0,0,0.09375,0.09375,0.0625,0,0.19067,0.19314,0.19842,0.00347,0,0,0.00781,0.00568,0.00446,0.21289,0.21289,0.00521,0.04492,0.02349,0.1875,0.00417,0.00521,0.00893
0.36466,0.35152,0.10251,0.1875,0.1875,0.1875,0.03642,0.21572,0.15322,0.17235,0.07455,0.07865,0.17878,0.16232,0.16215,0.17038,0.22093,0.01705,0.18434,0.17158,0.14553,0.23732,0.21411,0.22003,0.15957,0.0617,0.09375,0.04144,0.32268,0.3239,0.23351,0.03988,0.04073,0.04958,0.06088,0.06691,0.12582,0.09051,0.09938,0.09046,0.31945,0.30125,0.3243,0.07276,0.16215,0.18951,0.17038,0.21075,0.21493,0.16096,0.19046,0.21579,0.3604,0.31855,0.32096,0.21712,0.03988,0.04073,0.04958,0.06088,0.12582,0.12951
0.13837,0.11708,0.33596,0.33007,0.36175,0.36146,0.34298,0.12094,0.29405,0.00417,0.02033,0.04451,0.22668,0.02968,0.01901,0,0.33745,0.35631,0.02083,0.03125,0.20782,0.14166,0.1481,0.14558,0.10864,0.37374,0.37478,0.37815,0.11105,0.13233,0.16291,0.26427,0.54269,0.28248,0.34485,0.34355,0.1875,0.22052,0.13455,0.16226,0.14944,0.1253,0.34172,0.04246,0.01901,0.1122,0,0.1301,0.14387,0.21979,0.03145,0.03296,0.03948,0.11099,0.13328,0.15314,0.26427,0.54269,0.28248,0.34485,0.1875,0.22559
