run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50,run51,run52,run53,run54,run55,run56,run57,run58,run59,run60,run61,run62,run63,run64,run65,run66,run67,run68,run69,run70,run71,run72,run73,run74,run75,run76,run77,run78,run79,run80,run81,run82,run83,run84,run85,run86,run87,run88,run89,run90,run91,run92,run93,run94,run95,run96,run97,run98,run99,run100,run101,run102,run103
1,1,0.3333,0.3333,0.3333,0.3333,0.3333,1,0.5,0.5,0.5,0.5,0.3333,0.25,1,0.25,0.3333,1,0.5,1,0,0,0.3333,0.5,0.5,0.5,1,1,0.3333,0.5,0.5,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.3333,0.5,0.25,0.3333,0.1429,1,1,0.3333,0.3333,0.5,1,1,0.25,0.25,1,0,0,0,0.0714,0.25,1,1,1,0.5,0.5,1,0.5,1,0.5,0.25,0.3333,0.3333,0.1,0.5,0.5,1,1,0.3333,0.3333,0.3333,0.5,1,1,1,1,1,1,1,1,0.0035,1,0.5,0.5,0.5,0.5,0.1,0.1111,0.1111,0.3333,0.5,1,0.5,0.5
0.5,0.5,1,0.0909,0.1667,0.1667,0.0714,0.0049,1,0.25,0.3333,0.1667,1,1,1,1,1,0.5,1,0.1667,0,0,0.2,1,1,1,1,1,0.25,0.0385,0.05,0.0476,0.3333,1,1,0.5,0.5,0.5,0.5,1,1,1,0.3333,0.0625,1,0.1,0.5,1,1,1,0.0526,0.0909,0.05,0.05,0.04,0.04,0,0.0625,0.1429,1,0.1429,0.2,0.2,0.3333,0.5,1,0.3333,0.3333,1,0.1111,0.5,1,0.2,1,1,1,1,0.04,0.037,0.0385,0.1429,0.2,1,1,0.5,1,1,1,1,0.0154,1,0.5,1,0.5,0.5,0.0769,1,1,1,1,1,1,1
0.0345,0.0069,0.5,0.0833,0.5,0.5,0.3333,0.0455,0.0833,0.1429,0.125,0.05,0.2,0.3333,1,1,1,0.0095,0.0147,0.037,0.0263,0.025,0.25,0.1429,0.1429,0.0093,0.0105,0.0093,1,0.25,1,1,1,0.25,1,1,0.25,0.1429,0.1429,0.2,0.125,0.1667,0.05,0.5,0.0455,0.1667,1,0.3333,0.3333,0.3333,0.2,0.125,0.5,0.5,0.5,1,0.0769,1,1,1,0.25,0.2,0.1111,1,1,1,0.125,0.1667,0.0312,0.0263,0.125,0.0909,1,0.3333,0.3333,1,1,0.5,0.5,0.5,0.3333,0.2,1,0.2,0.1667,0.2,1,0.0714,0.0038,1,0.5,0.2,0.0556,0.2,0.5,0.0833,0.1111,0.0909,1,0.1111,0.125,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.3333,1,1,1,0.0019,0.0016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.25,0.3333,1,1,0.5,1,1,1,1,1,0.2,0.2,1,1,1,1,1,0.3333,0.3333,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1667,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0011,0.0019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,0.125,0.1,0.5,1,0.5,1,0.5,0.5,1,1,1,1,0.5,0.25,0.1667,1,0.5,0.5,0.5,0.25,1,0.1667,0.25,1,0.5,1,1,1,1,1,1,1,1,1,0.2,1,0.3333,1,0.1,0.0833,1,1,0.3333,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.3333,1,0.5,0.5,1,1,0.1667,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1
1,0.0667,1,1,0.1,0.25,0.1667,0.04,1,1,1,0.2,1,1,1,1,1,0.3333,1,1,0.0909,0.1111,0.5,0.25,1,1,1,0.2,0.1667,0.5,0.5,0.5,1,0.0189,0.0556,1,0.1667,1,1,1,1,1,1,0.25,0.5,0.3333,1,1,1,1,1,1,0.1667,0.1667,0.0278,0.0588,0.0037,0.0556,0.1111,1,0.1667,0.1111,0.5,0.0385,1,1,0.0263,0.0222,1,0.3333,1,1,1,1,1,1,1,0.3333,0.1667,0.1667,0.5,0.0909,0.0333,1,0.0294,1,1,1,0.0106,0.25,1,1,1,1,0.2,0.1667,1,1,1,1,0.2,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0077,0.0303,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.0556,0.0526,0.0156,0.5,0.1667,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,0.5,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.0023,0.0022,1,1,1,1,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1429,1,0.04,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,0.5,1,1,1,1,0.1667,0.5,1
0.5,0.0909,1,1,0.5,0.5,0.0556,0.0041,1,1,1,0.1111,1,1,1,1,1,0.0028,0.2,1,0.0024,0.0024,0.0769,0.2,0.2,0.5,0.1429,1,0.125,0.125,0.5,0.5,0.0222,0.0043,0.0018,0.5,0.0455,0.3333,0.3333,1,1,1,1,1,1,0.0667,1,1,1,0.3333,1,1,0.5,0.5,0.0769,0.0172,0.0021,0.0294,0.0238,1,0.1429,0.125,0.0455,0.25,0.1429,0.3333,0.0714,0.0667,0.25,1,1,1,1,0.3333,1,0.2,0.2,0.25,0.037,0.04,0.5,1,0.25,0.1429,0.5,1,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,0.1667,0.5,0.5
0.3333,0.0112,0.5,0.2,0.027,0.0303,0.0038,0.0071,1,1,0.3333,0.0057,0.1429,1,0.1429,0.5,1,0.0081,0.1111,0.1667,0.0022,0.0026,0,0.0062,0.0046,1,0.025,0.02,0,0.3333,1,1,0.25,0.0435,0.0435,1,0.0028,0.5,0.3333,0.3333,0.2,0.2,0.1429,0.5,0.5,0.1,0.1667,0.1429,0.1667,0.0588,0.0625,0.0625,0.2,0.1429,0.0081,0,0,0,0,0.5,0.0023,0.0031,0.0417,0.006,0.025,0.5,0.0065,0.009,1,0.1667,0.125,0.1667,0.0256,0.0588,0.1429,0.3333,0.0189,0.0159,0.0132,0.0141,0.1111,0.5,0.0667,0.25,0.0256,0.3333,0.0909,0.5,0.0345,0.003,0.5,1,0.5,0.5,0.1,0.25,0.05,0.0667,0.0139,0.0323,0.0083,0.5,1
1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0.0192,1,0.1667,0.1667,0.2,1,1,1,1,0.1667,0.037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1429,1,1,1,1,1,1,1,1,0.2,0.2,0.0019,0,0.0092,0.0385,0.125,0.25,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.0714,0.0769,0.125,1,1,1,1,1,1,1,1,1,0.0357,1,1,1,1,0.25,0.1,1,1,1,1,1,1,1
1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0,0,1,0.3333,0.3333,1,1,0.3333,1,1,1,1,1,0.3333,0.25,1,1,1,0.0222,1,1,1,0.1,0.0625,0.25,1,1,1,1,1,1,1,1,1,1,0.3333,0.5,1,0.0769,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0909,1,1,1,1,0.3333,1,1
0.5,1,1,1,0.3333,0.3333,0.3333,1,1,1,0.1667,1,0.3333,0.5,1,0.5,0.5,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.2,0.3333,0.3333,0.2,1,0.3333,0.3333,1,0.1111,0.1111,0.0909,1,0.3333,0.3333,0.1,0.2,0.5,1,1,1,1,1,1,1,0.3333,0.3333,0.3333,0.0588,0.0102,0.0769,0.1429,0.3333,0.2,0.3333,0.5,1,1,1,1,1,1,1,1,0,0.3333,1,1,1,0.3333,0.25,0.25,0.5,0.5,0.5,1,1,1,1,0.5,0.125,0.1,0.3333,1,1,1,0.5,0.5,0.0667,0.5,1,1,0.5,1,1,1
1,0.3333,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,0.3333,0.3333,0.3333,1,1,1,0,0,1,1,1,1,0.3333,1,0.25,0.0833,0.5,1,0.25,0.3333,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.5,0.5,0.3333,0.1667,0.5,0.1429,1,0.5,0.2,0.2,0.125,0.2,1,0.0385,0.25,0.3333,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,1,0.5,1,1,0.2,1,1,0.0417,1
0.5,0.1111,0.5,0.0769,0.0222,0.0435,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,0.5,0,0,0.0217,0.5,0.5,0.5,0.5,0.1667,0.0588,1,0.0058,0.0059,1,0.0042,0.0625,1,0.0769,1,0.5,0.1667,1,1,1,1,0.5,0.25,1,0.5,0.5,0.5,0.5,0.3333,0.0025,0.0024,0,0.0087,0,0.0345,0.0714,0.02,0.0385,0.0435,0.0012,1,1,1,0.5,0.5,1,0.0141,0.5,0.3333,0.0588,0.5,0.5,0.0417,0.0417,1,1,1,0.0625,0.0139,0.004,1,1,1,1,0.5,1,0.0049,0.25,0.5,1,1,0.0714,0.004,0.1667,0.5,0.3333,0.5,1,0.2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,0.0385,0.0345,1,1,0.1111,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.3333,1,1,1,1,1,1,1,1,1,1,0.007,0.5,0.3333,0.5,0.3333,0.2,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3333,0.0204,0.0357,0.125,0.0256,0.0625,0.004,0.0217,0.3333,1,0.1667,0.0333,0.3333,1,0.1667,0.0909,0.0833,0.0083,0.5,0.5,0.0068,0.0068,0.025,0.0137,0.0476,0.3333,0.0312,0.0169,0.0104,0.0909,0.0015,0.0014,0.0185,0.0152,0.0112,0.5,0.0013,0.0152,0.0143,1,1,1,1,0.3333,0.5,0.0156,0.1111,0.0455,0.5,0.1429,0.0714,0.1429,0.0065,0.0077,0.0476,0,0.0027,0,0.002,0.0303,0.0114,0.0161,1,0.0164,0.037,1,0.0154,0.0145,0.0204,0.1667,0.0526,0.0233,0.25,0.5,0.1429,0.0137,0.1667,0.0108,0.0089,0,0.0714,0.0062,0.006,0.1429,0.0192,0.0256,0.1,0.25,0.0256,0.0024,1,0.0714,0.0189,0.0833,0.0182,0.0169,0.0667,0.0909,0.5,0.2,0.0435,0.5,0.1667
1,0.0137,1,0.05,0.25,1,1,0.0208,0.0256,0.0101,1,1,0.0175,1,1,0.5,1,0.2,0.0108,0.0238,0,0,0,0.3333,1,0.0079,0.0476,0.0122,1,0.0065,0.0667,0.0204,1,0.0385,0.0476,1,1,0.0588,0.0022,0.0833,0.0263,0.0294,0.0063,0.0909,0.25,1,1,0.125,1,0.0476,0.0625,0.0667,1,1,0.5,0,0,0,1,0.0909,0.3333,0.0833,1,1,1,1,0.25,0.3333,0.1,1,0.2,0.0833,0.5,1,0.0476,0.125,0.2,0.25,0.25,0.25,0.5,0.5,0.0769,1,1,1,0.0769,0.1111,0.0192,1,0.5,0.1111,0.0323,0.2,0.5,0.1429,0.25,0.125,1,1,1,1,1
0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.1667,0.2,0.0714,0.3333,1,1,1,0.5,0.5,0,0,1,0.5,0.3333,0.3333,0.25,1,0.5,1,1,0.3333,0.1667,0.3333,0.3333,0.25,0.3333,0.3333,0.3333,1,0.5,0.3333,0.0071,0.0021,0.0217,1,1,0.5,0.3333,0.5,0.1,0.2,1,1,1,0,0,0,0.1429,0.0012,0.25,1,0.25,0.25,0.5,1,0.3333,0.5,1,1,1,1,0.0833,0.3333,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,0.3333,0.25,0.0025,0.25,1,1,0.5,0.5,0.05,0.1667,0.2,0.5,1,0.5,0.1111,0.0714
1,1,1,1,1,1,0.05,0.3333,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,1,1,0.0154,0.0133,1,1,0.0526,1,1,0.3333,0.2,0.5,1,0.5,0.5,0.5,1,0.25,0.3333,1,0.1429,1,1,1,1,1,0.1429,0,1,1,1,1,1,1,0.125,0.1429,0.0204,0,0,0,0.0303,1,0.2,0.2,0.25,1,1,1,0.2,0.25,1,1,1,1,1,1,1,1,1,0.1,0.0213,0.0256,1,1,1,1,0.3333,1,1,0.5,1,0.2,0.5,1,1,1,1,0.125,1,1,1,1,0.3333,1,1
1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,1,1,0.2,0.25,1,1,1,0.0159,0.0156,1,1,1,1,1,1,0.3333,1,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.3333,0.5,0.2,0.0286,0.2,0.2,0.3333,0.5,1,0.5,1,1,1,1,1,1,1,1,1,0.2,1,1,1,1,0.3333,0.3333,0.3333,1,1,1,1,0.5,1,1,1,1,0.0667,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0417,0.3333,1,0.2,0.1,0.1,0.0303,0.5,0.1667,0.5,0.3333,0.1667,0.1429,0.5,1,1,1,0.5,0.1667,0.1111,0.0038,0.0053,0.25,0.125,0.125,0.3333,0.3333,0.0909,0.25,0.25,0.0455,0.04,1,0.2,0.125,1,0.1,0.3333,0.3333,0.3333,0.3333,0.25,1,0.2,0.3333,0.0833,1,0.3333,0.3333,0.2,0.3333,0.3333,0.0106,0.0109,0.0154,0,0,0,0.0092,0.0769,0.1667,0.1667,0.3333,0.5,0.1,1,0.2,0.2,0.3333,0.0909,0.2,0.3333,0.5,0.3333,0.2,1,0.5,0.0104,0.0119,0.013,0.5,1,1,0.3333,0.125,0.25,0.3333,0.3333,1,0.0145,1,1,1,1,0.3333,0.0625,0.5,0.5,1,0.2,0.3333,1,1
0.1667,0.25,0.5,1,1,1,1,0.1667,0.2,0.2,0.1667,1,0.25,0.5,1,0.3333,0.5,0.25,0.25,0.2,1,1,0.5,1,1,0.5,0.3333,0.3333,1,0.3333,0.3333,1,1,0.3333,0.5,1,0.25,1,0.3333,1,1,1,1,0.5,0.2,0.2,0.25,0.25,0.25,0.3333,0.25,0.3333,1,1,0.125,1,0.005,1,1,1,0.5,0.5,1,0.1429,0.1429,0.1429,0.125,0.1429,0.1667,1,1,1,1,0.25,0.3333,1,1,0.0909,0.0909,0.0909,1,1,1,0.3333,0.5,0.25,0.5,1,0.3333,0.2,1,1,1,1,1,0.0526,1,1,0.5,1,1,0.5,0.5
1,1,1,0.5,1,1,0.125,1,1,1,1,1,1,1,1,1,0.125,1,0.5,0.5,0.25,0.25,1,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.1111,1,1,1,1,0.3333,0.3333,0.25,0.3333,0.0714,0.0227,0,0.0588,0.0294,0.5,1,1,1,1,0.25,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,0.2,0.2,0.5,0.5,1,1,1,1,1,1,1,0.0227,1,1,1,1,0.5,0.3333,1,1,0.1667,0.1667,1,0.5,0.125
0.125,0.1429,0.1111,0.0588,0.0085,0.009,0.0085,0.5,0.1667,0.25,0.25,0.0625,0.1,0.0667,1,1,0.125,0.0455,0.0526,0.0435,0.037,0.0357,0.1667,0.125,0.0476,0.0476,0.0476,0.1667,0.25,1,0.0082,0.009,0.1667,0.25,0.25,0.3333,0.1667,0.1429,0.1429,0.1,0.0714,0.0769,0.0588,0.1111,0.1667,0.04,0.5,0.0625,0.0667,0.0625,0.0455,0.04,0.0149,0.0139,0.006,0,0,0,0.0096,0.0233,1,1,0.0323,0.0769,0.0526,0.1667,0.0769,0.1,0.1429,0.1667,0.1429,0,0.0833,0.0667,0.0625,0.0208,0.0217,0.0137,0.0137,0.0096,0.0556,0.0769,0.0588,0.1429,0.0667,0.125,0.0098,0.0455,0.0556,0.0027,0.3333,0.0667,0.0385,0.0769,0.04,0.0094,0.0093,0.0097,0.5,0.5,0.0455,0.0769,0.05
1,0.125,1,1,1,1,1,1,1,1,0.5,0.5,1,1,0.25,1,1,0.0357,1,1,0.0833,0.0833,0.3333,1,1,0.0909,0.125,0.25,0.5,1,1,0.25,0.0909,0.0303,0.0909,1,0.0556,0.0833,1,0.5,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.25,0.25,0.5,0,0,0,0.0333,0.1429,0.5,0.5,1,0.3333,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1,1,0.125,0.125,0.0625,0.0294,0.0455,0.3333,0.0909,0.3333,1,0.1429,0.125,0.1667,1,1,1,1,0.2,0.5,1,1,1,0.1667,0.0769,1,1
0.5,0.0714,1,1,0.1,0.2,0.2,0.1667,1,1,1,0.3333,1,1,1,0.2,0.2,1,1,1,0.0145,0.0196,0.0345,0.0222,0.0222,1,1,0.1667,0,0.25,0.5,0.5,1,0.2,0.125,1,0.3333,1,1,0.3333,0.5,0.5,0.5,0.1111,1,0,1,1,1,1,1,1,0.3333,0.3333,0.1,0.0455,0,0.0526,0.5,0.125,0.0122,0.0147,0.1667,1,1,1,0.0015,0.0072,1,1,1,1,1,1,1,1,1,0.3333,0.3333,0.3333,0.25,0.5,0.3333,1,0.1429,0.5,1,1,0.0769,0.0588,1,1,1,1,0.0667,0.0294,0.25,0.3333,1,1,0.0357,0.5,0.5
0.0909,1,0.0556,0.0169,0.0079,0.0119,0.0167,0.3333,0.0714,0.0417,0.3333,0.5,0.0667,1,1,1,1,0.0526,0.0068,0.0588,0,0,0.3333,0.0667,0.0667,0.0714,1,1,0.1429,0.1111,0.002,0.0018,1,0.0435,0.0417,1,0.125,0.1111,0.0118,0.0213,0.0217,0.0145,0.1,0.02,0.0106,0.0057,1,0.0088,1,0.012,0.0023,0.0038,0.0103,0.0044,0,0.0048,0,0.0034,0.0278,0.0054,0.0345,0.125,0.0303,0.0435,0.2,0.0192,1,1,0.1429,0.25,0.3333,0.3333,0.0047,1,0.012,0.0132,0.0137,0.0023,0.0024,0.0031,0.25,1,1,0.3333,1,1,0.05,0.0435,0.0063,0.0084,1,0.0833,0.0058,0.2,0.0769,0.0145,0.0294,0.0244,0.5,1,0.0625,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0094,0.0109,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,0.25,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,0.3333,0.5,0.1429,0,0,0.0185,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,0.3333,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1
0.0625,0,0.5,0.0476,1,1,0.125,0.25,1,1,1,1,0.0833,1,1,1,1,0.0435,1,1,0,0,1,0.5,0.0435,1,0.1667,0.5,0.0013,1,0.5,0.25,1,1,0.25,0.5,0.1429,1,1,0.0303,0.0145,0.0182,1,1,1,0.25,1,1,1,1,0.3333,1,0.0091,0.0192,0,0.0625,0.0137,0.0833,0.05,0.1429,0.3333,0.3333,0.2,1,1,1,0.5,0.5,1,0.3333,0.25,0.5,0.3333,1,1,0.5,0.3333,1,1,1,1,1,1,1,1,1,0.0034,0.0034,0.5,0.0098,1,1,1,1,0.5,0.0244,0.5,1,1,1,1,1,1
